"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"F2",18169,4.6828E+07,2577.36,2.40061E+09,132127,107236,5.90214,,,
1,"G2",14465,3.31974E+07,2295.02,2.03202E+09,140478,103885,7.18181,,,
1,"E2",2751,6689480,2431.66,3.54052E+08,128699,16674.9,6.06141,,,
1,"D2",3354,8733410,2603.88,5.05488E+08,150712,22059.3,6.577,,,
1,"C2",6014,1.65505E+07,2752,1.29228E+09,214879,55437.8,9.21812,,,
1,"B2",6458,1.8597E+07,2879.69,1.27126E+09,196850,51728.1,8.00993,,,
1,"B3",7769,1.49816E+07,1928.38,7.99794E+08,102947,49142.4,6.32545,,,
1,"C3",9292,2.01624E+07,2169.87,1.00376E+09,108024,54153.2,5.82793,,,
1,"D3",9603,1.01387E+07,1055.79,7.04346E+08,73346.4,78192,8.14246,,,
1,"E3",12161,2.06359E+07,1696.89,9.29833E+08,76460.3,63899.8,5.25448,,,
1,"F3",16517,9245590,559.762,4.27954E+08,25909.9,82079.6,4.9694,,,
1,"G3",19029,1.61107E+07,846.64,5.99364E+08,31497.4,77258.4,4.06004,,,
