#--- Experiment --------------------------------------------------------------------------																																								
#MURIS_PSIICal_MaBe3413_445																																								
#																																								
#--- System ------------------------------------------------------------------------------																																								
#Data from PyroScience Workbench V1.2.6.1424   www.pyroscience.com																																								
#DESKTOP-R5TTQ6C																																								
#--- Instrument --------------------------------------------------------------------------																																								
#Device: FireSting pro [A] FSPRO-4 SN:24E144075AC97E9D Firmware:4.05 Build:003																																								
#--- Channel -----------------------------------------------------------------------------																																								
#Channel [A Ch.1] - Oxygen Sensor - XB7-534-210																																								
#--- Settings & Calibration --------------------------------------------------------------																																								
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																				
#	1 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	2	Internal Pressure Sensor	1013.000000	25.000000																				
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																				
#	2021-05-13	2000-12-31	22.197598	53.400000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.338989	22.628468	100.000000	20.000000	20.950000																				
#--- Temperature Compensation Channel ----------------------------------------------------																																								
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																								
#Settings: n/a																																								
#Calibration: n/a																																								
#--- Pressure Compensation Channel -------------------------------------------------------																																								
#Compensation Channel [A P1] - Internal Pressure Sensor																																								
#Settings: n/a																																								
#Calibration: n/a																																								
#--- Channel -----------------------------------------------------------------------------																																								
#Channel [A Ch.2] - pH Sensor - XBE7-204-085																																								
#--- Settings & Calibration --------------------------------------------------------------																																								
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																				
#	128 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000																				
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff											
#	2021-05-04	2021-05-04	2000-12-31	8.240000	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.811000	0.000000	0.000000	25.730000	4.011000	22.101000	2.000000	622.993000	54.075000	10.041000	22.463000	6.500000	622.996000	0.000000	0.000000											
#--- Temperature Compensation Channel ----------------------------------------------------																																								
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																								
#Settings: n/a																																								
#Calibration: n/a																																								
#--- Channel -----------------------------------------------------------------------------																																								
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																								
#--- Measurement Data --------------------------------------------------------------------																																								
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (µmol/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	pH [A Ch.2 Main]	pH (pH) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	ldev (nm) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
13-05-2021	14:31:18.705	0.250	306.929	19.143	268	0	OK	13-05-2021	14:31:18.705	0.250	22.500	OK	13-05-2021	14:31:18.705	0.250	1013	OK	13-05-2021	14:31:18.478	0.023	>9.5	>9.5	178.411	4	7	622.988	NotOK(12,13)	13-05-2021	14:31:18.478	0.023	22.500	OK	13-05-2021	14:31:19.721	1.266	22.501	OK	PM 2021-05-13	2:32:19.191	"Start FRRf MaBe3413 Ex445"
13-05-2021	14:31:19.662	1.207	307.880	19.109	268	0	OK	13-05-2021	14:31:19.662	1.207	22.501	OK	13-05-2021	14:31:19.662	1.207	1013	OK	13-05-2021	14:31:19.478	1.023	>9.5	>9.5	178.519	4	7	622.988	NotOK(12,13)	13-05-2021	14:31:19.478	1.023	22.500	OK	13-05-2021	14:31:20.721	2.265	22.502	OK			
13-05-2021	14:31:20.660	2.205	307.561	19.120	268	0	OK	13-05-2021	14:31:20.660	2.205	22.502	OK	13-05-2021	14:31:20.660	2.205	1013	OK	13-05-2021	14:31:20.478	2.023	>9.5	>9.5	178.872	4	7	622.989	NotOK(12,13)	13-05-2021	14:31:20.478	2.023	22.503	OK	13-05-2021	14:31:21.730	3.275	22.503	OK			
13-05-2021	14:31:21.661	3.205	307.186	19.133	268	0	OK	13-05-2021	14:31:21.661	3.205	22.503	OK	13-05-2021	14:31:21.661	3.205	1013	OK	13-05-2021	14:31:21.478	3.023	>9.5	>9.5	178.596	4	7	622.989	NotOK(12,13)	13-05-2021	14:31:21.478	3.023	22.502	OK	13-05-2021	14:31:22.723	4.268	22.504	OK			
13-05-2021	14:31:22.663	4.208	307.827	19.110	268	0	OK	13-05-2021	14:31:22.663	4.208	22.504	OK	13-05-2021	14:31:22.663	4.208	1013	OK	13-05-2021	14:31:22.480	4.024	>9.5	>9.5	178.608	4	7	622.990	NotOK(12,13)	13-05-2021	14:31:22.480	4.024	22.503	OK	13-05-2021	14:31:23.710	5.255	22.503	OK			
13-05-2021	14:31:23.570	5.115	307.122	19.135	268	0	OK	13-05-2021	14:31:23.570	5.115	22.504	OK	13-05-2021	14:31:23.570	5.115	1013	OK																13-05-2021	14:31:24.713	6.257	22.504	OK			
13-05-2021	14:31:24.569	6.114	307.186	19.133	268	0	OK	13-05-2021	14:31:24.569	6.114	22.503	OK	13-05-2021	14:31:24.569	6.114	1013	OK																13-05-2021	14:31:25.713	7.257	22.504	OK			
13-05-2021	14:31:25.571	7.116	308.393	19.090	268	0	OK	13-05-2021	14:31:25.571	7.116	22.504	OK	13-05-2021	14:31:25.571	7.116	1013	OK																13-05-2021	14:31:26.712	8.256	22.505	OK			
13-05-2021	14:31:26.572	8.116	307.630	19.117	268	0	OK	13-05-2021	14:31:26.572	8.116	22.504	OK	13-05-2021	14:31:26.572	8.116	1013	OK																13-05-2021	14:31:27.711	9.255	22.507	OK			
13-05-2021	14:31:27.572	9.116	307.501	19.121	268	0	OK	13-05-2021	14:31:27.572	9.116	22.506	OK	13-05-2021	14:31:27.572	9.116	1013	OK																13-05-2021	14:31:28.712	10.256	22.506	OK			
13-05-2021	14:31:28.571	10.116	307.557	19.119	268	0	OK	13-05-2021	14:31:28.571	10.116	22.506	OK	13-05-2021	14:31:28.571	10.116	1013	OK																13-05-2021	14:31:29.712	11.256	22.505	OK			
13-05-2021	14:31:29.570	11.114	306.965	19.140	268	0	OK	13-05-2021	14:31:29.570	11.114	22.506	OK	13-05-2021	14:31:29.570	11.114	1013	OK																13-05-2021	14:31:30.713	12.258	22.506	OK			
13-05-2021	14:31:30.578	12.123	308.130	19.099	268	0	OK	13-05-2021	14:31:30.578	12.123	22.505	OK	13-05-2021	14:31:30.578	12.123	1013	OK																13-05-2021	14:31:31.713	13.257	22.507	OK			
13-05-2021	14:31:31.572	13.117	307.058	19.137	268	0	OK	13-05-2021	14:31:31.572	13.117	22.505	OK	13-05-2021	14:31:31.572	13.117	1013	OK																13-05-2021	14:31:32.715	14.259	22.506	OK			
13-05-2021	14:31:32.572	14.117	307.311	19.128	268	0	OK	13-05-2021	14:31:32.572	14.117	22.505	OK	13-05-2021	14:31:32.572	14.117	1013	OK																13-05-2021	14:31:33.716	15.260	22.511	OK			
13-05-2021	14:31:33.573	15.117	307.122	19.133	268	0	OK	13-05-2021	14:31:33.573	15.117	22.511	OK	13-05-2021	14:31:33.573	15.117	1013	OK																13-05-2021	14:31:34.717	16.261	22.514	OK			
13-05-2021	14:31:34.572	16.116	307.493	19.119	268	0	OK	13-05-2021	14:31:34.572	16.116	22.514	OK	13-05-2021	14:31:34.572	16.116	1013	OK																13-05-2021	14:31:35.716	17.261	22.516	OK			
13-05-2021	14:31:35.572	17.117	306.913	19.139	268	0	OK	13-05-2021	14:31:35.572	17.117	22.516	OK	13-05-2021	14:31:35.572	17.117	1013	OK																13-05-2021	14:31:36.716	18.261	22.516	OK			
13-05-2021	14:31:36.572	18.117	307.505	19.118	268	0	OK	13-05-2021	14:31:36.572	18.117	22.516	OK	13-05-2021	14:31:36.572	18.117	1013	OK																13-05-2021	14:31:37.718	19.262	22.515	OK			
