#--- Experiment --------------------------------------------------------------------------																									
#MURIS_caloxy_MaBe3438_590																									
#MaBe3438 in MuMe1078 salinity corrected, new FRRf protocol																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.2.6.1424   www.pyroscience.com																									
#DESKTOP-R5TTQ6C																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting pro [A] FSPRO-4 SN:24E144075AC97E9D Firmware:4.05 Build:003																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A Ch.1] - Oxygen Sensor - XB7-534-210																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	1 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	36.000000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	2021-06-09	2000-12-31	23.117001	53.400000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1007.781006	22.444065	100.000000	20.000000	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [A P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (µmol/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
09-06-2021	13:41:47.282	0.228	245.335	21.935	307	0	OK	09-06-2021	13:41:47.282	0.228	21.853	OK	09-06-2021	13:41:47.282	0.228	1007	OK	09-06-2021	13:41:47.072	0.018	21.852	OK	PM 2021-06-09	1:42:47.390	"Start FRRf"
09-06-2021	13:41:48.284	1.230	244.375	21.980	307	0	OK	09-06-2021	13:41:48.284	1.230	21.854	OK	09-06-2021	13:41:48.284	1.230	1007	OK	09-06-2021	13:41:48.074	1.020	21.853	OK			
09-06-2021	13:41:49.284	2.231	244.567	21.970	308	0	OK	09-06-2021	13:41:49.284	2.231	21.857	OK	09-06-2021	13:41:49.284	2.231	1007	OK	09-06-2021	13:41:49.072	2.019	21.856	OK			
09-06-2021	13:41:50.284	3.230	244.686	21.965	308	0	OK	09-06-2021	13:41:50.284	3.230	21.855	OK	09-06-2021	13:41:50.284	3.230	1008	OK	09-06-2021	13:41:50.075	3.022	21.856	OK			
09-06-2021	13:41:51.284	4.231	244.650	21.967	307	0	OK	09-06-2021	13:41:51.284	4.231	21.854	OK	09-06-2021	13:41:51.284	4.231	1008	OK	09-06-2021	13:41:51.074	4.021	21.855	OK			
09-06-2021	13:41:52.283	5.229	245.093	21.947	307	0	OK	09-06-2021	13:41:52.283	5.229	21.851	OK	09-06-2021	13:41:52.283	5.229	1008	OK	09-06-2021	13:41:52.081	5.027	21.850	OK			
09-06-2021	13:41:53.283	6.229	244.358	21.982	307	0	OK	09-06-2021	13:41:53.283	6.229	21.850	OK	09-06-2021	13:41:53.283	6.229	1008	OK	09-06-2021	13:41:53.076	6.022	21.850	OK			
09-06-2021	13:41:54.283	7.229	245.063	21.949	307	0	OK	09-06-2021	13:41:54.283	7.229	21.849	OK	09-06-2021	13:41:54.283	7.229	1008	OK	09-06-2021	13:41:54.077	7.023	21.850	OK			
09-06-2021	13:41:55.283	8.230	244.676	21.967	308	0	OK	09-06-2021	13:41:55.283	8.230	21.850	OK	09-06-2021	13:41:55.283	8.230	1008	OK	09-06-2021	13:41:55.078	8.024	21.850	OK			
09-06-2021	13:41:56.296	9.242	244.470	21.977	308	0	OK	09-06-2021	13:41:56.296	9.242	21.849	OK	09-06-2021	13:41:56.296	9.242	1007	OK	09-06-2021	13:41:56.077	9.024	21.849	OK			
09-06-2021	13:41:57.284	10.230	244.276	21.985	308	0	OK	09-06-2021	13:41:57.284	10.230	21.853	OK	09-06-2021	13:41:57.284	10.230	1007	OK	09-06-2021	13:41:57.077	10.023	21.852	OK			
09-06-2021	13:41:58.285	11.232	244.728	21.963	307	0	OK	09-06-2021	13:41:58.285	11.232	21.855	OK	09-06-2021	13:41:58.285	11.232	1007	OK	09-06-2021	13:41:58.078	11.025	21.854	OK			
09-06-2021	13:41:59.285	12.231	244.913	21.954	308	0	OK	09-06-2021	13:41:59.285	12.231	21.856	OK	09-06-2021	13:41:59.285	12.231	1007	OK	09-06-2021	13:41:59.079	12.025	21.856	OK			
09-06-2021	13:42:00.285	13.232	245.131	21.944	307	0	OK	09-06-2021	13:42:00.285	13.232	21.855	OK	09-06-2021	13:42:00.285	13.232	1007	OK	09-06-2021	13:42:00.078	13.024	21.855	OK			
09-06-2021	13:42:01.284	14.230	244.460	21.976	308	0	OK	09-06-2021	13:42:01.284	14.230	21.854	OK	09-06-2021	13:42:01.284	14.230	1007	OK	09-06-2021	13:42:01.076	14.022	21.854	OK			
09-06-2021	13:42:02.286	15.232	245.201	21.941	307	0	OK	09-06-2021	13:42:02.286	15.232	21.854	OK	09-06-2021	13:42:02.286	15.232	1007	OK	09-06-2021	13:42:02.079	15.025	21.854	OK			
09-06-2021	13:42:03.284	16.230	244.656	21.967	308	0	OK	09-06-2021	13:42:03.284	16.230	21.853	OK	09-06-2021	13:42:03.284	16.230	1007	OK	09-06-2021	13:42:03.078	16.025	21.853	OK			
09-06-2021	13:42:04.284	17.231	244.966	21.953	308	0	OK	09-06-2021	13:42:04.284	17.231	21.851	OK	09-06-2021	13:42:04.284	17.231	1007	OK	09-06-2021	13:42:04.078	17.025	21.853	OK			
09-06-2021	13:42:05.287	18.233	244.635	21.968	307	0	OK	09-06-2021	13:42:05.287	18.233	21.853	OK	09-06-2021	13:42:05.287	18.233	1007	OK	09-06-2021	13:42:05.079	18.025	21.853	OK			
09-06-2021	13:42:06.287	19.233	244.656	21.967	307	0	OK	09-06-2021	13:42:06.287	19.233	21.853	OK	09-06-2021	13:42:06.287	19.233	1007	OK	09-06-2021	13:42:06.078	19.024	21.852	OK			
09-06-2021	13:42:07.287	20.233	245.102	21.946	307	0	OK	09-06-2021	13:42:07.287	20.233	21.853	OK	09-06-2021	13:42:07.287	20.233	1007	OK	09-06-2021	13:42:07.078	20.025	21.853	OK			
09-06-2021	13:42:08.287	21.233	244.974	21.952	307	0	OK	09-06-2021	13:42:08.287	21.233	21.853	OK	09-06-2021	13:42:08.287	21.233	1007	OK	09-06-2021	13:42:08.079	21.025	21.853	OK			
09-06-2021	13:42:09.288	22.234	244.227	21.987	307	0	OK	09-06-2021	13:42:09.288	22.234	21.854	OK	09-06-2021	13:42:09.288	22.234	1007	OK	09-06-2021	13:42:09.079	22.026	21.853	OK			
09-06-2021	13:42:10.286	23.233	244.684	21.966	308	0	OK	09-06-2021	13:42:10.286	23.233	21.852	OK	09-06-2021	13:42:10.286	23.233	1007	OK	09-06-2021	13:42:10.079	23.025	21.851	OK			
09-06-2021	13:42:11.287	24.233	244.367	21.981	308	0	OK	09-06-2021	13:42:11.287	24.233	21.852	OK	09-06-2021	13:42:11.287	24.233	1007	OK	09-06-2021	13:42:11.078	24.024	21.851	OK			
09-06-2021	13:42:12.287	25.233	244.297	21.984	308	0	OK	09-06-2021	13:42:12.287	25.233	21.853	OK	09-06-2021	13:42:12.287	25.233	1007	OK	09-06-2021	13:42:12.079	25.025	21.852	OK			
09-06-2021	13:42:13.285	26.231	244.648	21.968	308	0	OK	09-06-2021	13:42:13.285	26.231	21.851	OK	09-06-2021	13:42:13.285	26.231	1007	OK	09-06-2021	13:42:13.084	26.030	21.851	OK			
09-06-2021	13:42:14.288	27.235	245.186	21.942	308	0	OK	09-06-2021	13:42:14.288	27.235	21.853	OK	09-06-2021	13:42:14.288	27.235	1007	OK	09-06-2021	13:42:14.079	27.025	21.852	OK			
09-06-2021	13:42:15.288	28.234	244.938	21.954	307	0	OK	09-06-2021	13:42:15.288	28.234	21.852	OK	09-06-2021	13:42:15.288	28.234	1007	OK	09-06-2021	13:42:15.079	28.025	21.852	OK			
09-06-2021	13:42:16.286	29.232	244.587	21.970	308	0	OK	09-06-2021	13:42:16.286	29.232	21.854	OK	09-06-2021	13:42:16.286	29.232	1007	OK	09-06-2021	13:42:16.077	29.023	21.854	OK			
09-06-2021	13:42:17.294	30.241	244.375	21.980	308	0	OK	09-06-2021	13:42:17.294	30.241	21.854	OK	09-06-2021	13:42:17.294	30.241	1007	OK	09-06-2021	13:42:17.079	30.026	21.854	OK			
