#--- Experiment --------------------------------------------------------------------------																									
#MURIS_caloxy_MaBe3435_590																									
#MuMe1070 salinity corrected																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.2.6.1424   www.pyroscience.com																									
#DESKTOP-R5TTQ6C																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting pro [A] FSPRO-4 SN:24E144075AC97E9D Firmware:4.05 Build:003																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A Ch.1] - Oxygen Sensor - XB7-534-210																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	1 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	6.000000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	2021-06-09	2000-12-31	23.117000	53.400000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1007.781000	22.444000	100.000000	20.000000	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [A P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (µmol/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
10-06-2021	14:40:26.369	0.657	426.666	17.735	239	0	OK	10-06-2021	14:40:26.369	0.657	21.900	OK	10-06-2021	14:40:26.369	0.657	1014	OK	10-06-2021	14:40:25.730	0.019	21.900	OK	PM 2021-06-10	2:41:26.510	"Start FRRf"
10-06-2021	14:40:27.369	1.658	426.382	17.742	239	0	OK	10-06-2021	14:40:27.369	1.658	21.900	OK	10-06-2021	14:40:27.369	1.658	1014	OK	10-06-2021	14:40:26.736	1.024	21.900	OK			
10-06-2021	14:40:28.372	2.660	426.504	17.739	239	0	OK	10-06-2021	14:40:28.372	2.660	21.900	OK	10-06-2021	14:40:28.372	2.660	1014	OK	10-06-2021	14:40:27.735	2.023	21.899	OK			
10-06-2021	14:40:29.371	3.659	426.400	17.741	239	0	OK	10-06-2021	14:40:29.371	3.659	21.902	OK	10-06-2021	14:40:29.371	3.659	1014	OK	10-06-2021	14:40:28.736	3.024	21.901	OK			
10-06-2021	14:40:30.373	4.661	425.798	17.755	239	0	OK	10-06-2021	14:40:30.373	4.661	21.905	OK	10-06-2021	14:40:30.373	4.661	1014	OK	10-06-2021	14:40:29.734	4.022	21.903	OK			
10-06-2021	14:40:31.372	5.661	427.870	17.704	239	0	OK	10-06-2021	14:40:31.372	5.661	21.905	OK	10-06-2021	14:40:31.372	5.661	1014	OK	10-06-2021	14:40:30.734	5.023	21.905	OK			
10-06-2021	14:40:32.373	6.661	426.882	17.728	239	0	OK	10-06-2021	14:40:32.373	6.661	21.906	OK	10-06-2021	14:40:32.373	6.661	1014	OK	10-06-2021	14:40:31.735	6.023	21.906	OK			
10-06-2021	14:40:33.374	7.662	427.451	17.714	239	0	OK	10-06-2021	14:40:33.374	7.662	21.906	OK	10-06-2021	14:40:33.374	7.662	1014	OK	10-06-2021	14:40:32.735	7.023	21.906	OK			
10-06-2021	14:40:34.373	8.662	427.085	17.723	240	0	OK	10-06-2021	14:40:34.373	8.662	21.906	OK	10-06-2021	14:40:34.373	8.662	1014	OK	10-06-2021	14:40:33.734	8.023	21.905	OK			
10-06-2021	14:40:35.374	9.662	426.533	17.736	240	0	OK	10-06-2021	14:40:35.374	9.662	21.908	OK	10-06-2021	14:40:35.374	9.662	1014	OK	10-06-2021	14:40:34.735	9.023	21.907	OK			
10-06-2021	14:40:36.374	10.662	427.923	17.701	240	0	OK	10-06-2021	14:40:36.374	10.662	21.911	OK	10-06-2021	14:40:36.374	10.662	1014	OK	10-06-2021	14:40:35.735	10.023	21.909	OK			
10-06-2021	14:40:37.374	11.662	426.545	17.734	239	0	OK	10-06-2021	14:40:37.374	11.662	21.914	OK	10-06-2021	14:40:37.374	11.662	1014	OK	10-06-2021	14:40:36.735	11.023	21.913	OK			
10-06-2021	14:40:38.373	12.662	425.087	17.770	240	0	OK	10-06-2021	14:40:38.373	12.662	21.914	OK	10-06-2021	14:40:38.373	12.662	1014	OK	10-06-2021	14:40:37.736	12.024	21.913	OK			
10-06-2021	14:40:39.374	13.662	426.030	17.747	240	0	OK	10-06-2021	14:40:39.374	13.662	21.913	OK	10-06-2021	14:40:39.374	13.662	1014	OK	10-06-2021	14:40:38.737	13.025	21.913	OK			
10-06-2021	14:40:40.372	14.661	425.191	17.768	240	0	OK	10-06-2021	14:40:40.372	14.661	21.912	OK	10-06-2021	14:40:40.372	14.661	1014	OK	10-06-2021	14:40:39.737	14.026	21.911	OK			
10-06-2021	14:40:41.375	15.664	425.058	17.771	240	0	OK	10-06-2021	14:40:41.375	15.664	21.913	OK	10-06-2021	14:40:41.375	15.664	1014	OK	10-06-2021	14:40:40.740	15.028	21.914	OK			
10-06-2021	14:40:42.376	16.664	426.099	17.745	240	0	OK	10-06-2021	14:40:42.376	16.664	21.914	OK	10-06-2021	14:40:42.376	16.664	1014	OK	10-06-2021	14:40:41.738	16.027	21.914	OK			
10-06-2021	14:40:43.376	17.664	425.509	17.759	240	0	OK	10-06-2021	14:40:43.376	17.664	21.916	OK	10-06-2021	14:40:43.376	17.664	1014	OK	10-06-2021	14:40:42.738	17.026	21.914	OK			
10-06-2021	14:40:44.376	18.664	425.688	17.754	240	0	OK	10-06-2021	14:40:44.376	18.664	21.918	OK	10-06-2021	14:40:44.376	18.664	1014	OK	10-06-2021	14:40:43.739	18.027	21.917	OK			
