#--- Experiment --------------------------------------------------------------------------																									
#MURIS_caloxy_MaBe3436																									
#MuMe1077 salinity corrected																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.2.6.1424   www.pyroscience.com																									
#DESKTOP-R5TTQ6C																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting pro [A] FSPRO-4 SN:24E144075AC97E9D Firmware:4.05 Build:003																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A Ch.1] - Oxygen Sensor - XB7-534-210																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	1 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	1.000000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	2021-06-09	2000-12-31	23.117000	53.400000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1007.781000	22.444000	100.000000	20.000000	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [A P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (µmol/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
11-06-2021	11:34:06.998	0.898	173.987	29.353	429	0	OK	11-06-2021	11:34:06.998	0.898	19.380	OK	11-06-2021	11:34:06.998	0.898	1016	OK	11-06-2021	11:34:06.154	0.054	19.378	OK	AM 2021-06-11	11:35:07.574	"Start FRRf"
11-06-2021	11:34:07.998	1.897	174.362	29.326	429	0	OK	11-06-2021	11:34:07.998	1.897	19.382	OK	11-06-2021	11:34:07.998	1.897	1016	OK	11-06-2021	11:34:07.170	1.070	19.381	OK			
11-06-2021	11:34:09.000	2.899	174.171	29.338	429	0	OK	11-06-2021	11:34:09.000	2.899	19.386	OK	11-06-2021	11:34:09.000	2.899	1016	OK	11-06-2021	11:34:08.170	2.070	19.383	OK			
11-06-2021	11:34:09.997	3.897	174.222	29.333	429	0	OK	11-06-2021	11:34:09.997	3.897	19.390	OK	11-06-2021	11:34:09.997	3.897	1016	OK	11-06-2021	11:34:09.172	3.072	19.386	OK			
11-06-2021	11:34:11.000	4.899	174.063	29.342	429	0	OK	11-06-2021	11:34:11.000	4.899	19.396	OK	11-06-2021	11:34:11.000	4.899	1016	OK	11-06-2021	11:34:10.177	4.077	19.390	OK			
11-06-2021	11:34:11.999	5.899	173.890	29.352	429	0	OK	11-06-2021	11:34:11.999	5.899	19.402	OK	11-06-2021	11:34:11.999	5.899	1016	OK	11-06-2021	11:34:11.176	5.076	19.398	OK			
11-06-2021	11:34:13.000	6.899	174.002	29.342	429	0	OK	11-06-2021	11:34:13.000	6.899	19.408	OK	11-06-2021	11:34:13.000	6.899	1016	OK	11-06-2021	11:34:12.171	6.070	19.403	OK			
11-06-2021	11:34:13.999	7.899	173.820	29.353	430	0	OK	11-06-2021	11:34:13.999	7.899	19.413	OK	11-06-2021	11:34:13.999	7.899	1016	OK	11-06-2021	11:34:13.171	7.071	19.409	OK			
11-06-2021	11:34:14.997	8.896	173.634	29.365	430	0	OK	11-06-2021	11:34:14.997	8.896	19.416	OK	11-06-2021	11:34:14.997	8.896	1016	OK	11-06-2021	11:34:14.172	8.071	19.414	OK			
11-06-2021	11:34:16.014	9.913	173.386	29.381	430	0	OK	11-06-2021	11:34:16.014	9.913	19.420	OK	11-06-2021	11:34:16.014	9.913	1016	OK	11-06-2021	11:34:15.171	9.071	19.418	OK			
11-06-2021	11:34:16.998	10.898	173.939	29.340	430	0	OK	11-06-2021	11:34:16.998	10.898	19.426	OK	11-06-2021	11:34:16.998	10.898	1016	OK	11-06-2021	11:34:16.172	10.071	19.422	OK			
11-06-2021	11:34:17.998	11.898	173.586	29.363	430	0	OK	11-06-2021	11:34:17.998	11.898	19.431	OK	11-06-2021	11:34:17.998	11.898	1016	OK	11-06-2021	11:34:17.171	11.071	19.427	OK			
11-06-2021	11:34:18.998	12.898	173.262	29.384	430	0	OK	11-06-2021	11:34:18.998	12.898	19.436	OK	11-06-2021	11:34:18.998	12.898	1016	OK	11-06-2021	11:34:18.172	12.071	19.432	OK			
