#--- Experiment --------------------------------------------------------------------------																									
#MURIS_caloxy_MaBe3435_445																									
#salinity corrected																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.2.6.1424   www.pyroscience.com																									
#DESKTOP-R5TTQ6C																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting pro [A] FSPRO-4 SN:24E144075AC97E9D Firmware:4.05 Build:003																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A Ch.1] - Oxygen Sensor - XB7-534-210																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	1 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	6.000000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	2021-06-09	2000-12-31	23.117000	53.400000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1007.781000	22.444000	100.000000	20.000000	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [A P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (µmol/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
11-06-2021	12:48:03.093	-0.008	233.554	24.769	356	0	OK	11-06-2021	12:48:03.093	-0.008	21.259	OK	11-06-2021	12:48:03.093	-0.008	1015	OK	11-06-2021	12:48:03.171	0.069	21.259	OK	PM 2021-06-11	12:49:03.412	"Start FRRf"
11-06-2021	12:48:04.095	0.994	233.645	24.764	356	0	OK	11-06-2021	12:48:04.095	0.994	21.260	OK	11-06-2021	12:48:04.095	0.994	1015	OK	11-06-2021	12:48:04.156	1.054	21.260	OK			
11-06-2021	12:48:05.093	1.991	233.697	24.762	356	0	OK	11-06-2021	12:48:05.093	1.991	21.258	OK	11-06-2021	12:48:05.093	1.991	1015	OK	11-06-2021	12:48:05.152	2.051	21.258	OK			
11-06-2021	12:48:06.098	2.996	234.016	24.745	356	0	OK	11-06-2021	12:48:06.098	2.996	21.260	OK	11-06-2021	12:48:06.098	2.996	1015	OK	11-06-2021	12:48:06.160	3.058	21.260	OK			
11-06-2021	12:48:07.118	4.016	233.528	24.770	356	0	OK	11-06-2021	12:48:07.118	4.016	21.260	OK	11-06-2021	12:48:07.118	4.016	1015	OK	11-06-2021	12:48:07.198	4.096	21.260	OK			
11-06-2021	12:48:08.098	4.996	233.308	24.781	356	0	OK	11-06-2021	12:48:08.098	4.996	21.261	OK	11-06-2021	12:48:08.098	4.996	1015	OK	11-06-2021	12:48:08.161	5.059	21.262	OK			
11-06-2021	12:48:09.096	5.994	233.834	24.754	356	0	OK	11-06-2021	12:48:09.096	5.994	21.261	OK	11-06-2021	12:48:09.096	5.994	1015	OK	11-06-2021	12:48:09.173	6.071	21.262	OK			
11-06-2021	12:48:10.101	6.999	233.554	24.768	356	0	OK	11-06-2021	12:48:10.101	6.999	21.262	OK	11-06-2021	12:48:10.101	6.999	1015	OK	11-06-2021	12:48:10.166	7.064	21.262	OK			
11-06-2021	12:48:11.095	7.993	234.191	24.736	356	0	OK	11-06-2021	12:48:11.095	7.993	21.260	OK	11-06-2021	12:48:11.095	7.993	1015	OK	11-06-2021	12:48:11.156	8.054	21.260	OK			
11-06-2021	12:48:12.097	8.995	233.574	24.768	356	0	OK	11-06-2021	12:48:12.097	8.995	21.259	OK	11-06-2021	12:48:12.097	8.995	1015	OK	11-06-2021	12:48:12.158	9.056	21.259	OK			
11-06-2021	12:48:13.097	9.995	233.912	24.750	356	0	OK	11-06-2021	12:48:13.097	9.995	21.261	OK	11-06-2021	12:48:13.097	9.995	1015	OK	11-06-2021	12:48:13.157	10.055	21.261	OK			
11-06-2021	12:48:14.097	10.996	233.405	24.776	356	0	OK	11-06-2021	12:48:14.097	10.996	21.261	OK	11-06-2021	12:48:14.097	10.996	1015	OK	11-06-2021	12:48:14.157	11.055	21.261	OK			
11-06-2021	12:48:15.096	11.994	233.308	24.781	356	0	OK	11-06-2021	12:48:15.096	11.994	21.261	OK	11-06-2021	12:48:15.096	11.994	1015	OK	11-06-2021	12:48:15.157	12.055	21.261	OK			
