#--- Experiment --------------------------------------------------------------------------																									
#MURIS_caloxy_MaBe3460_590																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.2.6.1424   www.pyroscience.com																									
#DESKTOP-R5TTQ6C																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting pro [A] FSPRO-4 SN:24E144075AC97E9D Firmware:4.05 Build:003																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A Ch.1] - Oxygen Sensor - XB7-534-210																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	1 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	2	Internal Pressure Sensor	1013.000000	1.000000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	2021-07-09	2000-12-31	22.504866	53.400000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1014.903015	21.910603	100.000000	20.000000	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [A P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (µmol/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
09-07-2021	16:05:20.836	0.329	119.054	33.064	483	0	OK	09-07-2021	16:05:20.836	0.329	20.136	OK	09-07-2021	16:05:20.836	0.329	1014	OK	09-07-2021	16:05:20.523	0.016	20.137	OK	PM 2021-07-09	4:06:21.372	"Start FRRf"
09-07-2021	16:05:21.836	1.328	118.919	33.077	483	0	OK	09-07-2021	16:05:21.836	1.328	20.137	OK	09-07-2021	16:05:21.836	1.328	1014	OK	09-07-2021	16:05:21.523	1.016	20.137	OK			
09-07-2021	16:05:22.836	2.329	118.929	33.075	483	0	OK	09-07-2021	16:05:22.836	2.329	20.140	OK	09-07-2021	16:05:22.836	2.329	1014	OK	09-07-2021	16:05:22.523	2.016	20.140	OK			
09-07-2021	16:05:23.835	3.328	118.838	33.083	483	0	OK	09-07-2021	16:05:23.835	3.328	20.143	OK	09-07-2021	16:05:23.835	3.328	1014	OK	09-07-2021	16:05:23.524	3.017	20.142	OK			
09-07-2021	16:05:24.835	4.328	119.046	33.062	483	0	OK	09-07-2021	16:05:24.835	4.328	20.144	OK	09-07-2021	16:05:24.835	4.328	1014	OK	09-07-2021	16:05:24.524	4.017	20.145	OK			
09-07-2021	16:05:25.836	5.329	119.167	33.050	483	0	OK	09-07-2021	16:05:25.836	5.329	20.144	OK	09-07-2021	16:05:25.836	5.329	1014	OK	09-07-2021	16:05:25.523	5.016	20.145	OK			
09-07-2021	16:05:26.836	6.329	118.915	33.075	483	0	OK	09-07-2021	16:05:26.836	6.329	20.144	OK	09-07-2021	16:05:26.836	6.329	1014	OK	09-07-2021	16:05:26.525	6.018	20.144	OK			
09-07-2021	16:05:27.836	7.329	119.043	33.063	483	0	OK	09-07-2021	16:05:27.836	7.329	20.142	OK	09-07-2021	16:05:27.836	7.329	1014	OK	09-07-2021	16:05:27.525	7.018	20.143	OK			
09-07-2021	16:05:28.837	8.330	119.164	33.051	483	0	OK	09-07-2021	16:05:28.837	8.330	20.142	OK	09-07-2021	16:05:28.837	8.330	1014	OK	09-07-2021	16:05:28.526	8.019	20.142	OK			
09-07-2021	16:05:29.836	9.329	118.995	33.066	483	0	OK	09-07-2021	16:05:29.836	9.329	20.147	OK	09-07-2021	16:05:29.836	9.329	1014	OK	09-07-2021	16:05:29.525	9.018	20.145	OK			
09-07-2021	16:05:30.837	10.330	119.069	33.057	483	0	OK	09-07-2021	16:05:30.837	10.330	20.152	OK	09-07-2021	16:05:30.837	10.330	1014	OK	09-07-2021	16:05:30.526	10.019	20.149	OK			
09-07-2021	16:05:31.838	11.331	118.750	33.088	483	0	OK	09-07-2021	16:05:31.838	11.331	20.154	OK	09-07-2021	16:05:31.838	11.331	1014	OK	09-07-2021	16:05:31.526	11.019	20.153	OK			
09-07-2021	16:05:32.838	12.331	118.603	33.102	483	0	OK	09-07-2021	16:05:32.838	12.331	20.156	OK	09-07-2021	16:05:32.838	12.331	1014	OK	09-07-2021	16:05:32.526	12.019	20.156	OK			
