
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-210	1	ON External	20.000	ON	1013	5.500	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.372	22.355	1012	100.000	20.950	48.619	22.454	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	2021-11-10	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-11-10	12:40:03	0.00		177.33	---	---	---	22.497	---	---	---	1011.99	30.196	22.497	---	---	26.701	---	---	---	382.607	---	---	---	5.562	---	---	---	
2021-11-10	12:40:04	1.00		177.29	---	---	---	22.490	---	---	---	1011.97	30.196	22.490	---	---	26.706	---	---	---	382.601	---	---	---	5.553	---	---	---	
2021-11-10	12:40:05	2.00		177.31	---	---	---	22.490	---	---	---	1011.93	30.201	22.490	---	---	26.705	---	---	---	382.613	---	---	---	5.545	---	---	---	
2021-11-10	12:40:06	3.00		177.37	---	---	---	22.483	---	---	---	1011.90	30.201	22.483	---	---	26.703	---	---	---	382.570	---	---	---	5.557	---	---	---	
2021-11-10	12:40:07	4.00		177.40	---	---	---	22.483	---	---	---	1011.91	30.201	22.483	---	---	26.701	---	---	---	382.559	---	---	---	5.549	---	---	---	
2021-11-10	12:40:08	5.00		177.44	---	---	---	22.478	---	---	---	1011.89	30.201	22.478	---	---	26.701	---	---	---	382.545	---	---	---	5.561	---	---	---	
2021-11-10	12:40:09	6.00		177.38	---	---	---	22.478	---	---	---	1011.92	30.201	22.478	---	---	26.704	---	---	---	382.551	---	---	---	5.554	---	---	---	
2021-11-10	12:40:10	7.00		177.39	---	---	---	22.484	---	---	---	1011.92	30.201	22.484	---	---	26.702	---	---	---	382.565	---	---	---	5.551	---	---	---	
2021-11-10	12:40:11	8.00		177.33	---	---	---	22.490	---	---	---	1011.94	30.201	22.490	---	---	26.704	---	---	---	382.547	---	---	---	5.539	---	---	---	
2021-11-10	12:40:12	9.00		177.26	---	---	---	22.498	---	---	---	1011.92	30.201	22.498	---	---	26.706	---	---	---	382.545	---	---	---	5.534	---	---	---	
2021-11-10	12:40:13	10.00		177.26	---	---	---	22.497	---	---	---	1011.93	30.201	22.497	---	---	26.706	---	---	---	382.521	---	---	---	5.531	---	---	---	
2021-11-10	12:40:14	11.00		177.35	---	---	---	22.499	---	---	---	1011.94	30.201	22.499	---	---	26.700	---	---	---	382.522	---	---	---	5.532	---	---	---	
2021-11-10	12:40:15	12.00		177.49	---	---	---	22.483	---	---	---	1011.96	30.201	22.483	---	---	26.696	---	---	---	382.543	---	---	---	5.528	---	---	---	
2021-11-10	12:40:16	13.00		177.46	---	---	---	22.478	---	---	---	1011.94	30.201	22.478	---	---	26.699	---	---	---	382.539	---	---	---	5.522	---	---	---	
2021-11-10	12:40:17	14.00		177.28	---	---	---	22.484	---	---	---	1011.97	30.201	22.484	---	---	26.708	---	---	---	382.541	---	---	---	5.528	---	---	---	
2021-11-10	12:40:18	15.00		177.27	---	---	---	22.485	---	---	---	1011.98	30.201	22.485	---	---	26.709	---	---	---	382.502	---	---	---	5.530	---	---	---	
2021-11-10	12:40:19	16.00		177.22	---	---	---	22.499	---	---	---	1012.02	30.201	22.499	---	---	26.708	---	---	---	382.518	---	---	---	5.549	---	---	---	
2021-11-10	12:40:20	17.00		177.34	---	---	---	22.499	---	---	---	1012.05	30.201	22.499	---	---	26.700	---	---	---	382.531	---	---	---	5.545	---	---	---	
2021-11-10	12:40:21	18.00		177.31	---	---	---	22.506	---	---	---	1012.06	30.201	22.506	---	---	26.700	---	---	---	382.528	---	---	---	5.549	---	---	---	
2021-11-10	12:40:22	19.00		177.26	---	---	---	22.507	---	---	---	1012.07	30.201	22.507	---	---	26.703	---	---	---	382.538	---	---	---	5.540	---	---	---	
2021-11-10	12:40:23	20.00		177.17	---	---	---	22.514	---	---	---	1012.06	30.201	22.514	---	---	26.706	---	---	---	382.551	---	---	---	5.532	---	---	---	
2021-11-10	12:40:24	21.00		177.33	---	---	---	22.499	---	---	---	1012.09	30.201	22.499	---	---	26.701	---	---	---	382.579	---	---	---	5.530	---	---	---	
2021-11-10	12:40:25	22.00		177.44	---	---	---	22.491	---	---	---	1012.08	30.196	22.491	---	---	26.696	---	---	---	382.622	---	---	---	5.542	---	---	---	
2021-11-10	12:40:26	23.00		177.58	---	---	---	22.483	---	---	---	1012.10	30.196	22.483	---	---	26.690	---	---	---	382.605	---	---	---	5.563	---	---	---	
2021-11-10	12:40:27	24.00		177.57	---	---	---	22.483	---	---	---	1012.10	30.196	22.483	---	---	26.691	---	---	---	382.584	---	---	---	5.564	---	---	---	
2021-11-10	12:40:28	25.00		177.50	---	---	---	22.497	---	---	---	1012.13	30.201	22.497	---	---	26.691	---	---	---	382.533	---	---	---	5.534	---	---	---	
2021-11-10	12:40:29	26.00		177.41	---	---	---	22.491	---	---	---	1012.13	30.201	22.491	---	---	26.698	---	---	---	382.550	---	---	---	5.519	---	---	---	
2021-11-10	12:40:30	27.00		177.26	---	---	---	22.513	---	---	---	1012.13	30.201	22.513	---	---	26.701	---	---	---	382.597	---	---	---	5.512	---	---	---	
2021-11-10	12:40:31	28.00		177.42	---	---	---	22.484	---	---	---	1012.12	30.201	22.484	---	---	26.700	---	---	---	382.594	---	---	---	5.531	---	---	---	
2021-11-10	12:40:32	29.00		177.42	---	---	---	22.499	---	---	---	1012.14	30.201	22.499	---	---	26.695	---	---	---	382.587	---	---	---	5.532	---	---	---	
2021-11-10	12:40:33	30.00		177.51	---	---	---	22.477	---	---	---	1012.15	30.201	22.477	---	---	26.697	---	---	---	382.617	---	---	---	5.531	---	---	---	
2021-11-10	12:40:34	31.00		177.30	---	---	---	22.499	---	---	---	1012.18	30.201	22.499	---	---	26.703	---	---	---	382.700	---	---	---	5.540	---	---	---	
2021-11-10	12:40:35	32.00		177.27	---	---	---	22.470	---	---	---	1012.14	30.201	22.470	---	---	26.714	---	---	---	382.833	---	---	---	5.546	---	---	---	
2021-11-10	12:40:36	33.00		177.05	---	---	---	22.484	---	---	---	1012.14	30.201	22.484	---	---	26.723	---	---	---	382.957	---	---	---	5.546	---	---	---	
2021-11-10	12:40:37	34.00		176.89	---	---	---	22.476	---	---	---	1012.12	30.201	22.476	---	---	26.735	---	---	---	383.070	---	---	---	5.536	---	---	---	
