
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-210	1	ON External	20.000	ON	1013	5.500	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.372	22.355	1012	100.000	20.950	48.619	22.454	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	2021-11-10	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-11-10	14:45:11	0.00		275.64	---	---	---	22.454	---	---	---	1010.73	34.586	22.454	---	---	21.883	---	---	---	305.078	---	---	---	5.523	---	---	---	
2021-11-10	14:45:12	1.00		275.64	---	---	---	22.447	---	---	---	1010.72	34.586	22.447	---	---	21.885	---	---	---	305.118	---	---	---	5.520	---	---	---	
2021-11-10	14:45:13	2.00		275.70	---	---	---	22.447	---	---	---	1010.73	34.586	22.447	---	---	21.882	---	---	---	305.117	---	---	---	5.541	---	---	---	
2021-11-10	14:45:14	3.00		275.46	---	---	---	22.462	---	---	---	1010.71	34.596	22.462	---	---	21.887	---	---	---	305.115	---	---	---	5.538	---	---	---	
2021-11-10	14:45:15	4.00		275.46	---	---	---	22.467	---	---	---	1010.69	34.596	22.467	---	---	21.886	---	---	---	305.101	---	---	---	5.521	---	---	---	
2021-11-10	14:45:16	5.00		275.39	---	---	---	22.468	---	---	---	1010.68	34.596	22.468	---	---	21.888	---	---	---	305.141	---	---	---	5.510	---	---	---	
2021-11-10	14:45:17	6.00		275.28	---	---	---	22.453	---	---	---	1010.69	34.596	22.453	---	---	21.897	---	---	---	305.172	---	---	---	5.507	---	---	---	
2021-11-10	14:45:18	7.00		275.00	---	---	---	22.454	---	---	---	1010.69	34.596	22.454	---	---	21.908	---	---	---	305.202	---	---	---	5.524	---	---	---	
2021-11-10	14:45:19	8.00		274.99	---	---	---	22.462	---	---	---	1010.67	34.596	22.462	---	---	21.906	---	---	---	305.240	---	---	---	5.535	---	---	---	
2021-11-10	14:45:20	9.00		275.04	---	---	---	22.476	---	---	---	1010.64	34.596	22.476	---	---	21.900	---	---	---	305.268	---	---	---	5.534	---	---	---	
2021-11-10	14:45:21	10.00		274.99	---	---	---	22.483	---	---	---	1010.65	34.596	22.483	---	---	21.900	---	---	---	305.265	---	---	---	5.532	---	---	---	
2021-11-10	14:45:22	11.00		274.83	---	---	---	22.476	---	---	---	1010.67	34.596	22.476	---	---	21.908	---	---	---	305.274	---	---	---	5.522	---	---	---	
2021-11-10	14:45:23	12.00		274.95	---	---	---	22.456	---	---	---	1010.70	34.596	22.456	---	---	21.909	---	---	---	305.311	---	---	---	5.531	---	---	---	
2021-11-10	14:45:24	13.00		275.02	---	---	---	22.463	---	---	---	1010.71	34.596	22.463	---	---	21.904	---	---	---	305.372	---	---	---	5.526	---	---	---	
2021-11-10	14:45:25	14.00		274.99	---	---	---	22.476	---	---	---	1010.71	34.596	22.476	---	---	21.901	---	---	---	305.409	---	---	---	5.541	---	---	---	
2021-11-10	14:45:26	15.00		274.79	---	---	---	22.483	---	---	---	1010.70	34.596	22.483	---	---	21.907	---	---	---	305.405	---	---	---	5.527	---	---	---	
2021-11-10	14:45:27	16.00		274.82	---	---	---	22.476	---	---	---	1010.70	34.596	22.476	---	---	21.908	---	---	---	305.395	---	---	---	5.536	---	---	---	
2021-11-10	14:45:28	17.00		274.86	---	---	---	22.453	---	---	---	1010.70	34.596	22.453	---	---	21.913	---	---	---	305.379	---	---	---	5.527	---	---	---	
2021-11-10	14:45:29	18.00		274.94	---	---	---	22.460	---	---	---	1010.70	34.596	22.460	---	---	21.908	---	---	---	305.389	---	---	---	5.529	---	---	---	
2021-11-10	14:45:30	19.00		275.09	---	---	---	22.446	---	---	---	1010.71	34.596	22.446	---	---	21.906	---	---	---	305.391	---	---	---	5.515	---	---	---	
2021-11-10	14:45:31	20.00		275.20	---	---	---	22.454	---	---	---	1010.70	34.596	22.454	---	---	21.900	---	---	---	305.378	---	---	---	5.513	---	---	---	
2021-11-10	14:45:32	21.00		275.23	---	---	---	22.447	---	---	---	1010.67	34.596	22.447	---	---	21.901	---	---	---	305.360	---	---	---	5.507	---	---	---	
2021-11-10	14:45:33	22.00		275.10	---	---	---	22.461	---	---	---	1010.63	34.596	22.461	---	---	21.902	---	---	---	305.393	---	---	---	5.511	---	---	---	
2021-11-10	14:45:34	23.00		275.17	---	---	---	22.446	---	---	---	1010.65	34.596	22.446	---	---	21.903	---	---	---	305.429	---	---	---	5.514	---	---	---	
2021-11-10	14:45:35	24.00		274.94	---	---	---	22.454	---	---	---	1010.67	34.596	22.454	---	---	21.910	---	---	---	305.485	---	---	---	5.533	---	---	---	
2021-11-10	14:45:36	25.00		274.91	---	---	---	22.447	---	---	---	1010.69	34.596	22.447	---	---	21.913	---	---	---	305.498	---	---	---	5.534	---	---	---	
2021-11-10	14:45:37	26.00		274.88	---	---	---	22.448	---	---	---	1010.66	34.596	22.448	---	---	21.914	---	---	---	305.512	---	---	---	5.535	---	---	---	
2021-11-10	14:45:38	27.00		275.04	---	---	---	22.448	---	---	---	1010.66	34.596	22.448	---	---	21.908	---	---	---	305.511	---	---	---	5.524	---	---	---	
2021-11-10	14:45:39	28.00		275.14	---	---	---	22.441	---	---	---	1010.65	34.596	22.441	---	---	21.906	---	---	---	305.495	---	---	---	5.522	---	---	---	
2021-11-10	14:45:40	29.00		274.98	---	---	---	22.455	---	---	---	1010.68	34.596	22.455	---	---	21.908	---	---	---	305.535	---	---	---	5.516	---	---	---	
2021-11-10	14:45:41	30.00		275.01	---	---	---	22.449	---	---	---	1010.71	34.596	22.449	---	---	21.909	---	---	---	305.608	---	---	---	5.522	---	---	---	
2021-11-10	14:45:42	31.00		274.88	---	---	---	22.455	---	---	---	1010.72	34.596	22.455	---	---	21.912	---	---	---	305.649	---	---	---	5.523	---	---	---	
2021-11-10	14:45:43	32.00		274.96	---	---	---	22.448	---	---	---	1010.73	34.596	22.448	---	---	21.911	---	---	---	305.638	---	---	---	5.503	---	---	---	
2021-11-10	14:45:44	33.00		274.93	---	---	---	22.454	---	---	---	1010.70	34.596	22.454	---	---	21.910	---	---	---	305.600	---	---	---	5.502	---	---	---	
2021-11-10	14:45:45	34.00		274.86	---	---	---	22.447	---	---	---	1010.67	34.596	22.447	---	---	21.915	---	---	---	305.603	---	---	---	5.500	---	---	---	
2021-11-10	14:45:46	35.00		274.78	---	---	---	22.448	---	---	---	1010.65	34.596	22.448	---	---	21.918	---	---	---	305.613	---	---	---	5.507	---	---	---	
2021-11-10	14:45:47	36.00		274.54	---	---	---	22.454	---	---	---	1010.66	34.596	22.454	---	---	21.926	---	---	---	305.650	---	---	---	5.509	---	---	---	
