
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-211	1	ON External	20.000	ON	1013	1.000	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.272	22.106	1003	100.000	20.950	53.391	22.874	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.200	
Data	Smoothing:	3	
Date:	2021-12-10	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-12-10	10:36:47	0.00		148.67	---	---	---	23.308	---	---	---	1027.77	12.986	23.308	---	---	29.570	---	---	---	352.326	---	---	---	5.486	---	---	---	
2021-12-10	10:36:48	1.00		148.70	---	---	---	23.316	---	---	---	1027.73	12.992	23.316	---	---	29.565	---	---	---	352.341	---	---	---	5.497	---	---	---	
2021-12-10	10:36:49	2.00		148.57	---	---	---	23.316	---	---	---	1027.76	12.992	23.316	---	---	29.576	---	---	---	352.365	---	---	---	5.490	---	---	---	
2021-12-10	10:36:50	3.00		148.65	---	---	---	23.324	---	---	---	1027.78	12.992	23.324	---	---	29.566	---	---	---	352.364	---	---	---	5.492	---	---	---	
2021-12-10	10:36:51	4.00		148.51	---	---	---	23.331	---	---	---	1027.80	12.992	23.331	---	---	29.576	---	---	---	352.368	---	---	---	5.494	---	---	---	
2021-12-10	10:36:52	5.00		148.52	---	---	---	23.353	---	---	---	1027.79	12.992	23.353	---	---	29.567	---	---	---	352.347	---	---	---	5.508	---	---	---	
2021-12-10	10:36:53	6.00		148.54	---	---	---	23.339	---	---	---	1027.79	12.992	23.339	---	---	29.571	---	---	---	352.359	---	---	---	5.504	---	---	---	
2021-12-10	10:36:54	7.00		148.50	---	---	---	23.345	---	---	---	1027.79	12.986	23.345	---	---	29.572	---	---	---	352.334	---	---	---	5.509	---	---	---	
2021-12-10	10:36:55	8.00		148.56	---	---	---	23.324	---	---	---	1027.79	12.986	23.324	---	---	29.574	---	---	---	352.305	---	---	---	5.513	---	---	---	
2021-12-10	10:36:56	9.00		148.55	---	---	---	23.323	---	---	---	1027.77	12.986	23.323	---	---	29.575	---	---	---	352.300	---	---	---	5.514	---	---	---	
2021-12-10	10:36:57	10.00		148.65	---	---	---	23.316	---	---	---	1027.78	12.992	23.316	---	---	29.569	---	---	---	352.323	---	---	---	5.522	---	---	---	
2021-12-10	10:36:58	11.00		148.68	---	---	---	23.316	---	---	---	1027.83	12.992	23.316	---	---	29.567	---	---	---	352.408	---	---	---	5.514	---	---	---	
2021-12-10	10:36:59	12.00		148.68	---	---	---	23.324	---	---	---	1027.85	13.010	23.324	---	---	29.564	---	---	---	352.419	---	---	---	5.530	---	---	---	
2021-12-10	10:37:00	13.00		148.55	---	---	---	23.317	---	---	---	1027.85	13.004	23.317	---	---	29.577	---	---	---	352.421	---	---	---	5.529	---	---	---	
2021-12-10	10:37:01	14.00		148.59	---	---	---	23.324	---	---	---	1027.82	13.017	23.324	---	---	29.572	---	---	---	352.391	---	---	---	5.531	---	---	---	
2021-12-10	10:37:02	15.00		148.55	---	---	---	23.325	---	---	---	1027.84	13.017	23.325	---	---	29.574	---	---	---	352.394	---	---	---	5.493	---	---	---	
2021-12-10	10:37:03	16.00		148.65	---	---	---	23.331	---	---	---	1027.83	13.035	23.331	---	---	29.564	---	---	---	352.397	---	---	---	5.485	---	---	---	
2021-12-10	10:37:04	17.00		148.57	---	---	---	23.317	---	---	---	1027.83	13.035	23.317	---	---	29.576	---	---	---	352.400	---	---	---	5.478	---	---	---	
2021-12-10	10:37:05	18.00		148.55	---	---	---	23.317	---	---	---	1027.83	13.030	23.317	---	---	29.577	---	---	---	352.376	---	---	---	5.499	---	---	---	
2021-12-10	10:37:06	19.00		148.58	---	---	---	23.311	---	---	---	1027.83	13.030	23.311	---	---	29.576	---	---	---	352.351	---	---	---	5.511	---	---	---	
2021-12-10	10:37:07	20.00		148.54	---	---	---	23.317	---	---	---	1027.83	13.030	23.317	---	---	29.578	---	---	---	352.349	---	---	---	5.517	---	---	---	
2021-12-10	10:37:08	21.00		148.56	---	---	---	23.317	---	---	---	1027.79	13.030	23.317	---	---	29.576	---	---	---	352.401	---	---	---	5.507	---	---	---	
2021-12-10	10:37:09	22.00		148.60	---	---	---	23.308	---	---	---	1027.80	13.030	23.308	---	---	29.576	---	---	---	352.405	---	---	---	5.491	---	---	---	
2021-12-10	10:37:10	23.00		148.60	---	---	---	23.316	---	---	---	1027.81	13.025	23.316	---	---	29.573	---	---	---	352.365	---	---	---	5.496	---	---	---	
2021-12-10	10:37:11	24.00		148.69	---	---	---	23.309	---	---	---	1027.85	13.030	23.309	---	---	29.568	---	---	---	352.329	---	---	---	5.493	---	---	---	
