
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-211	1	ON External	20.000	ON	1013	1.000	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.272	22.106	1003	100.000	20.950	53.391	22.874	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.200	
Data	Smoothing:	3	
Date:	2021-12-10	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-12-10	11:17:10	0.00		162.54	---	---	---	22.380	---	---	---	1027.31	13.004	22.380	---	---	28.795	---	---	---	341.142	---	---	---	5.504	---	---	---	
2021-12-10	11:17:11	1.00		162.60	---	---	---	22.380	---	---	---	1027.34	13.004	22.380	---	---	28.791	---	---	---	341.145	---	---	---	5.515	---	---	---	
2021-12-10	11:17:12	2.00		162.64	---	---	---	22.387	---	---	---	1027.33	13.004	22.387	---	---	28.785	---	---	---	341.165	---	---	---	5.520	---	---	---	
2021-12-10	11:17:13	3.00		162.73	---	---	---	22.386	---	---	---	1027.31	13.004	22.386	---	---	28.779	---	---	---	341.162	---	---	---	5.512	---	---	---	
2021-12-10	11:17:14	4.00		162.63	---	---	---	22.386	---	---	---	1027.29	13.004	22.386	---	---	28.786	---	---	---	341.128	---	---	---	5.501	---	---	---	
2021-12-10	11:17:15	5.00		162.58	---	---	---	22.387	---	---	---	1027.30	13.004	22.387	---	---	28.790	---	---	---	341.162	---	---	---	5.500	---	---	---	
2021-12-10	11:17:16	6.00		162.62	---	---	---	22.381	---	---	---	1027.31	13.004	22.381	---	---	28.789	---	---	---	341.188	---	---	---	5.516	---	---	---	
2021-12-10	11:17:17	7.00		162.62	---	---	---	22.374	---	---	---	1027.29	13.004	22.374	---	---	28.791	---	---	---	341.201	---	---	---	5.532	---	---	---	
2021-12-10	11:17:18	8.00		162.74	---	---	---	22.361	---	---	---	1027.32	13.004	22.361	---	---	28.787	---	---	---	341.165	---	---	---	5.538	---	---	---	
2021-12-10	11:17:19	9.00		162.71	---	---	---	22.359	---	---	---	1027.34	13.004	22.359	---	---	28.790	---	---	---	341.179	---	---	---	5.531	---	---	---	
2021-12-10	11:17:20	10.00		162.84	---	---	---	22.358	---	---	---	1027.35	13.004	22.358	---	---	28.781	---	---	---	341.203	---	---	---	5.517	---	---	---	
