
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-211	1	ON External	20.000	ON	1013	8.000	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.272	22.106	1003	100.000	20.950	53.391	22.874	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.200	
Data	Smoothing:	3	
Date:	2022-04-11	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2022-04-11	12:48:40	0.00		266.36	---	---	---	22.133	---	---	---	1004.92	27.012	22.133	---	---	22.459	---	---	---	261.345	---	---	---	5.510	---	---	---	
2022-04-11	12:48:41	1.00		266.49	---	---	---	22.105	---	---	---	1004.95	27.012	22.105	---	---	22.462	---	---	---	261.353	---	---	---	5.509	---	---	---	
2022-04-11	12:48:42	2.00		266.44	---	---	---	22.091	---	---	---	1005.00	27.012	22.091	---	---	22.469	---	---	---	261.341	---	---	---	5.509	---	---	---	
2022-04-11	12:48:43	3.00		266.40	---	---	---	22.087	---	---	---	1005.02	27.012	22.087	---	---	22.472	---	---	---	261.352	---	---	---	5.514	---	---	---	
2022-04-11	12:48:44	4.00		266.06	---	---	---	22.102	---	---	---	1005.00	27.012	22.102	---	---	22.482	---	---	---	261.339	---	---	---	5.509	---	---	---	
2022-04-11	12:48:45	5.00		265.90	---	---	---	22.120	---	---	---	1004.98	27.012	22.120	---	---	22.483	---	---	---	261.356	---	---	---	5.513	---	---	---	
2022-04-11	12:48:46	6.00		265.86	---	---	---	22.113	---	---	---	1004.95	27.012	22.113	---	---	22.487	---	---	---	261.347	---	---	---	5.508	---	---	---	
2022-04-11	12:48:47	7.00		266.05	---	---	---	22.097	---	---	---	1004.97	26.997	22.097	---	---	22.484	---	---	---	261.352	---	---	---	5.524	---	---	---	
2022-04-11	12:48:48	8.00		266.10	---	---	---	22.077	---	---	---	1004.97	26.981	22.077	---	---	22.488	---	---	---	261.366	---	---	---	5.505	---	---	---	
2022-04-11	12:48:49	9.00		265.66	---	---	---	22.113	---	---	---	1004.98	26.966	22.113	---	---	22.495	---	---	---	261.412	---	---	---	5.506	---	---	---	
2022-04-11	12:48:50	10.00		265.69	---	---	---	22.121	---	---	---	1004.95	26.966	22.121	---	---	22.492	---	---	---	261.456	---	---	---	5.495	---	---	---	
