
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-211	1	ON External	20.000	ON	1013	8.000	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.272	22.106	1003	100.000	20.950	53.391	22.874	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.200	
Data	Smoothing:	3	
Date:	2022-04-12	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2022-04-12	11:40:09	0.00		302.97	---	---	---	21.486	---	---	---	1010.25	23.764	21.486	---	---	21.176	---	---	---	245.573	---	---	---	5.496	---	---	---	
2022-04-12	11:40:10	1.00		302.25	---	---	---	21.535	---	---	---	1010.25	23.739	21.535	---	---	21.188	---	---	---	245.484	---	---	---	5.497	---	---	---	
2022-04-12	11:40:11	2.00		302.72	---	---	---	21.479	---	---	---	1010.22	23.739	21.479	---	---	21.188	---	---	---	245.440	---	---	---	5.491	---	---	---	
2022-04-12	11:40:12	3.00		302.63	---	---	---	21.500	---	---	---	1010.20	23.739	21.500	---	---	21.184	---	---	---	245.420	---	---	---	5.506	---	---	---	
2022-04-12	11:40:13	4.00		303.02	---	---	---	21.466	---	---	---	1010.23	23.739	21.466	---	---	21.180	---	---	---	245.423	---	---	---	5.506	---	---	---	
2022-04-12	11:40:14	5.00		302.93	---	---	---	21.500	---	---	---	1010.24	23.739	21.500	---	---	21.173	---	---	---	245.444	---	---	---	5.513	---	---	---	
2022-04-12	11:40:15	6.00		302.94	---	---	---	21.473	---	---	---	1010.21	23.739	21.473	---	---	21.181	---	---	---	245.433	---	---	---	5.512	---	---	---	
2022-04-12	11:40:16	7.00		302.66	---	---	---	21.500	---	---	---	1010.17	23.739	21.500	---	---	21.184	---	---	---	245.410	---	---	---	5.512	---	---	---	
2022-04-12	11:40:17	8.00		302.71	---	---	---	21.499	---	---	---	1010.20	23.739	21.499	---	---	21.182	---	---	---	245.324	---	---	---	5.508	---	---	---	
2022-04-12	11:40:18	9.00		303.09	---	---	---	21.490	---	---	---	1010.23	23.739	21.490	---	---	21.170	---	---	---	245.306	---	---	---	5.507	---	---	---	
2022-04-12	11:40:19	10.00		303.37	---	---	---	21.483	---	---	---	1010.23	23.739	21.483	---	---	21.162	---	---	---	245.265	---	---	---	5.523	---	---	---	
2022-04-12	11:40:20	11.00		303.33	---	---	---	21.490	---	---	---	1010.22	23.739	21.490	---	---	21.161	---	---	---	245.288	---	---	---	5.519	---	---	---	
2022-04-12	11:40:21	12.00		302.51	---	---	---	21.567	---	---	---	1010.24	23.739	21.567	---	---	21.168	---	---	---	245.226	---	---	---	5.520	---	---	---	
2022-04-12	11:40:22	13.00		302.47	---	---	---	21.575	---	---	---	1010.26	23.739	21.575	---	---	21.167	---	---	---	245.197	---	---	---	5.508	---	---	---	
2022-04-12	11:40:23	14.00		302.79	---	---	---	21.567	---	---	---	1010.25	23.739	21.567	---	---	21.158	---	---	---	245.166	---	---	---	5.525	---	---	---	
