
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-211	1	ON External	20.000	ON	1013	8.000	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.272	22.106	1003	100.000	20.950	53.391	22.874	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.200	
Data	Smoothing:	3	
Date:	2021-12-08	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-12-08	14:13:06	0.00		269.99	---	---	---	22.169	---	---	---	1021.39	15.583	22.169	---	---	22.285	---	---	---	259.457	---	---	---	5.541	---	---	---	
2021-12-08	14:13:07	1.00		269.99	---	---	---	22.176	---	---	---	1021.40	15.583	22.176	---	---	22.283	---	---	---	259.493	---	---	---	5.531	---	---	---	
2021-12-08	14:13:08	2.00		270.05	---	---	---	22.180	---	---	---	1021.40	15.583	22.180	---	---	22.279	---	---	---	259.498	---	---	---	5.536	---	---	---	
2021-12-08	14:13:09	3.00		270.04	---	---	---	22.223	---	---	---	1021.40	15.583	22.223	---	---	22.266	---	---	---	259.455	---	---	---	5.524	---	---	---	
2021-12-08	14:13:10	4.00		270.09	---	---	---	22.218	---	---	---	1021.38	15.583	22.218	---	---	22.265	---	---	---	259.466	---	---	---	5.510	---	---	---	
2021-12-08	14:13:11	5.00		269.69	---	---	---	22.261	---	---	---	1021.36	15.583	22.261	---	---	22.269	---	---	---	259.456	---	---	---	5.508	---	---	---	
2021-12-08	14:13:12	6.00		269.46	---	---	---	22.272	---	---	---	1021.32	15.583	22.272	---	---	22.275	---	---	---	259.464	---	---	---	5.539	---	---	---	
2021-12-08	14:13:13	7.00		268.82	---	---	---	22.335	---	---	---	1021.33	15.583	22.335	---	---	22.283	---	---	---	259.428	---	---	---	5.562	---	---	---	
2021-12-08	14:13:14	8.00		268.89	---	---	---	22.354	---	---	---	1021.33	15.583	22.354	---	---	22.274	---	---	---	259.395	---	---	---	5.561	---	---	---	
2021-12-08	14:13:15	9.00		269.35	---	---	---	22.295	---	---	---	1021.35	15.583	22.295	---	---	22.273	---	---	---	259.368	---	---	---	5.541	---	---	---	
2021-12-08	14:13:16	10.00		269.57	---	---	---	22.281	---	---	---	1021.35	15.583	22.281	---	---	22.268	---	---	---	259.384	---	---	---	5.529	---	---	---	
2021-12-08	14:13:17	11.00		269.64	---	---	---	22.262	---	---	---	1021.35	15.583	22.262	---	---	22.271	---	---	---	259.414	---	---	---	5.527	---	---	---	
2021-12-08	14:13:18	12.00		269.47	---	---	---	22.305	---	---	---	1021.34	15.583	22.305	---	---	22.265	---	---	---	259.427	---	---	---	5.525	---	---	---	
2021-12-08	14:13:19	13.00		269.43	---	---	---	22.319	---	---	---	1021.31	15.608	22.319	---	---	22.262	---	---	---	259.414	---	---	---	5.515	---	---	---	
2021-12-08	14:13:20	14.00		269.46	---	---	---	22.296	---	---	---	1021.31	15.634	22.296	---	---	22.268	---	---	---	259.463	---	---	---	5.527	---	---	---	
2021-12-08	14:13:21	15.00		269.38	---	---	---	22.286	---	---	---	1021.30	15.659	22.286	---	---	22.274	---	---	---	259.431	---	---	---	5.517	---	---	---	
2021-12-08	14:13:22	16.00		269.49	---	---	---	22.248	---	---	---	1021.35	15.659	22.248	---	---	22.281	---	---	---	259.431	---	---	---	5.521	---	---	---	
2021-12-08	14:13:23	17.00		269.25	---	---	---	22.296	---	---	---	1021.32	15.659	22.296	---	---	22.277	---	---	---	259.383	---	---	---	5.516	---	---	---	
2021-12-08	14:13:24	18.00		269.11	---	---	---	22.302	---	---	---	1021.35	15.659	22.302	---	---	22.281	---	---	---	259.445	---	---	---	5.520	---	---	---	
2021-12-08	14:13:25	19.00		269.48	---	---	---	22.267	---	---	---	1021.30	15.659	22.267	---	---	22.276	---	---	---	259.438	---	---	---	5.526	---	---	---	
2021-12-08	14:13:26	20.00		269.55	---	---	---	22.256	---	---	---	1021.34	15.659	22.256	---	---	22.276	---	---	---	259.427	---	---	---	5.522	---	---	---	
2021-12-08	14:13:27	21.00		269.59	---	---	---	22.290	---	---	---	1021.34	15.659	22.290	---	---	22.264	---	---	---	259.382	---	---	---	5.522	---	---	---	
2021-12-08	14:13:28	22.00		269.37	---	---	---	22.325	---	---	---	1021.37	15.659	22.325	---	---	22.263	---	---	---	259.380	---	---	---	5.516	---	---	---	
2021-12-08	14:13:29	23.00		269.76	---	---	---	22.281	---	---	---	1021.36	15.659	22.281	---	---	22.259	---	---	---	259.409	---	---	---	5.511	---	---	---	
