
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-211	1	ON External	20.000	ON	1013	32.000	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.272	22.106	1003	100.000	20.950	53.391	22.874	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.200	
Data	Smoothing:	3	
Date:	2022-10-26	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2022-10-26	13:25:44	0.00		52.626	---	---	---	22.368	---	---	---	1015.04	58.567	22.368	---	---	39.583	---	---	---	402.527	---	---	---	5.509	---	---	---	
2022-10-26	13:25:45	1.00		52.638	---	---	---	22.374	---	---	---	1015.02	58.547	22.374	---	---	39.579	---	---	---	402.548	---	---	---	5.516	---	---	---	
2022-10-26	13:25:46	2.00		52.640	---	---	---	22.382	---	---	---	1015.00	58.526	22.382	---	---	39.577	---	---	---	402.538	---	---	---	5.505	---	---	---	
2022-10-26	13:25:47	3.00		52.661	---	---	---	22.388	---	---	---	1014.99	58.506	22.388	---	---	39.571	---	---	---	402.553	---	---	---	5.504	---	---	---	
2022-10-26	13:25:48	4.00		52.622	---	---	---	22.403	---	---	---	1015.02	58.506	22.403	---	---	39.574	---	---	---	402.542	---	---	---	5.503	---	---	---	
2022-10-26	13:25:49	5.00		52.620	---	---	---	22.397	---	---	---	1015.05	58.506	22.397	---	---	39.576	---	---	---	402.493	---	---	---	5.502	---	---	---	
2022-10-26	13:25:50	6.00		52.598	---	---	---	22.390	---	---	---	1015.06	58.506	22.390	---	---	39.582	---	---	---	402.490	---	---	---	5.510	---	---	---	
2022-10-26	13:25:51	7.00		52.632	---	---	---	22.376	---	---	---	1015.07	58.506	22.376	---	---	39.580	---	---	---	402.501	---	---	---	5.505	---	---	---	
2022-10-26	13:25:52	8.00		52.601	---	---	---	22.376	---	---	---	1015.08	58.498	22.376	---	---	39.585	---	---	---	402.554	---	---	---	5.519	---	---	---	
2022-10-26	13:25:53	9.00		52.619	---	---	---	22.376	---	---	---	1015.11	58.491	22.376	---	---	39.582	---	---	---	402.611	---	---	---	5.518	---	---	---	
2022-10-26	13:25:54	10.00		52.592	---	---	---	22.368	---	---	---	1015.10	58.483	22.368	---	---	39.589	---	---	---	402.664	---	---	---	5.515	---	---	---	
2022-10-26	13:25:55	11.00		52.589	---	---	---	22.369	---	---	---	1015.08	58.483	22.369	---	---	39.590	---	---	---	402.618	---	---	---	5.508	---	---	---	
2022-10-26	13:25:56	12.00		52.562	---	---	---	22.362	---	---	---	1015.06	58.483	22.362	---	---	39.597	---	---	---	402.640	---	---	---	5.509	---	---	---	
2022-10-26	13:25:57	13.00		52.594	---	---	---	22.354	---	---	---	1015.04	58.483	22.354	---	---	39.593	---	---	---	402.633	---	---	---	5.518	---	---	---	
2022-10-26	13:25:58	14.00		52.594	---	---	---	22.345	---	---	---	1015.08	58.483	22.345	---	---	39.595	---	---	---	402.724	---	---	---	5.528	---	---	---	
2022-10-26	13:25:59	15.00		52.568	---	---	---	22.352	---	---	---	1015.08	58.483	22.352	---	---	39.598	---	---	---	402.634	---	---	---	5.517	---	---	---	
2022-10-26	13:26:00	16.00		52.535	---	---	---	22.367	---	---	---	1015.11	58.483	22.367	---	---	39.600	---	---	---	402.617	---	---	---	5.526	---	---	---	
2022-10-26	13:26:01	17.00		52.533	---	---	---	22.374	---	---	---	1015.10	58.483	22.374	---	---	39.599	---	---	---	402.611	---	---	---	5.510	---	---	---	
2022-10-26	13:26:02	18.00		52.522	---	---	---	22.375	---	---	---	1015.11	58.483	22.375	---	---	39.601	---	---	---	402.630	---	---	---	5.510	---	---	---	
2022-10-26	13:26:03	19.00		52.526	---	---	---	22.375	---	---	---	1015.10	58.483	22.375	---	---	39.600	---	---	---	402.645	---	---	---	5.499	---	---	---	
2022-10-26	13:26:04	20.00		52.499	---	---	---	22.362	---	---	---	1015.07	58.491	22.362	---	---	39.608	---	---	---	402.667	---	---	---	5.506	---	---	---	
2022-10-26	13:26:05	21.00		52.537	---	---	---	22.349	---	---	---	1015.06	58.498	22.349	---	---	39.605	---	---	---	402.721	---	---	---	5.497	---	---	---	
2022-10-26	13:26:06	22.00		52.517	---	---	---	22.349	---	---	---	1015.04	58.506	22.349	---	---	39.608	---	---	---	402.747	---	---	---	5.502	---	---	---	
2022-10-26	13:26:07	23.00		52.545	---	---	---	22.348	---	---	---	1015.04	58.506	22.348	---	---	39.603	---	---	---	402.766	---	---	---	5.495	---	---	---	
2022-10-26	13:26:08	24.00		52.537	---	---	---	22.362	---	---	---	1015.08	58.506	22.362	---	---	39.601	---	---	---	402.781	---	---	---	5.512	---	---	---	
2022-10-26	13:26:09	25.00		52.532	---	---	---	22.360	---	---	---	1015.13	58.506	22.360	---	---	39.603	---	---	---	402.760	---	---	---	5.512	---	---	---	
2022-10-26	13:26:10	26.00		52.467	---	---	---	22.375	---	---	---	1015.14	58.506	22.375	---	---	39.611	---	---	---	402.778	---	---	---	5.519	---	---	---	
2022-10-26	13:26:11	27.00		52.457	---	---	---	22.362	---	---	---	1015.05	58.506	22.362	---	---	39.616	---	---	---	402.759	---	---	---	5.510	---	---	---	
2022-10-26	13:26:12	28.00		52.443	---	---	---	22.363	---	---	---	1014.99	58.526	22.363	---	---	39.619	---	---	---	402.817	---	---	---	5.513	---	---	---	
2022-10-26	13:26:13	29.00		52.518	---	---	---	22.356	---	---	---	1014.98	58.547	22.356	---	---	39.607	---	---	---	402.829	---	---	---	5.508	---	---	---	
2022-10-26	13:26:14	30.00		52.479	---	---	---	22.367	---	---	---	1015.00	58.567	22.367	---	---	39.611	---	---	---	402.869	---	---	---	5.521	---	---	---	
2022-10-26	13:26:15	31.00		52.471	---	---	---	22.360	---	---	---	1015.00	58.567	22.360	---	---	39.614	---	---	---	402.872	---	---	---	5.523	---	---	---	
2022-10-26	13:26:16	32.00		52.407	---	---	---	22.366	---	---	---	1015.02	58.567	22.366	---	---	39.625	---	---	---	402.902	---	---	---	5.531	---	---	---	
2022-10-26	13:26:17	33.00		52.433	---	---	---	22.367	---	---	---	1015.02	58.567	22.367	---	---	39.620	---	---	---	402.893	---	---	---	5.528	---	---	---	
2022-10-26	13:26:18	34.00		52.415	---	---	---	22.373	---	---	---	1015.00	58.567	22.373	---	---	39.621	---	---	---	402.891	---	---	---	5.520	---	---	---	
2022-10-26	13:26:19	35.00		52.426	---	---	---	22.366	---	---	---	1015.01	58.567	22.366	---	---	39.621	---	---	---	402.891	---	---	---	5.517	---	---	---	
2022-10-26	13:26:20	36.00		52.436	---	---	---	22.353	---	---	---	1015.02	58.567	22.353	---	---	39.623	---	---	---	402.912	---	---	---	5.510	---	---	---	
2022-10-26	13:26:21	37.00		52.469	---	---	---	22.339	---	---	---	1015.06	58.567	22.339	---	---	39.620	---	---	---	402.973	---	---	---	5.514	---	---	---	
2022-10-26	13:26:22	38.00		52.434	---	---	---	22.339	---	---	---	1015.03	58.567	22.339	---	---	39.627	---	---	---	402.978	---	---	---	5.512	---	---	---	
2022-10-26	13:26:23	39.00		52.379	---	---	---	22.345	---	---	---	1015.02	58.567	22.345	---	---	39.636	---	---	---	403.014	---	---	---	5.517	---	---	---	
2022-10-26	13:26:24	40.00		52.358	---	---	---	22.352	---	---	---	1015.00	58.567	22.352	---	---	39.638	---	---	---	402.954	---	---	---	5.525	---	---	---	
2022-10-26	13:26:25	41.00		52.379	---	---	---	22.360	---	---	---	1015.01	58.567	22.360	---	---	39.632	---	---	---	402.952	---	---	---	5.530	---	---	---	
2022-10-26	13:26:26	42.00		52.389	---	---	---	22.368	---	---	---	1015.02	58.567	22.368	---	---	39.628	---	---	---	402.895	---	---	---	5.529	---	---	---	
2022-10-26	13:26:27	43.00		52.359	---	---	---	22.375	---	---	---	1015.07	58.567	22.375	---	---	39.631	---	---	---	402.982	---	---	---	5.520	---	---	---	
2022-10-26	13:26:28	44.00		52.326	---	---	---	22.374	---	---	---	1015.06	58.567	22.374	---	---	39.638	---	---	---	403.030	---	---	---	5.507	---	---	---	
2022-10-26	13:26:29	45.00		52.333	---	---	---	22.365	---	---	---	1015.07	58.567	22.365	---	---	39.639	---	---	---	403.072	---	---	---	5.514	---	---	---	
2022-10-26	13:26:30	46.00		52.339	---	---	---	22.373	---	---	---	1015.06	58.567	22.373	---	---	39.636	---	---	---	403.079	---	---	---	5.500	---	---	---	
2022-10-26	13:26:31	47.00		52.376	---	---	---	22.373	---	---	---	1015.05	58.567	22.373	---	---	39.629	---	---	---	403.052	---	---	---	5.488	---	---	---	
2022-10-26	13:26:32	48.00		52.363	---	---	---	22.368	---	---	---	1015.05	58.567	22.368	---	---	39.632	---	---	---	403.051	---	---	---	5.479	---	---	---	
2022-10-26	13:26:33	49.00		52.331	---	---	---	22.362	---	---	---	1015.06	58.567	22.362	---	---	39.640	---	---	---	403.026	---	---	---	5.490	---	---	---	
2022-10-26	13:26:34	50.00		52.295	---	---	---	22.362	---	---	---	1015.07	58.567	22.362	---	---	39.647	---	---	---	403.016	---	---	---	5.504	---	---	---	
2022-10-26	13:26:35	51.00		52.240	---	---	---	22.369	---	---	---	1015.05	58.567	22.369	---	---	39.655	---	---	---	403.049	---	---	---	5.512	---	---	---	
2022-10-26	13:26:36	52.00		52.244	---	---	---	22.367	---	---	---	1015.02	58.547	22.367	---	---	39.655	---	---	---	403.048	---	---	---	5.518	---	---	---	
2022-10-26	13:26:37	53.00		52.215	---	---	---	22.376	---	---	---	1015.15	58.526	22.376	---	---	39.658	---	---	---	403.077	---	---	---	5.528	---	---	---	
2022-10-26	13:26:38	54.00		52.234	---	---	---	22.375	---	---	---	1015.25	58.506	22.375	---	---	39.655	---	---	---	403.093	---	---	---	5.524	---	---	---	
2022-10-26	13:26:39	55.00		52.256	---	---	---	22.367	---	---	---	1015.30	58.506	22.367	---	---	39.653	---	---	---	403.118	---	---	---	5.517	---	---	---	
2022-10-26	13:26:40	56.00		52.263	---	---	---	22.353	---	---	---	1015.22	58.506	22.353	---	---	39.655	---	---	---	403.149	---	---	---	5.513	---	---	---	
2022-10-26	13:26:41	57.00		52.248	---	---	---	22.361	---	---	---	1015.19	58.506	22.361	---	---	39.656	---	---	---	403.122	---	---	---	5.505	---	---	---	
2022-10-26	13:26:42	58.00		52.210	---	---	---	22.375	---	---	---	1015.17	58.506	22.375	---	---	39.659	---	---	---	403.125	---	---	---	5.506	---	---	---	
2022-10-26	13:26:43	59.00		52.252	---	---	---	22.367	---	---	---	1015.13	58.506	22.367	---	---	39.654	---	---	---	403.082	---	---	---	5.519	---	---	---	
2022-10-26	13:26:44	60.00		52.256	---	---	---	22.366	---	---	---	1015.11	58.506	22.366	---	---	39.653	---	---	---	403.182	---	---	---	5.535	---	---	---	
2022-10-26	13:26:45	61.00		52.255	---	---	---	22.352	---	---	---	1015.09	58.506	22.352	---	---	39.657	---	---	---	403.219	---	---	---	5.541	---	---	---	
2022-10-26	13:26:46	62.00		52.211	---	---	---	22.353	---	---	---	1015.11	58.506	22.353	---	---	39.665	---	---	---	403.285	---	---	---	5.525	---	---	---	
2022-10-26	13:26:47	63.00		52.166	---	---	---	22.361	---	---	---	1015.08	58.506	22.361	---	---	39.671	---	---	---	403.212	---	---	---	5.520	---	---	---	
2022-10-26	13:26:48	64.00		52.181	---	---	---	22.363	---	---	---	1015.09	58.506	22.363	---	---	39.668	---	---	---	403.188	---	---	---	5.498	---	---	---	
2022-10-26	13:26:49	65.00		52.146	---	---	---	22.377	---	---	---	1015.09	58.506	22.377	---	---	39.671	---	---	---	403.179	---	---	---	5.492	---	---	---	
2022-10-26	13:26:50	66.00		52.183	---	---	---	22.354	---	---	---	1015.10	58.506	22.354	---	---	39.670	---	---	---	403.246	---	---	---	5.475	---	---	---	
2022-10-26	13:26:51	67.00		52.163	---	---	---	22.345	---	---	---	1015.07	58.506	22.345	---	---	39.676	---	---	---	403.257	---	---	---	5.486	---	---	---	
2022-10-26	13:26:52	68.00		52.172	---	---	---	22.345	---	---	---	1015.05	58.498	22.345	---	---	39.675	---	---	---	403.306	---	---	---	5.496	---	---	---	
2022-10-26	13:26:53	69.00		52.159	---	---	---	22.359	---	---	---	1015.08	58.498	22.359	---	---	39.673	---	---	---	403.298	---	---	---	5.519	---	---	---	
2022-10-26	13:26:54	70.00		52.131	---	---	---	22.380	---	---	---	1015.08	58.491	22.380	---	---	39.673	---	---	---	403.357	---	---	---	5.528	---	---	---	
2022-10-26	13:26:55	71.00		52.107	---	---	---	22.380	---	---	---	1015.06	58.491	22.380	---	---	39.678	---	---	---	403.347	---	---	---	5.534	---	---	---	
2022-10-26	13:26:56	72.00		52.110	---	---	---	22.374	---	---	---	1015.01	58.491	22.374	---	---	39.679	---	---	---	403.393	---	---	---	5.527	---	---	---	
2022-10-26	13:26:57	73.00		52.104	---	---	---	22.367	---	---	---	1015.01	58.498	22.367	---	---	39.682	---	---	---	403.405	---	---	---	5.516	---	---	---	
2022-10-26	13:26:58	74.00		52.118	---	---	---	22.360	---	---	---	1014.98	58.506	22.360	---	---	39.681	---	---	---	403.414	---	---	---	5.517	---	---	---	
2022-10-26	13:26:59	75.00		52.076	---	---	---	22.365	---	---	---	1014.98	58.506	22.365	---	---	39.687	---	---	---	403.368	---	---	---	5.504	---	---	---	
2022-10-26	13:27:00	76.00		52.087	---	---	---	22.359	---	---	---	1014.98	58.506	22.359	---	---	39.687	---	---	---	403.326	---	---	---	5.515	---	---	---	
2022-10-26	13:27:01	77.00		52.101	---	---	---	22.359	---	---	---	1015.00	58.506	22.359	---	---	39.684	---	---	---	403.354	---	---	---	5.512	---	---	---	
2022-10-26	13:27:02	78.00		52.092	---	---	---	22.353	---	---	---	1015.02	58.506	22.353	---	---	39.688	---	---	---	403.369	---	---	---	5.515	---	---	---	
2022-10-26	13:27:03	79.00		52.035	---	---	---	22.360	---	---	---	1015.01	58.506	22.360	---	---	39.697	---	---	---	403.402	---	---	---	5.520	---	---	---	
2022-10-26	13:27:04	80.00		51.985	---	---	---	22.367	---	---	---	1014.99	58.506	22.367	---	---	39.704	---	---	---	403.448	---	---	---	5.520	---	---	---	
2022-10-26	13:27:05	81.00		52.015	---	---	---	22.360	---	---	---	1014.97	58.506	22.360	---	---	39.700	---	---	---	403.495	---	---	---	5.523	---	---	---	
2022-10-26	13:27:06	82.00		52.079	---	---	---	22.346	---	---	---	1014.98	58.506	22.346	---	---	39.692	---	---	---	403.517	---	---	---	5.518	---	---	---	
2022-10-26	13:27:07	83.00		52.086	---	---	---	22.332	---	---	---	1014.99	58.498	22.332	---	---	39.694	---	---	---	403.516	---	---	---	5.502	---	---	---	
2022-10-26	13:27:08	84.00		52.032	---	---	---	22.347	---	---	---	1014.99	58.498	22.347	---	---	39.701	---	---	---	403.558	---	---	---	5.508	---	---	---	
2022-10-26	13:27:09	85.00		51.939	---	---	---	22.360	---	---	---	1014.98	58.491	22.360	---	---	39.715	---	---	---	403.608	---	---	---	5.500	---	---	---	
2022-10-26	13:27:10	86.00		51.921	---	---	---	22.375	---	---	---	1015.03	58.491	22.375	---	---	39.714	---	---	---	403.634	---	---	---	5.516	---	---	---	
2022-10-26	13:27:11	87.00		51.934	---	---	---	22.360	---	---	---	1015.03	58.483	22.360	---	---	39.716	---	---	---	403.651	---	---	---	5.509	---	---	---	
2022-10-26	13:27:12	88.00		51.946	---	---	---	22.360	---	---	---	1015.02	58.483	22.360	---	---	39.713	---	---	---	403.656	---	---	---	5.509	---	---	---	
2022-10-26	13:27:13	89.00		51.957	---	---	---	22.339	---	---	---	1014.99	58.483	22.339	---	---	39.717	---	---	---	403.644	---	---	---	5.503	---	---	---	
2022-10-26	13:27:14	90.00		51.915	---	---	---	22.353	---	---	---	1015.00	58.491	22.353	---	---	39.721	---	---	---	403.607	---	---	---	5.505	---	---	---	
2022-10-26	13:27:15	91.00		51.910	---	---	---	22.361	---	---	---	1015.06	58.498	22.361	---	---	39.720	---	---	---	403.599	---	---	---	5.518	---	---	---	
2022-10-26	13:27:16	92.00		51.897	---	---	---	22.375	---	---	---	1015.07	58.506	22.375	---	---	39.719	---	---	---	403.630	---	---	---	5.521	---	---	---	
2022-10-26	13:27:17	93.00		51.906	---	---	---	22.369	---	---	---	1015.07	58.506	22.369	---	---	39.719	---	---	---	403.667	---	---	---	5.513	---	---	---	
2022-10-26	13:27:18	94.00		51.910	---	---	---	22.354	---	---	---	1015.02	58.506	22.354	---	---	39.722	---	---	---	403.661	---	---	---	5.509	---	---	---	
2022-10-26	13:27:19	95.00		51.898	---	---	---	22.354	---	---	---	1015.01	58.506	22.354	---	---	39.724	---	---	---	403.619	---	---	---	5.495	---	---	---	
2022-10-26	13:27:20	96.00		51.892	---	---	---	22.346	---	---	---	1015.00	58.506	22.346	---	---	39.727	---	---	---	403.607	---	---	---	5.502	---	---	---	
2022-10-26	13:27:21	97.00		51.919	---	---	---	22.347	---	---	---	1015.00	58.498	22.347	---	---	39.722	---	---	---	403.593	---	---	---	5.491	---	---	---	
2022-10-26	13:27:22	98.00		51.910	---	---	---	22.352	---	---	---	1015.03	58.491	22.352	---	---	39.722	---	---	---	403.661	---	---	---	5.515	---	---	---	
2022-10-26	13:27:23	99.00		51.910	---	---	---	22.366	---	---	---	1015.04	58.483	22.366	---	---	39.719	---	---	---	403.685	---	---	---	5.514	---	---	---	
2022-10-26	13:27:24	100.00		51.895	---	---	---	22.365	---	---	---	1015.09	58.483	22.365	---	---	39.722	---	---	---	403.767	---	---	---	5.521	---	---	---	
2022-10-26	13:27:25	101.00		51.898	---	---	---	22.366	---	---	---	1015.05	58.483	22.366	---	---	39.721	---	---	---	403.741	---	---	---	5.508	---	---	---	
2022-10-26	13:27:26	102.00		51.903	---	---	---	22.359	---	---	---	1015.06	58.483	22.359	---	---	39.722	---	---	---	403.767	---	---	---	5.522	---	---	---	
2022-10-26	13:27:27	103.00		51.870	---	---	---	22.353	---	---	---	1015.05	58.483	22.353	---	---	39.730	---	---	---	403.788	---	---	---	5.530	---	---	---	
2022-10-26	13:27:28	104.00		51.848	---	---	---	22.346	---	---	---	1015.08	58.483	22.346	---	---	39.736	---	---	---	403.814	---	---	---	5.541	---	---	---	
2022-10-26	13:27:29	105.00		51.803	---	---	---	22.354	---	---	---	1015.06	58.483	22.354	---	---	39.742	---	---	---	403.851	---	---	---	5.521	---	---	---	
2022-10-26	13:27:30	106.00		51.765	---	---	---	22.355	---	---	---	1015.03	58.483	22.355	---	---	39.749	---	---	---	403.892	---	---	---	5.506	---	---	---	
2022-10-26	13:27:31	107.00		51.771	---	---	---	22.347	---	---	---	1015.03	58.483	22.347	---	---	39.750	---	---	---	403.939	---	---	---	5.495	---	---	---	
2022-10-26	13:27:32	108.00		51.795	---	---	---	22.340	---	---	---	1015.07	58.483	22.340	---	---	39.747	---	---	---	403.955	---	---	---	5.494	---	---	---	
2022-10-26	13:27:33	109.00		51.850	---	---	---	22.340	---	---	---	1015.06	58.491	22.340	---	---	39.737	---	---	---	403.921	---	---	---	5.492	---	---	---	
2022-10-26	13:27:34	110.00		51.801	---	---	---	22.347	---	---	---	1015.06	58.498	22.347	---	---	39.744	---	---	---	403.945	---	---	---	5.497	---	---	---	
2022-10-26	13:27:35	111.00		51.782	---	---	---	22.347	---	---	---	1015.01	58.506	22.347	---	---	39.748	---	---	---	403.971	---	---	---	5.518	---	---	---	
2022-10-26	13:27:36	112.00		51.777	---	---	---	22.347	---	---	---	1015.01	58.526	22.347	---	---	39.749	---	---	---	404.017	---	---	---	5.525	---	---	---	
2022-10-26	13:27:37	113.00		51.779	---	---	---	22.347	---	---	---	1014.98	58.547	22.347	---	---	39.749	---	---	---	404.010	---	---	---	5.518	---	---	---	
2022-10-26	13:27:38	114.00		51.723	---	---	---	22.354	---	---	---	1014.98	58.567	22.354	---	---	39.757	---	---	---	404.000	---	---	---	5.503	---	---	---	
