
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-211	1	ON External	20.000	ON	1013	32.000	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.272	22.106	1003	100.000	20.950	53.391	22.874	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.200	
Data	Smoothing:	3	
Date:	2022-10-26	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2022-10-26	14:15:49	0.00		56.328	---	---	---	22.381	---	---	---	1014.35	57.430	22.381	---	---	38.897	---	---	---	395.648	---	---	---	5.502	---	---	---	
2022-10-26	14:15:50	1.00		56.311	---	---	---	22.388	---	---	---	1014.35	57.430	22.388	---	---	38.898	---	---	---	395.644	---	---	---	5.497	---	---	---	
2022-10-26	14:15:51	2.00		56.283	---	---	---	22.395	---	---	---	1014.35	57.430	22.395	---	---	38.901	---	---	---	395.601	---	---	---	5.484	---	---	---	
2022-10-26	14:15:52	3.00		56.281	---	---	---	22.402	---	---	---	1014.34	57.430	22.402	---	---	38.900	---	---	---	395.598	---	---	---	5.494	---	---	---	
2022-10-26	14:15:53	4.00		56.268	---	---	---	22.395	---	---	---	1014.39	57.430	22.395	---	---	38.904	---	---	---	395.596	---	---	---	5.508	---	---	---	
2022-10-26	14:15:54	5.00		56.256	---	---	---	22.402	---	---	---	1014.39	57.430	22.402	---	---	38.904	---	---	---	395.606	---	---	---	5.521	---	---	---	
2022-10-26	14:15:55	6.00		56.242	---	---	---	22.387	---	---	---	1014.40	57.420	22.387	---	---	38.911	---	---	---	395.628	---	---	---	5.518	---	---	---	
2022-10-26	14:15:56	7.00		56.232	---	---	---	22.394	---	---	---	1014.34	57.420	22.394	---	---	38.911	---	---	---	395.607	---	---	---	5.502	---	---	---	
2022-10-26	14:15:57	8.00		56.227	---	---	---	22.381	---	---	---	1014.35	57.410	22.381	---	---	38.915	---	---	---	395.658	---	---	---	5.505	---	---	---	
2022-10-26	14:15:58	9.00		56.238	---	---	---	22.380	---	---	---	1014.34	57.410	22.380	---	---	38.914	---	---	---	395.655	---	---	---	5.509	---	---	---	
2022-10-26	14:15:59	10.00		56.217	---	---	---	22.386	---	---	---	1014.32	57.400	22.386	---	---	38.916	---	---	---	395.724	---	---	---	5.509	---	---	---	
2022-10-26	14:16:00	11.00		56.243	---	---	---	22.386	---	---	---	1014.32	57.400	22.386	---	---	38.911	---	---	---	395.680	---	---	---	5.497	---	---	---	
2022-10-26	14:16:01	12.00		56.213	---	---	---	22.402	---	---	---	1014.32	57.400	22.402	---	---	38.912	---	---	---	395.622	---	---	---	5.506	---	---	---	
2022-10-26	14:16:02	13.00		56.244	---	---	---	22.395	---	---	---	1014.34	57.400	22.395	---	---	38.908	---	---	---	395.586	---	---	---	5.509	---	---	---	
2022-10-26	14:16:03	14.00		56.246	---	---	---	22.402	---	---	---	1014.32	57.400	22.402	---	---	38.906	---	---	---	395.634	---	---	---	5.504	---	---	---	
2022-10-26	14:16:04	15.00		56.257	---	---	---	22.387	---	---	---	1014.33	57.400	22.387	---	---	38.908	---	---	---	395.653	---	---	---	5.489	---	---	---	
