Source DataFile                                                              ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,   SNR_raw,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,      CarQ,   tauCarQ,     P680Q,     Alpha,        Ek,      Pmax,
-----------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\PICO\20221026\PICO_202210261049_caloxy_MiSa1444_445_LL_data.csv , 2022/10/26, 13:52:51,    1666792371540,--Not Acquired--     ,--Not Acquired--     ,   161.12,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    12.4062,     0.9787,    769.99,    101.54,    270.28,    0.6243,    288.61,    0.3010,    0.1776,       195,    0.7681,      4298,    0.0543,    137393,     0.442,     14.55,  -0.03061,      2.01,     46.71,     93.87,
C:\LIFT\DATA\PICO\20221026\PICO_202210261049_caloxy_MiSa1444_445_LL_data.csv , 2022/10/26, 13:52:54,    1666792374201,--Not Acquired--     ,--Not Acquired--     ,   162.37,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,     2.2397,     0.9823,    649.76,    114.58,    273.60,    0.5812,    287.02,    0.2590,    0.1293,       432,    0.8094,      3030,    0.0613,     24701,     0.370,     18.53,  -0.01224,      1.93,    131.08,    252.97,
C:\LIFT\DATA\PICO\20221026\PICO_202210261049_caloxy_MiSa1444_445_LL_data.csv , 2022/10/26, 13:55:55,    1666792555518,--Not Acquired--     ,--Not Acquired--     ,   168.32,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.8996,     0.9786,    517.25,    146.94,    290.11,    0.4935,    290.84,    0.0000,    0.2991,      2584,    0.6684,      2620,    0.0325,     82253,     0.538,     11.01,  -0.00576,      1.75,    109.86,    192.44,
C:\LIFT\DATA\PICO\20221026\PICO_202210261049_caloxy_MiSa1444_445_LL_data.csv , 2022/10/26, 13:55:58,    1666792557946,--Not Acquired--     ,--Not Acquired--     ,   162.74,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,     1.5129,     0.9701,    491.75,    107.08,    269.80,    0.6031,    287.11,    0.2980,    0.2550,       214,    0.7019,      3290,    0.0431,     27352,     0.237,     40.00,  -0.01003,      1.96,    146.94,    288.43,
C:\LIFT\DATA\PICO\20221026\PICO_202210261049_caloxy_MiSa1444_445_LL_data.csv , 2022/10/26, 13:58:59,    1666792739496,--Not Acquired--     ,--Not Acquired--     ,   178.57,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    27.0806,     0.9837,    300.36,    222.93,    320.18,    0.3037,    338.84,    0.0000,    0.0575,      2558,    0.8995,      2578,    0.0430,     63628,     0.423,     11.58,  -0.00820,      2.04,     94.26,    192.35,
C:\LIFT\DATA\PICO\20221026\PICO_202210261049_caloxy_MiSa1444_445_LL_data.csv , 2022/10/26, 13:59:02,    1666792741798,--Not Acquired--     ,--Not Acquired--     ,   163.40,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.0098,     0.9715,    565.36,    107.69,    265.74,    0.5948,    283.04,    0.2860,    0.2258,       198,    0.7242,      3498,    0.0500,     26324,     0.227,     40.00,  -0.01227,      1.93,    135.99,    261.98,
C:\LIFT\DATA\PICO\20221026\PICO_202210261049_caloxy_MiSa1444_445_LL_data.csv , 2022/10/26, 14:02:03,    1666792923121,--Not Acquired--     ,--Not Acquired--     ,   197.33,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     9.0029,     0.9798,    158.94,    285.13,    351.31,    0.1884,    317.26,    0.0000,    0.9484,      2258,    0.0018,     45751,    0.0498,     45997,     0.250,     16.58,  -0.00400,      1.91,    115.92,    221.47,
C:\LIFT\DATA\PICO\20221026\PICO_202210261049_caloxy_MiSa1444_445_LL_data.csv , 2022/10/26, 14:02:05,    1666792925393,--Not Acquired--     ,--Not Acquired--     ,   162.31,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,     1.6609,     0.9697,    591.30,    108.61,    267.88,    0.5946,    274.82,    0.2550,    0.2071,       174,    0.7352,      3487,    0.0577,     24419,     0.235,     40.00,  -0.01417,      1.84,    137.75,    253.91,
C:\LIFT\DATA\PICO\20221026\PICO_202210261049_caloxy_MiSa1444_445_LL_data.csv , 2022/10/26, 14:05:06,    1666793106651,--Not Acquired--     ,--Not Acquired--     ,   163.49,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,     6.7118,     0.9757,    526.09,    101.73,    254.35,    0.6000,    290.20,    0.2510,    0.1889,       212,    0.7691,      3941,    0.0420,    132249,     0.449,     13.38,  -0.02030,      1.96,     59.70,    117.30,
