----,
DateTime:        , 2022/10/26, 15:32:34, 1666798354711,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          162.53,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,             10,      10, 
SNR_raw:,     737.54,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    101.832,
    1,        0.8,    163.036,     107.442,    110.286,
    2,        3.3,    183.998,     114.249,    114.668,
    3,        5.8,    183.960,     120.282,    119.461,
    4,        8.3,    184.298,     124.673,    124.570,
    5,       10.8,    184.336,     130.073,    129.907,
    6,       13.3,    184.185,     135.174,    135.397,
    7,       15.8,    184.336,     140.760,    140.989,
    8,       18.3,    184.599,     146.139,    146.635,
    9,       20.8,    184.411,     151.548,    152.286,
   10,       23.3,    184.599,     157.298,    157.914,
   11,       25.8,    184.824,     162.950,    163.490,
   12,       28.3,    184.524,     168.635,    168.981,
   13,       30.8,    184.749,     174.220,    174.375,
   14,       33.3,    184.899,     179.649,    179.654,
   15,       35.8,    184.899,     184.463,    184.802,
   16,       38.3,    184.974,     189.794,    189.808,
   17,       40.8,    184.824,     194.926,    194.660,
   18,       43.3,    184.974,     199.525,    199.355,
   19,       45.8,    184.937,     204.162,    203.887,
   20,       48.3,    185.012,     208.619,    208.252,
   21,       50.8,    184.824,     212.781,    212.447,
   22,       53.3,    185.049,     216.683,    216.475,
   23,       55.8,    185.162,     220.710,    220.335,
   24,       58.3,    185.237,     224.183,    224.029,
   25,       60.8,    185.275,     227.430,    227.560,
   26,       63.3,    185.275,     231.262,    230.929,
   27,       65.8,    185.350,     234.405,    234.143,
   28,       68.3,    185.312,     237.475,    237.203,
   29,       70.8,    185.350,     240.610,    240.116,
