Source DataFile                                                       ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,   SNR_raw,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,      CarQ,   tauCarQ,     P680Q,     Alpha,        Ek,      Pmax,
----------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\PICO\20221026\PICO_202210261229_caloxy_MiSa1444_data.csv , 2022/10/26, 15:32:34,    1666798354711,--Not Acquired--     ,--Not Acquired--     ,   162.53,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,    14.1832,     0.9834,    737.54,    106.81,    281.80,    0.6210,    297.24,    0.3070,    0.1422,       209,    0.7950,      4535,    0.0628,    127574,     0.466,     11.40,  -0.03185,      2.08,     41.91,     87.00,
C:\LIFT\DATA\PICO\20221026\PICO_202210261229_caloxy_MiSa1444_data.csv , 2022/10/26, 15:32:37,    1666798357027,--Not Acquired--     ,--Not Acquired--     ,   163.82,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,     3.5635,     0.9848,    800.02,    120.86,    285.90,    0.5773,    298.95,    0.3080,    0.1328,       420,    0.7815,      3126,    0.0857,     24449,     0.268,     28.54,  -0.01415,      2.06,    107.57,    221.93,
C:\LIFT\DATA\PICO\20221026\PICO_202210261229_caloxy_MiSa1444_data.csv , 2022/10/26, 15:35:38,    1666798538256,--Not Acquired--     ,--Not Acquired--     ,   163.31,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,     40.00,      0.00,   121  ,     1.5859,     0.9799,    736.36,    122.40,    292.08,    0.5809,    309.23,    0.2590,    0.1544,       262,    0.7905,      3031,    0.0551,     28063,     0.245,     33.91,  -0.01285,      2.08,    122.70,    255.33,
C:\LIFT\DATA\PICO\20221026\PICO_202210261229_caloxy_MiSa1444_data.csv , 2022/10/26, 15:35:40,    1666798540561,--Not Acquired--     ,--Not Acquired--     ,   162.46,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.3781,     0.9781,    529.89,    116.21,    290.56,    0.6000,    302.66,    0.2970,    0.1959,       264,    0.7451,      3127,    0.0590,     23153,     0.256,     36.79,  -0.01245,      2.07,    131.43,    272.30,
C:\LIFT\DATA\PICO\20221026\PICO_202210261229_caloxy_MiSa1444_data.csv , 2022/10/26, 15:38:41,    1666798721768,--Not Acquired--     ,--Not Acquired--     ,   163.91,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,     80.00,      0.00,   011  ,     1.5258,     0.9778,    739.11,    123.81,    299.30,    0.5863,    307.37,    0.2730,    0.1732,       230,    0.7781,      2948,    0.0487,     29369,     0.230,     36.60,  -0.01321,      2.08,    130.01,    270.50,
C:\LIFT\DATA\PICO\20221026\PICO_202210261229_caloxy_MiSa1444_data.csv , 2022/10/26, 15:38:44,    1666798723983,--Not Acquired--     ,--Not Acquired--     ,   163.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.4864,     0.9763,    822.87,    113.60,    294.97,    0.6149,    300.78,    0.3160,    0.2180,       249,    0.7302,      3038,    0.0518,     21799,     0.262,     37.51,  -0.01117,      2.07,    144.97,    300.77,
C:\LIFT\DATA\PICO\20221026\PICO_202210261229_caloxy_MiSa1444_data.csv , 2022/10/26, 15:41:45,    1666798905187,--Not Acquired--     ,--Not Acquired--     ,   166.04,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,    160.00,      0.00,   011  ,     3.5035,     0.9853,    599.00,    128.56,    296.18,    0.5659,    302.33,    0.1390,    0.9651,      2711,    0.0329,     48940,    0.0020,    256449,     0.276,     19.15,  -0.00963,      1.93,    111.33,    215.09,
C:\LIFT\DATA\PICO\20221026\PICO_202210261229_caloxy_MiSa1444_data.csv , 2022/10/26, 15:41:47,    1666798907541,--Not Acquired--     ,--Not Acquired--     ,   163.40,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.3774,     0.9743,    609.18,    111.86,    295.82,    0.6219,    298.44,    0.3270,    0.2438,       240,    0.7112,      3079,    0.0450,     23127,     0.266,     38.44,  -0.01021,      2.07,    150.64,    311.52,
C:\LIFT\DATA\PICO\20221026\PICO_202210261229_caloxy_MiSa1444_data.csv , 2022/10/26, 15:44:48,    1666799088749,--Not Acquired--     ,--Not Acquired--     ,   162.72,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    14.0052,     0.9817,    672.89,    104.95,    279.47,    0.6245,    304.64,    0.3330,    0.1730,       216,    0.7843,      4003,    0.0427,    124435,     0.425,     13.93,  -0.02427,      2.15,     55.65,    119.72,
C:\LIFT\DATA\PICO\20221026\PICO_202210261229_caloxy_MiSa1444_data.csv , 2022/10/26, 15:44:51,    1666799091063,--Not Acquired--     ,--Not Acquired--     ,   163.27,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,     1.9609,     0.9822,    628.32,    114.27,    288.57,    0.6040,    302.21,    0.3340,    0.1572,       293,    0.7750,      2995,    0.0678,     20762,     0.277,     29.94,  -0.01411,      2.11,    128.64,    271.04,
