Source DataFile                                                           ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,   SNR_raw,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,      CarQ,   tauCarQ,     P680Q,     Alpha,        Ek,      Pmax,
--------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\PICO\20221026\PICO_202210261255_caloxy_MiSa1444_445_data.csv , 2022/10/26, 16:02:36,    1666800156357,--Not Acquired--     ,--Not Acquired--     ,   163.02,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,     9.2420,     0.9829,    691.92,    101.83,    263.61,    0.6137,    287.58,    0.2990,    0.1391,       238,    0.7976,      4432,    0.0633,    115832,     0.480,     11.59,  -0.03226,      2.00,     46.57,     92.97,
C:\LIFT\DATA\PICO\20221026\PICO_202210261255_caloxy_MiSa1444_445_data.csv , 2022/10/26, 16:02:38,    1666800158696,--Not Acquired--     ,--Not Acquired--     ,   163.59,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.9622,     0.9860,    560.63,    113.74,    263.24,    0.5679,    296.50,    0.2840,    0.0969,       440,    0.8245,      3173,    0.0786,     25869,     0.294,     21.78,  -0.01587,      2.02,    107.22,    216.86,
C:\LIFT\DATA\PICO\20221026\PICO_202210261255_caloxy_MiSa1444_445_data.csv , 2022/10/26, 16:05:40,    1666800339964,--Not Acquired--     ,--Not Acquired--     ,   168.53,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.9434,     0.9788,    539.58,    147.55,    281.17,    0.4752,    289.58,    0.0000,    0.9600,      2669,    0.0368,     71744,    0.0032,    599995,     0.406,     14.71,  -0.00447,      1.77,     87.73,    154.90,
C:\LIFT\DATA\PICO\20221026\PICO_202210261255_caloxy_MiSa1444_445_data.csv , 2022/10/26, 16:05:42,    1666800342316,--Not Acquired--     ,--Not Acquired--     ,   163.83,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.8694,     0.9708,    528.14,    106.94,    261.21,    0.5906,    286.56,    0.2740,    0.2428,       227,    0.7150,      3384,    0.0422,     28115,     0.232,     40.00,  -0.00889,      1.94,    143.69,    278.46,
C:\LIFT\DATA\PICO\20221026\PICO_202210261255_caloxy_MiSa1444_445_data.csv , 2022/10/26, 16:08:43,    1666800523572,--Not Acquired--     ,--Not Acquired--     ,   179.82,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   211  ,    29.8519,     0.9849,    286.90,    224.17,    316.22,    0.2911,    354.50,    0.0000,    0.9557,      2593,    0.0442,     68361,    0.0001,     73701,     0.410,     11.79,  -0.00780,      2.13,     85.02,    181.51,
C:\LIFT\DATA\PICO\20221026\PICO_202210261255_caloxy_MiSa1444_445_data.csv , 2022/10/26, 16:08:46,    1666800525875,--Not Acquired--     ,--Not Acquired--     ,   164.16,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,     1.9643,     0.9719,    610.88,    106.98,    261.93,    0.5916,    281.92,    0.2590,    0.2094,       209,    0.7419,      3455,    0.0487,     27249,     0.238,     36.85,  -0.01057,      1.89,    136.57,    258.74,
C:\LIFT\DATA\PICO\20221026\PICO_202210261255_caloxy_MiSa1444_445_data.csv , 2022/10/26, 16:11:47,    1666800707094,--Not Acquired--     ,--Not Acquired--     ,   199.78,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     7.4143,     0.9792,    133.17,    288.93,    352.66,    0.1807,    314.16,    0.0000,    0.9493,      2225,    0.0025,     43197,    0.0482,     43678,     0.269,     15.52,  -0.00294,      1.89,    122.23,    231.25,
C:\LIFT\DATA\PICO\20221026\PICO_202210261255_caloxy_MiSa1444_445_data.csv , 2022/10/26, 16:11:49,    1666800709325,--Not Acquired--     ,--Not Acquired--     ,   162.38,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.7774,     0.9700,    596.31,    108.07,    266.93,    0.5951,    275.93,    0.2500,    0.2003,       170,    0.7386,      3420,    0.0611,     22974,     0.234,     40.00,  -0.01388,      1.85,    139.00,    256.62,
C:\LIFT\DATA\PICO\20221026\PICO_202210261255_caloxy_MiSa1444_445_data.csv , 2022/10/26, 16:14:50,    1666800890581,--Not Acquired--     ,--Not Acquired--     ,   163.48,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    10.1962,     0.9809,    603.49,    105.83,    271.43,    0.6101,    306.61,    0.3110,    0.1783,       237,    0.7812,      3820,    0.0405,    129102,     0.404,     15.42,  -0.01927,      2.14,     57.46,    122.99,
