----,
DateTime:        , 2022/10/26, 16:29:01, 1666801741609,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          156.14,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,             10,      10, 
SNR_raw:,     868.35,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    282.013,
    1,        0.8,    164.260,     286.429,    294.711,
    2,        3.3,    184.117,     298.274,    300.888,
    3,        5.8,    184.002,     308.848,    307.391,
    4,        8.3,    184.424,     315.081,    314.188,
    5,       10.8,    184.309,     321.735,    321.221,
    6,       13.3,    184.578,     327.605,    328.462,
    7,       15.8,    184.540,     335.314,    335.867,
    8,       18.3,    184.693,     343.589,    343.407,
    9,       20.8,    184.616,     351.478,    351.043,
   10,       23.3,    184.616,     359.224,    358.751,
   11,       25.8,    185.039,     366.240,    366.517,
   12,       28.3,    184.693,     374.397,    374.289,
   13,       30.8,    184.924,     381.988,    382.065,
   14,       33.3,    184.578,     390.938,    389.803,
   15,       35.8,    184.924,     397.724,    397.504,
   16,       38.3,    185.039,     405.313,    405.144,
   17,       40.8,    184.962,     412.888,    412.698,
   18,       43.3,    184.962,     420.457,    420.152,
   19,       45.8,    185.001,     427.829,    427.494,
   20,       48.3,    185.308,     434.783,    434.717,
   21,       50.8,    185.154,     442.381,    441.797,
   22,       53.3,    185.231,     448.838,    448.729,
   23,       55.8,    185.077,     455.910,    455.498,
   24,       58.3,    185.077,     462.340,    462.101,
   25,       60.8,    184.847,     469.516,    468.524,
   26,       63.3,    185.193,     474.634,    474.777,
   27,       65.8,    185.154,     481.159,    480.847,
   28,       68.3,    185.077,     486.168,    486.730,
   29,       70.8,    185.269,     491.925,    492.429,
