Source DataFile                                                           ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,   SNR_raw,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,      CarQ,   tauCarQ,     P680Q,     Alpha,        Ek,      Pmax,
--------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\PICO\20221026\PICO_202210261325_caloxy_JuNa1024_445_data.csv , 2022/10/26, 16:29:01,    1666801741609,--Not Acquired--     ,--Not Acquired--     ,   156.14,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,    24.2263,     0.9814,    868.35,    289.50,    577.74,    0.4989,    240.61,    0.3810,    0.1793,       383,    0.7499,      4477,    0.0708,    111866,     0.166,     16.92,  -0.03908,      1.74,     51.50,     89.78,
C:\LIFT\DATA\PICO\20221026\PICO_202210261325_caloxy_JuNa1024_445_data.csv , 2022/10/26, 16:29:04,    1666801743967,--Not Acquired--     ,--Not Acquired--     ,   157.54,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,     4.6387,     0.9649,    662.49,    308.63,    635.04,    0.5140,    217.70,    0.3000,    0.3411,       548,    0.5876,      3093,    0.0713,     22029,     0.208,     29.26,  -0.00672,      1.48,    193.40,    286.80,
C:\LIFT\DATA\PICO\20221026\PICO_202210261325_caloxy_JuNa1024_445_data.csv , 2022/10/26, 16:32:05,    1666801925231,--Not Acquired--     ,--Not Acquired--     ,   167.89,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.5398,     0.9783,    514.39,    364.53,    628.76,    0.4202,    249.98,    0.1160,    0.9616,      2932,    0.0319,     56430,    0.0065,    600000,     0.278,     15.33,  -0.01109,      1.63,     84.49,    138.01,
C:\LIFT\DATA\PICO\20221026\PICO_202210261325_caloxy_JuNa1024_445_data.csv , 2022/10/26, 16:32:07,    1666801927588,--Not Acquired--     ,--Not Acquired--     ,   157.17,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,     3.5441,     0.9667,    667.88,    299.36,    619.97,    0.5171,    226.87,    0.2520,    0.2136,       379,    0.7247,      3153,    0.0617,     19842,     0.159,     37.80,  -0.00891,      1.51,    187.84,    284.22,
C:\LIFT\DATA\PICO\20221026\PICO_202210261325_caloxy_JuNa1024_445_data.csv , 2022/10/26, 16:35:09,    1666802108814,--Not Acquired--     ,--Not Acquired--     ,   190.80,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    14.3362,     0.9766,    413.95,    510.58,    717.00,    0.2879,    266.08,    0.0000,    0.3416,      2929,    0.6028,      2960,    0.0556,     71171,     0.410,     10.25,  -0.00953,      1.60,     92.61,    148.40,
C:\LIFT\DATA\PICO\20221026\PICO_202210261325_caloxy_JuNa1024_445_data.csv , 2022/10/26, 16:35:11,    1666802111133,--Not Acquired--     ,--Not Acquired--     ,   156.77,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,     3.7974,     0.9704,    714.77,    305.18,    631.23,    0.5165,    224.39,    0.2170,    0.1383,       378,    0.7745,      3277,    0.0872,     17676,     0.164,     32.85,  -0.01338,      1.48,    166.62,    245.93,
C:\LIFT\DATA\PICO\20221026\PICO_202210261325_caloxy_JuNa1024_445_data.csv , 2022/10/26, 16:38:12,    1666802292344,--Not Acquired--     ,--Not Acquired--     ,   236.89,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    15.2717,     0.9806,    219.39,    661.79,    794.58,    0.1671,    295.43,    0.0000,    0.9474,      2816,    0.0023,     45078,    0.0503,     46862,     0.312,     10.27,  -0.00582,      1.78,    109.63,    195.06,
C:\LIFT\DATA\PICO\20221026\PICO_202210261325_caloxy_JuNa1024_445_data.csv , 2022/10/26, 16:38:14,    1666802294596,--Not Acquired--     ,--Not Acquired--     ,   155.44,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,     8.7748,     0.9730,    766.65,    312.29,    646.91,    0.5173,    220.38,    0.1730,    0.0871,       534,    0.7891,      3323,    0.1238,     15773,     0.153,     33.84,  -0.01543,      1.42,    153.85,    219.00,
C:\LIFT\DATA\PICO\20221026\PICO_202210261325_caloxy_JuNa1024_445_data.csv , 2022/10/26, 16:41:16,    1666802475825,--Not Acquired--     ,--Not Acquired--     ,   155.83,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,    22.8179,     0.9802,    789.49,    300.12,    603.46,    0.5027,    251.32,    0.3680,    0.2260,       433,    0.7154,      4304,    0.0586,    109652,     0.154,     20.25,  -0.02613,      1.81,     58.78,    106.10,
