#--- Experiment --------------------------------------------------------------------------																																								
#MURIS_PSIICal_MaBe3414																																								
#																																								
#--- System ------------------------------------------------------------------------------																																								
#Data from PyroScience Workbench V1.2.6.1424   www.pyroscience.com																																								
#DESKTOP-R5TTQ6C																																								
#--- Instrument --------------------------------------------------------------------------																																								
#Device: FireSting pro [A] FSPRO-4 SN:24E144075AC97E9D Firmware:4.05 Build:003																																								
#--- Channel -----------------------------------------------------------------------------																																								
#Channel [A Ch.1] - Oxygen Sensor - XB7-534-210																																								
#--- Settings & Calibration --------------------------------------------------------------																																								
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																				
#	1 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.000000																				
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																				
#	2021-05-13	2000-12-31	22.197598	53.400000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.338989	22.628468	100.000000	20.000000	20.950000																				
#--- Temperature Compensation Channel ----------------------------------------------------																																								
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																								
#Settings: n/a																																								
#Calibration: n/a																																								
#--- Pressure Compensation Channel -------------------------------------------------------																																								
#Compensation Channel [A P1] - Internal Pressure Sensor																																								
#Settings: n/a																																								
#Calibration: n/a																																								
#--- Channel -----------------------------------------------------------------------------																																								
#Channel [A Ch.2] - pH Sensor - XBE7-204-085																																								
#--- Settings & Calibration --------------------------------------------------------------																																								
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																				
#	128 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000																				
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff											
#	2021-05-04	2021-05-04	2000-12-31	8.240000	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.811000	0.000000	0.000000	25.730000	4.011000	22.101000	2.000000	622.993000	54.075000	10.041000	22.463000	6.500000	622.996000	0.000000	0.000000											
#--- Temperature Compensation Channel ----------------------------------------------------																																								
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																								
#Settings: n/a																																								
#Calibration: n/a																																								
#--- Channel -----------------------------------------------------------------------------																																								
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																								
#--- Measurement Data --------------------------------------------------------------------																																								
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (µmol/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	pH [A Ch.2 Main]	pH (pH) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	ldev (nm) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
13-05-2021	13:45:29.048	0.837	389.758	18.281	257	0	OK	13-05-2021	13:45:29.048	0.837	21.982	OK	13-05-2021	13:45:29.048	0.837	1013	OK	13-05-2021	13:45:28.319	0.109	>9.5	>9.5	178.265	3	6	622.847	NotOK(12,13)	13-05-2021	13:45:28.319	0.109	21.981	OK	13-05-2021	13:45:29.527	1.316	21.983	OK	PM 2021-05-13	1:48:06.824	"Start FRRf MaBe3414"
13-05-2021	13:45:30.045	1.835	389.689	18.282	257	0	OK	13-05-2021	13:45:30.045	1.835	21.985	OK	13-05-2021	13:45:30.045	1.835	1013	OK	13-05-2021	13:45:29.339	1.128	>9.5	>9.5	178.231	4	7	622.847	NotOK(12,13)	13-05-2021	13:45:29.339	1.128	21.983	OK	13-05-2021	13:45:30.541	2.331	21.987	OK			
13-05-2021	13:45:31.047	2.836	389.752	18.280	257	0	OK	13-05-2021	13:45:31.047	2.836	21.986	OK	13-05-2021	13:45:31.047	2.836	1013	OK	13-05-2021	13:45:30.337	2.126	>9.5	>9.5	178.395	4	7	622.848	NotOK(12,13)	13-05-2021	13:45:30.337	2.126	21.986	OK	13-05-2021	13:45:31.505	3.295	21.986	OK			
13-05-2021	13:45:32.048	3.838	391.416	18.234	256	0	OK	13-05-2021	13:45:32.048	3.838	21.988	OK	13-05-2021	13:45:32.048	3.838	1013	OK	13-05-2021	13:45:31.321	3.111	>9.5	>9.5	179.214	4	8	622.848	NotOK(12,13)	13-05-2021	13:45:31.321	3.111	21.986	OK	13-05-2021	13:45:32.500	4.290	21.989	OK			
13-05-2021	13:45:33.047	4.837	391.552	18.230	256	0	OK	13-05-2021	13:45:33.047	4.837	21.989	OK	13-05-2021	13:45:33.047	4.837	1013	OK	13-05-2021	13:45:32.319	4.109	>9.5	>9.5	179.094	4	8	622.849	NotOK(12,13)	13-05-2021	13:45:32.319	4.109	21.989	OK	13-05-2021	13:45:33.505	5.295	21.990	OK			
13-05-2021	13:45:34.049	5.838	391.557	18.229	256	0	OK	13-05-2021	13:45:34.049	5.838	21.992	OK	13-05-2021	13:45:34.049	5.838	1013	OK	13-05-2021	13:45:33.322	5.112	>9.5	>9.5	178.902	4	8	622.849	NotOK(12,13)	13-05-2021	13:45:33.322	5.112	21.989	OK	13-05-2021	13:45:34.507	6.296	21.994	OK			
13-05-2021	13:45:35.051	6.840	391.966	18.217	256	0	OK	13-05-2021	13:45:35.051	6.840	21.995	OK	13-05-2021	13:45:35.051	6.840	1013	OK	13-05-2021	13:45:34.323	6.112	>9.5	>9.5	179.204	4	8	622.849	NotOK(12,13)	13-05-2021	13:45:34.323	6.112	21.992	OK	13-05-2021	13:45:35.503	7.293	21.996	OK			
13-05-2021	13:45:36.051	7.840	391.540	18.228	256	0	OK	13-05-2021	13:45:36.051	7.840	21.997	OK	13-05-2021	13:45:36.051	7.840	1013	OK	13-05-2021	13:45:35.320	7.110	>9.5	>9.5	179.193	4	8	622.849	NotOK(12,13)	13-05-2021	13:45:35.320	7.110	21.996	OK	13-05-2021	13:45:36.506	8.296	21.999	OK			
13-05-2021	13:45:37.050	8.839	392.417	18.203	256	0	OK	13-05-2021	13:45:37.050	8.839	22.001	OK	13-05-2021	13:45:37.050	8.839	1013	OK	13-05-2021	13:45:36.323	8.112	>9.5	>9.5	179.055	4	8	622.852	NotOK(12,13)	13-05-2021	13:45:36.323	8.112	21.999	OK	13-05-2021	13:45:37.507	9.296	22.002	OK			
13-05-2021	13:45:38.052	9.841	394.467	18.147	256	0	OK	13-05-2021	13:45:38.052	9.841	22.003	OK	13-05-2021	13:45:38.052	9.841	1013	OK	13-05-2021	13:45:37.322	9.112	>9.5	>9.5	179.141	4	8	622.852	NotOK(12,13)	13-05-2021	13:45:37.322	9.112	22.002	OK	13-05-2021	13:45:38.504	10.294	22.003	OK			
13-05-2021	13:45:39.052	10.841	393.102	18.183	255	0	OK	13-05-2021	13:45:39.052	10.841	22.006	OK	13-05-2021	13:45:39.052	10.841	1013	OK	13-05-2021	13:45:38.322	10.111	>9.5	>9.5	179.242	4	8	622.852	NotOK(12,13)	13-05-2021	13:45:38.322	10.111	22.003	OK	13-05-2021	13:45:39.508	11.297	22.008	OK			
13-05-2021	13:45:40.051	11.841	393.376	18.175	255	0	OK	13-05-2021	13:45:40.051	11.841	22.008	OK	13-05-2021	13:45:40.051	11.841	1013	OK	13-05-2021	13:45:39.324	11.113	>9.5	>9.5	179.392	4	8	622.853	NotOK(12,13)	13-05-2021	13:45:39.324	11.113	22.007	OK	13-05-2021	13:45:40.508	12.297	22.008	OK			
13-05-2021	13:45:41.052	12.841	393.244	18.178	255	0	OK	13-05-2021	13:45:41.052	12.841	22.010	OK	13-05-2021	13:45:41.052	12.841	1013	OK	13-05-2021	13:45:40.324	12.114	>9.5	>9.5	179.194	4	8	622.852	NotOK(12,13)	13-05-2021	13:45:40.324	12.114	22.009	OK	13-05-2021	13:45:41.507	13.296	22.011	OK			
