#--- Experiment --------------------------------------------------------------------------																																								
#MURIS_PSIICal_MaBe3413_590																																								
#																																								
#--- System ------------------------------------------------------------------------------																																								
#Data from PyroScience Workbench V1.2.6.1424   www.pyroscience.com																																								
#DESKTOP-R5TTQ6C																																								
#--- Instrument --------------------------------------------------------------------------																																								
#Device: FireSting pro [A] FSPRO-4 SN:24E144075AC97E9D Firmware:4.05 Build:003																																								
#--- Channel -----------------------------------------------------------------------------																																								
#Channel [A Ch.1] - Oxygen Sensor - XB7-534-210																																								
#--- Settings & Calibration --------------------------------------------------------------																																								
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																				
#	1 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	2	Internal Pressure Sensor	1013.000000	25.000000																				
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																				
#	2021-05-13	2000-12-31	22.197598	53.400000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.338989	22.628468	100.000000	20.000000	20.950000																				
#--- Temperature Compensation Channel ----------------------------------------------------																																								
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																								
#Settings: n/a																																								
#Calibration: n/a																																								
#--- Pressure Compensation Channel -------------------------------------------------------																																								
#Compensation Channel [A P1] - Internal Pressure Sensor																																								
#Settings: n/a																																								
#Calibration: n/a																																								
#--- Channel -----------------------------------------------------------------------------																																								
#Channel [A Ch.2] - pH Sensor - XBE7-204-085																																								
#--- Settings & Calibration --------------------------------------------------------------																																								
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																				
#	128 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000																				
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff											
#	2021-05-04	2021-05-04	2000-12-31	8.240000	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.811000	0.000000	0.000000	25.730000	4.011000	22.101000	2.000000	622.993000	54.075000	10.041000	22.463000	6.500000	622.996000	0.000000	0.000000											
#--- Temperature Compensation Channel ----------------------------------------------------																																								
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																								
#Settings: n/a																																								
#Calibration: n/a																																								
#--- Channel -----------------------------------------------------------------------------																																								
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																								
#--- Measurement Data --------------------------------------------------------------------																																								
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (µmol/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	pH [A Ch.2 Main]	pH (pH) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	ldev (nm) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
13-05-2021	14:48:51.844	0.249	334.648	18.088	251	0	OK	13-05-2021	14:48:51.844	0.249	22.948	OK	13-05-2021	14:48:51.844	0.249	1013	OK	13-05-2021	14:48:51.616	0.020	>9.5	>9.5	178.672	4	7	623.008	NotOK(12,13)	13-05-2021	14:48:51.616	0.020	22.949	OK	13-05-2021	14:48:52.881	1.286	22.948	OK	PM 2021-05-13	2:49:52.014	"Start FRRf MaBe3413 Ex590"
13-05-2021	14:48:52.806	1.210	334.585	18.090	251	0	OK	13-05-2021	14:48:52.806	1.210	22.948	OK	13-05-2021	14:48:52.806	1.210	1013	OK	13-05-2021	14:48:52.614	1.019	>9.5	>9.5	178.579	4	7	623.008	NotOK(12,13)	13-05-2021	14:48:52.614	1.019	22.949	OK	13-05-2021	14:48:53.867	2.272	22.948	OK			
13-05-2021	14:48:53.804	2.209	334.806	18.083	251	0	OK	13-05-2021	14:48:53.804	2.209	22.948	OK	13-05-2021	14:48:53.804	2.209	1013	OK	13-05-2021	14:48:53.617	2.021	>9.5	>9.5	178.839	4	7	623.009	NotOK(12,13)	13-05-2021	14:48:53.617	2.021	22.949	OK	13-05-2021	14:48:54.887	3.291	22.947	OK			
13-05-2021	14:48:54.808	3.213	334.539	18.092	251	0	OK	13-05-2021	14:48:54.808	3.213	22.946	OK	13-05-2021	14:48:54.808	3.213	1013	OK	13-05-2021	14:48:54.617	3.021	>9.5	>9.5	178.601	4	7	623.011	NotOK(12,13)	13-05-2021	14:48:54.617	3.021	22.946	OK	13-05-2021	14:48:55.868	4.272	22.947	OK			
13-05-2021	14:48:55.806	4.210	334.175	18.103	251	0	OK	13-05-2021	14:48:55.806	4.210	22.948	OK	13-05-2021	14:48:55.806	4.210	1013	OK	13-05-2021	14:48:55.618	4.022	>9.5	>9.5	178.541	4	7	623.011	NotOK(12,13)	13-05-2021	14:48:55.618	4.022	22.948	OK	13-05-2021	14:48:56.869	5.273	22.945	OK			
13-05-2021	14:48:56.808	5.212	335.741	18.054	251	0	OK	13-05-2021	14:48:56.808	5.212	22.946	OK	13-05-2021	14:48:56.808	5.212	1013	OK																13-05-2021	14:48:57.870	6.274	22.947	OK			
13-05-2021	14:48:57.808	6.212	334.910	18.080	251	0	OK	13-05-2021	14:48:57.808	6.212	22.947	OK	13-05-2021	14:48:57.808	6.212	1013	OK																13-05-2021	14:48:58.881	7.286	22.946	OK			
13-05-2021	14:48:58.806	7.211	334.855	18.082	251	0	OK	13-05-2021	14:48:58.806	7.211	22.946	OK	13-05-2021	14:48:58.806	7.211	1013	OK																13-05-2021	14:48:59.868	8.273	22.948	OK			
13-05-2021	14:48:59.808	8.212	334.365	18.097	251	0	OK	13-05-2021	14:48:59.808	8.212	22.948	OK	13-05-2021	14:48:59.808	8.212	1013	OK																13-05-2021	14:49:00.868	9.273	22.947	OK			
13-05-2021	14:49:00.807	9.212	335.131	18.073	251	0	OK	13-05-2021	14:49:00.807	9.212	22.947	OK	13-05-2021	14:49:00.807	9.212	1013	OK																13-05-2021	14:49:01.867	10.272	22.947	OK			
13-05-2021	14:49:01.807	10.212	335.131	18.073	251	0	OK	13-05-2021	14:49:01.807	10.212	22.947	OK	13-05-2021	14:49:01.807	10.212	1013	OK																13-05-2021	14:49:02.869	11.273	22.946	OK			
13-05-2021	14:49:02.808	11.212	334.603	18.090	251	0	OK	13-05-2021	14:49:02.808	11.212	22.946	OK	13-05-2021	14:49:02.808	11.212	1013	OK																13-05-2021	14:49:03.869	12.273	22.946	OK			
13-05-2021	14:49:03.807	12.212	335.677	18.056	251	0	OK	13-05-2021	14:49:03.807	12.212	22.946	OK	13-05-2021	14:49:03.807	12.212	1013	OK																13-05-2021	14:49:04.869	13.273	22.947	OK			
13-05-2021	14:49:04.808	13.212	335.542	18.060	251	0	OK	13-05-2021	14:49:04.808	13.212	22.947	OK	13-05-2021	14:49:04.808	13.212	1013	OK																13-05-2021	14:49:05.871	14.275	22.948	OK			
13-05-2021	14:49:05.811	14.215	335.154	18.072	251	0	OK	13-05-2021	14:49:05.811	14.215	22.948	OK	13-05-2021	14:49:05.811	14.215	1013	OK																13-05-2021	14:49:06.868	15.272	22.948	OK			
13-05-2021	14:49:06.809	15.213	334.207	18.102	251	0	OK	13-05-2021	14:49:06.809	15.213	22.948	OK	13-05-2021	14:49:06.809	15.213	1013	OK																13-05-2021	14:49:07.869	16.274	22.946	OK			
13-05-2021	14:49:07.809	16.213	335.203	18.071	251	0	OK	13-05-2021	14:49:07.809	16.213	22.946	OK	13-05-2021	14:49:07.809	16.213	1013	OK																13-05-2021	14:49:08.866	17.270	22.945	OK			
13-05-2021	14:49:08.807	17.211	335.370	18.066	251	0	OK	13-05-2021	14:49:08.807	17.211	22.945	OK	13-05-2021	14:49:08.807	17.211	1013	OK																13-05-2021	14:49:09.903	18.307	22.947	OK			
13-05-2021	14:49:09.840	18.245	334.846	18.082	251	0	OK	13-05-2021	14:49:09.840	18.245	22.947	OK	13-05-2021	14:49:09.840	18.245	1013	OK																13-05-2021	14:49:10.887	19.292	22.948	OK			
