
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-211	1	ON External	20.000	ON	1013	5.000	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.272	22.106	1003	100.000	20.950	53.391	22.874	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.200	
Data	Smoothing:	3	
Date:	2021-12-10	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-12-10	13:05:59	0.00		151.80	---	---	---	21.570	---	---	---	1026.01	14.393	21.570	---	---	29.620	---	---	---	354.056	---	---	---	5.503	---	---	---	
2021-12-10	13:06:00	1.00		151.87	---	---	---	21.568	---	---	---	1025.99	14.393	21.568	---	---	29.615	---	---	---	354.035	---	---	---	5.500	---	---	---	
2021-12-10	13:06:01	2.00		151.80	---	---	---	21.576	---	---	---	1025.97	14.393	21.576	---	---	29.618	---	---	---	354.024	---	---	---	5.513	---	---	---	
2021-12-10	13:06:02	3.00		151.74	---	---	---	21.576	---	---	---	1025.96	14.393	21.576	---	---	29.623	---	---	---	354.010	---	---	---	5.505	---	---	---	
2021-12-10	13:06:03	4.00		151.61	---	---	---	21.598	---	---	---	1025.96	14.393	21.598	---	---	29.626	---	---	---	354.008	---	---	---	5.520	---	---	---	
2021-12-10	13:06:04	5.00		151.73	---	---	---	21.590	---	---	---	1025.96	14.393	21.590	---	---	29.620	---	---	---	353.993	---	---	---	5.520	---	---	---	
2021-12-10	13:06:05	6.00		151.81	---	---	---	21.576	---	---	---	1025.97	14.393	21.576	---	---	29.617	---	---	---	353.989	---	---	---	5.502	---	---	---	
2021-12-10	13:06:06	7.00		152.03	---	---	---	21.562	---	---	---	1025.96	14.393	21.562	---	---	29.605	---	---	---	353.999	---	---	---	5.497	---	---	---	
2021-12-10	13:06:07	8.00		151.87	---	---	---	21.569	---	---	---	1025.92	14.393	21.569	---	---	29.615	---	---	---	353.972	---	---	---	5.488	---	---	---	
2021-12-10	13:06:08	9.00		151.82	---	---	---	21.575	---	---	---	1025.89	14.393	21.575	---	---	29.617	---	---	---	353.956	---	---	---	5.505	---	---	---	
2021-12-10	13:06:09	10.00		151.76	---	---	---	21.582	---	---	---	1025.90	14.393	21.582	---	---	29.620	---	---	---	353.909	---	---	---	5.507	---	---	---	
2021-12-10	13:06:10	11.00		151.77	---	---	---	21.590	---	---	---	1025.96	14.393	21.590	---	---	29.616	---	---	---	353.905	---	---	---	5.502	---	---	---	
2021-12-10	13:06:11	12.00		151.82	---	---	---	21.597	---	---	---	1025.97	14.393	21.597	---	---	29.609	---	---	---	353.877	---	---	---	5.498	---	---	---	
2021-12-10	13:06:12	13.00		151.75	---	---	---	21.603	---	---	---	1025.96	14.393	21.603	---	---	29.613	---	---	---	353.870	---	---	---	5.491	---	---	---	
2021-12-10	13:06:13	14.00		151.81	---	---	---	21.610	---	---	---	1025.96	14.393	21.610	---	---	29.606	---	---	---	353.901	---	---	---	5.477	---	---	---	
2021-12-10	13:06:14	15.00		151.74	---	---	---	21.619	---	---	---	1025.96	14.393	21.619	---	---	29.608	---	---	---	353.898	---	---	---	5.482	---	---	---	
2021-12-10	13:06:15	16.00		151.79	---	---	---	21.620	---	---	---	1025.99	14.393	21.620	---	---	29.604	---	---	---	353.873	---	---	---	5.498	---	---	---	
2021-12-10	13:06:16	17.00		151.76	---	---	---	21.627	---	---	---	1025.93	14.393	21.627	---	---	29.604	---	---	---	353.848	---	---	---	5.522	---	---	---	
2021-12-10	13:06:17	18.00		151.85	---	---	---	21.627	---	---	---	1025.94	14.393	21.627	---	---	29.597	---	---	---	353.822	---	---	---	5.509	---	---	---	
2021-12-10	13:06:18	19.00		151.72	---	---	---	21.633	---	---	---	1025.90	14.393	21.633	---	---	29.606	---	---	---	353.843	---	---	---	5.502	---	---	---	
