
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-211	1	ON External	20.000	ON	1013	5.000	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.272	22.106	1003	100.000	20.950	53.391	22.874	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.200	
Data	Smoothing:	3	
Date:	2021-12-13	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-12-13	10:51:11	0.00		128.38	---	---	---	22.270	---	---	---	1011.19	21.404	22.270	---	---	31.418	---	---	---	377.859	---	---	---	5.523	---	---	---	
2021-12-13	10:51:12	1.00		128.34	---	---	---	22.275	---	---	---	1011.18	21.404	22.275	---	---	31.420	---	---	---	377.843	---	---	---	5.518	---	---	---	
2021-12-13	10:51:13	2.00		128.31	---	---	---	22.284	---	---	---	1011.17	21.404	22.284	---	---	31.420	---	---	---	377.861	---	---	---	5.522	---	---	---	
2021-12-13	10:51:14	3.00		128.36	---	---	---	22.284	---	---	---	1011.15	21.404	22.284	---	---	31.416	---	---	---	377.884	---	---	---	5.509	---	---	---	
2021-12-13	10:51:15	4.00		128.40	---	---	---	22.285	---	---	---	1011.15	21.404	22.285	---	---	31.411	---	---	---	377.869	---	---	---	5.519	---	---	---	
2021-12-13	10:51:16	5.00		128.35	---	---	---	22.284	---	---	---	1011.13	21.404	22.284	---	---	31.417	---	---	---	377.848	---	---	---	5.534	---	---	---	
2021-12-13	10:51:17	6.00		128.33	---	---	---	22.284	---	---	---	1011.13	21.404	22.284	---	---	31.419	---	---	---	377.824	---	---	---	5.532	---	---	---	
2021-12-13	10:51:18	7.00		128.33	---	---	---	22.277	---	---	---	1011.13	21.404	22.277	---	---	31.421	---	---	---	377.804	---	---	---	5.531	---	---	---	
2021-12-13	10:51:19	8.00		128.39	---	---	---	22.270	---	---	---	1011.12	21.404	22.270	---	---	31.417	---	---	---	377.826	---	---	---	5.516	---	---	---	
2021-12-13	10:51:20	9.00		128.36	---	---	---	22.269	---	---	---	1011.15	21.404	22.269	---	---	31.420	---	---	---	377.838	---	---	---	5.515	---	---	---	
2021-12-13	10:51:21	10.00		128.35	---	---	---	22.269	---	---	---	1011.13	21.404	22.269	---	---	31.422	---	---	---	377.841	---	---	---	5.502	---	---	---	
2021-12-13	10:51:22	11.00		128.36	---	---	---	22.262	---	---	---	1011.13	21.404	22.262	---	---	31.423	---	---	---	377.822	---	---	---	5.509	---	---	---	
2021-12-13	10:51:23	12.00		128.36	---	---	---	22.270	---	---	---	1011.13	21.404	22.270	---	---	31.420	---	---	---	377.795	---	---	---	5.513	---	---	---	
2021-12-13	10:51:24	13.00		128.34	---	---	---	22.276	---	---	---	1011.17	21.404	22.276	---	---	31.420	---	---	---	377.831	---	---	---	5.522	---	---	---	
