Source DataFile                                               ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
--------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_2021112100843_MaBe3729_590_caloxy_data.csv , 2021/12/10, 08:47:48,    1639140468715,--Not Acquired--     ,--Not Acquired--     , -609.52,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.740,  1339.980,   2257.240,    917.260,  0.4064,  0.6845,   312.61,  0.0000,     0.000,    0.000,  0.268,      150,  0.404,      877,  0.328,     3588,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.883,   338.11,   636.52,  0.698,       5.07,    0.019,    600.00,  155.19,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_2021112100843_MaBe3729_590_caloxy_data.csv , 2021/12/10, 08:47:50,    1639140470784,--Not Acquired--     ,--Not Acquired--     , -610.89,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.377,  1329.310,   2189.650,    860.340,  0.3929,  0.6472,   322.63,  0.0000,     0.000,    0.000,  0.370,      385,  0.293,     1089,  0.337,     3463,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.943,   316.32,   614.60,  0.432,       5.55,    0.024,    600.00,  148.64,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_2021112100843_MaBe3729_590_caloxy_data.csv , 2021/12/10, 08:50:51,    1639140651792,--Not Acquired--     ,--Not Acquired--     , -551.49,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   40.00,    0.00,      1.701,  1407.680,   2310.740,    903.060,  0.3908,  0.6415,   475.73,  0.0000,     0.000,    0.000,  0.464,      198,  0.455,     1548,  0.081,     6187,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.865,   268.99,   770.65,  0.168,      29.46,    0.000,    600.00,  164.73,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_2021112100843_MaBe3729_590_caloxy_data.csv , 2021/12/10, 08:50:54,    1639140653847,--Not Acquired--     ,--Not Acquired--     , -610.91,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.472,  1304.790,   2397.250,   1092.460,  0.4557,  0.8373,   430.68,  0.0000,     0.000,    0.000,  0.131,      150,  0.375,      594,  0.495,     3167,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.594,   213.29,   553.19,  0.205,      18.72,    0.011,    600.00,  201.46,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_2021112100843_MaBe3729_590_caloxy_data.csv , 2021/12/10, 08:53:55,    1639140834889,--Not Acquired--     ,--Not Acquired--     , -486.95,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   80.00,    0.00,      1.253,  1537.690,   2352.400,    814.710,  0.3463,  0.5298,   499.50,  0.0000,     0.000,    0.000,  0.430,      164,  0.460,     1085,  0.110,     4316,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.008,   318.44,   957.92,  0.205,      22.98,    0.000,    600.00,  117.54,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_2021112100843_MaBe3729_590_caloxy_data.csv , 2021/12/10, 08:53:57,    1639140836916,--Not Acquired--     ,--Not Acquired--     , -610.32,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.743,  1343.120,   2459.920,   1116.800,  0.4540,  0.8315,   437.46,  0.0000,     0.000,    0.000,  0.229,      150,  0.311,      674,  0.460,     2907,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.634,   240.12,   632.58,  0.613,       7.25,    0.003,    600.00,  165.01,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_2021112100843_MaBe3729_590_caloxy_data.csv , 2021/12/10, 08:56:58,    1639141017942,--Not Acquired--     ,--Not Acquired--     , -357.74,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,  160.00,    0.00,      1.736,  1677.130,   2468.730,    791.600,  0.3207,  0.4720,   224.93,  0.0000,     0.000,    0.000,  0.525,      540,  0.248,      629,  0.227,     2847,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.355,   680.43,   921.68,  0.317,       5.00,    0.052,    600.00,   82.80,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_2021112100843_MaBe3729_590_caloxy_data.csv , 2021/12/10, 08:57:00,    1639141019955,--Not Acquired--     ,--Not Acquired--     , -612.26,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.856,  1346.320,   2403.620,   1057.300,  0.4399,  0.7853,   398.94,  0.0000,     0.000,    0.000,  0.214,      334,  0.293,      742,  0.493,     2769,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.402,   251.85,   605.07,  0.802,       5.12,    0.007,    600.00,  199.33,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_2021112100843_MaBe3729_590_caloxy_data.csv , 2021/12/10, 09:00:01,    1639141200909,--Not Acquired--     ,--Not Acquired--     , -606.80,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.237,  1263.930,   2229.230,    965.300,  0.4330,  0.7637,   328.82,  0.0020,     0.000,    0.000,  0.290,      150,  0.390,      805,  0.320,     3432,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.982,   346.60,   686.80,  0.839,       5.71,    0.014,    600.00,  169.26,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
