----,
DateTime:        , 2021/12/10, 09:10:31, 1639141831251,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -592.29,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,              5,       5, 
Sio:,    243.57,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    123.092,
    1,        0.8,    172.406,     122.409,    127.013,
    2,        3.3,    181.520,     125.478,    127.629,
    3,        5.8,    181.825,     128.388,    128.315,
    4,        8.3,    181.710,     128.579,    129.057,
    5,       10.8,    181.787,     130.065,    129.845,
    6,       13.3,    181.863,     131.000,    130.668,
    7,       15.8,    182.054,     131.522,    131.521,
    8,       18.3,    182.054,     132.401,    132.396,
    9,       20.8,    182.130,     133.334,    133.288,
   10,       23.3,    182.282,     134.210,    134.194,
   11,       25.8,    182.473,     135.713,    135.111,
   12,       28.3,    182.511,     136.233,    136.034,
   13,       30.8,    182.244,     136.872,    136.961,
   14,       33.3,    182.511,     138.206,    137.892,
   15,       35.8,    182.588,     138.695,    138.823,
   16,       38.3,    182.740,     139.565,    139.755,
   17,       40.8,    182.435,     140.894,    140.684,
   18,       43.3,    182.435,     141.662,    141.611,
   19,       45.8,    182.511,     142.589,    142.534,
   20,       48.3,    182.664,     143.236,    143.454,
   21,       50.8,    182.702,     143.754,    144.370,
   22,       53.3,    182.549,     144.422,    145.280,
   23,       55.8,    182.702,     145.943,    146.186,
   24,       58.3,    182.740,     146.460,    147.086,
   25,       60.8,    182.969,     147.807,    147.981,
   26,       63.3,    182.740,     148.430,    148.869,
   27,       65.8,    182.816,     149.024,    149.751,
   28,       68.3,    182.778,     150.368,    150.627,
   29,       70.8,    182.778,     150.916,    151.497,
