Source DataFile                                              ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202112100907_MaBe3729_445_caloxy_data.csv , 2021/12/10, 09:10:31,    1639141831251,--Not Acquired--     ,--Not Acquired--     , -592.29,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.301,   126.500,    251.020,    124.520,  0.4961,  0.9843,    62.89,  0.2610,     0.000,    0.000,  0.272,      337,  0.483,     1859,  0.245,    11549,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.410,   667.00,   273.49,  0.355,      12.91,    0.008,    600.00,  243.57,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100907_MaBe3729_445_caloxy_data.csv , 2021/12/10, 09:10:33,    1639141833316,--Not Acquired--     ,--Not Acquired--     , -592.56,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     14.981,   126.380,    223.780,     97.400,  0.4352,  0.7707,    73.87,  0.0000,     0.000,    0.000,  0.377,      679,  0.342,     1655,  0.281,     7385,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.445,   775.57,   345.01,  0.000,       5.00,    0.022,    600.00,  212.28,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100907_MaBe3729_445_caloxy_data.csv , 2021/12/10, 09:13:39,    1639142019260,--Not Acquired--     ,--Not Acquired--     , -291.19,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.491,   123.440,    256.410,    132.970,  0.5186,  1.0772,    62.61,  0.2710,     0.000,    0.000,  0.320,      405,  0.469,     2032,  0.211,    12654,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.409,   681.55,   278.98,  0.270,      17.60,    0.009,    600.00,  329.62,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100907_MaBe3729_445_caloxy_data.csv , 2021/12/10, 09:13:41,    1639142021332,--Not Acquired--     ,--Not Acquired--     , -290.91,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     17.543,   123.830,    218.480,     94.650,  0.4332,  0.7644,    78.22,  0.0000,     0.000,    0.000,  0.393,      825,  0.273,     1328,  0.334,     6326,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.471,   758.45,   357.27,  0.000,       5.00,    0.001,    600.00,  264.67,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100907_MaBe3729_445_caloxy_data.csv , 2021/12/10, 09:16:42,    1639142202364,--Not Acquired--     ,--Not Acquired--     , -287.86,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.648,   140.220,    360.330,    220.110,  0.6109,  1.5697,    54.73,  0.3690,     0.000,    0.000,  0.472,      230,  0.257,      830,  0.271,     3169,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.347,  2878.50,   997.74,  0.804,      22.55,    0.010,    600.00,  376.70,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100907_MaBe3729_445_caloxy_data.csv , 2021/12/10, 09:16:44,    1639142204347,--Not Acquired--     ,--Not Acquired--     , -291.21,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     13.643,   125.090,    323.620,    198.530,  0.6135,  1.5871,    60.39,  0.1500,     0.000,    0.000,  0.465,      428,  0.432,     2049,  0.103,    11277,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.376,  1228.40,   461.83,  0.199,      29.53,    0.000,    600.00,  609.10,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100907_MaBe3729_445_caloxy_data.csv , 2021/12/10, 09:19:45,    1639142385395,--Not Acquired--     ,--Not Acquired--     , -284.65,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.501,   135.420,    306.820,    171.400,  0.5586,  1.2657,    53.39,  0.3210,     0.000,    0.000,  0.545,      307,  0.177,     1282,  0.277,     3121,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.336,  2697.39,   907.12,  0.823,      17.26,    0.000,    600.00,  336.23,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100907_MaBe3729_445_caloxy_data.csv , 2021/12/10, 09:19:47,    1639142387405,--Not Acquired--     ,--Not Acquired--     , -291.38,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.923,   118.300,    293.730,    175.430,  0.5972,  1.4829,    55.88,  0.1260,     0.000,    0.000,  0.429,      485,  0.426,     1969,  0.145,     9862,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.346,  1199.54,   415.12,  0.000,       5.00,    0.000,    600.00,  484.35,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100907_MaBe3729_445_caloxy_data.csv , 2021/12/10, 09:22:48,    1639142568429,--Not Acquired--     ,--Not Acquired--     , -276.58,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.357,   130.720,    274.250,    143.530,  0.5234,  1.0980,    47.32,  0.2460,     0.000,    0.000,  0.583,      349,  0.409,     2557,  0.009,   224278,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.307,  1077.35,   331.17,  0.564,      22.00,    0.000,    600.00,  285.77,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
