Source DataFile                                                   ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202112100952_MaBe3729_445_caloxy_noTC_data.csv , 2021/12/10, 09:55:38,    1639144538071,--Not Acquired--     ,--Not Acquired--     , -293.54,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      6.982,   144.310,    315.160,    170.850,  0.5421,  1.1839,    49.28,  0.3240,     0.000,    0.000,  0.564,      885,  0.391,     6452,  0.045,   154752,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.338,   305.37,   103.31,  0.000,       5.00,    0.000,    600.00,  364.30,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100952_MaBe3729_445_caloxy_noTC_data.csv , 2021/12/10, 09:55:40,    1639144540121,--Not Acquired--     ,--Not Acquired--     , -291.98,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     40.347,   149.130,    264.520,    115.390,  0.4362,  0.7738,    64.10,  0.0000,     0.000,    0.000,  0.545,      918,  0.176,     2541,  0.279,     7538,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.386,   849.25,   327.82,  0.000,       5.00,    0.000,    600.00,  390.12,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100952_MaBe3729_445_caloxy_noTC_data.csv , 2021/12/10, 09:58:41,    1639144721126,--Not Acquired--     ,--Not Acquired--     , -289.10,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.274,   172.220,    448.890,    276.670,  0.6163,  1.6065,    47.07,  0.4140,     0.000,    0.000,  0.545,      283,  0.368,     1631,  0.088,     5976,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.299,  3185.14,   953.20,  0.721,      25.11,    0.000,    600.00,  405.98,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100952_MaBe3729_445_caloxy_noTC_data.csv , 2021/12/10, 09:58:43,    1639144723111,--Not Acquired--     ,--Not Acquired--     , -293.40,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     22.849,   154.400,    401.530,    247.130,  0.6155,  1.6006,    56.59,  0.1460,     0.000,    0.000,  0.434,      492,  0.419,     1755,  0.147,     9278,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.352,  1275.63,   448.69,  0.201,      41.70,    0.000,    600.00,  470.99,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100952_MaBe3729_445_caloxy_noTC_data.csv , 2021/12/10, 10:01:44,    1639144904131,--Not Acquired--     ,--Not Acquired--     , -282.87,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.943,   170.850,    440.130,    269.280,  0.6118,  1.5761,    44.71,  0.4070,     0.000,    0.000,  0.537,      279,  0.320,     1452,  0.143,     4061,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.282,  3652.41,  1030.34,  0.723,      25.81,    0.000,    600.00,  407.16,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100952_MaBe3729_445_caloxy_noTC_data.csv , 2021/12/10, 10:01:46,    1639144906089,--Not Acquired--     ,--Not Acquired--     , -292.73,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     39.901,   150.450,    387.750,    237.300,  0.6120,  1.5773,    55.15,  0.1420,     0.000,    0.000,  0.424,      508,  0.413,     1723,  0.163,     8624,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.342,  1295.01,   443.39,  0.133,      48.67,    0.000,    600.00,  588.16,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100952_MaBe3729_445_caloxy_noTC_data.csv , 2021/12/10, 10:04:47,    1639145087084,--Not Acquired--     ,--Not Acquired--     , -273.75,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.630,   164.630,    371.980,    207.350,  0.5574,  1.2595,    44.24,  0.3260,     0.000,    0.000,  0.593,      342,  0.397,     2329,  0.010,   246994,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.297,  1025.77,   304.48,  0.580,      27.66,    0.000,    600.00,  316.06,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100952_MaBe3729_445_caloxy_noTC_data.csv , 2021/12/10, 10:04:49,    1639145089140,--Not Acquired--     ,--Not Acquired--     , -291.37,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     26.443,   142.640,    344.710,    202.070,  0.5862,  1.4166,    51.88,  0.1220,     0.000,    0.000,  0.438,      613,  0.350,     1756,  0.212,     7684,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.321,  1278.55,   410.02,  0.000,       5.00,    0.000,    600.00,  421.42,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100952_MaBe3729_445_caloxy_noTC_data.csv , 2021/12/10, 10:07:50,    1639145270138,--Not Acquired--     ,--Not Acquired--     , -293.72,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.699,   143.870,    358.830,    214.960,  0.5991,  1.4941,    49.06,  0.3650,     0.000,    0.000,  0.417,      661,  0.372,     2763,  0.211,    10817,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.327,   921.43,   301.59,  0.139,      27.93,    0.002,    600.00,  463.99,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
