Source DataFile                                                ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
---------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202112101117_MaBe3728_45_caloxy_TC_data.csv , 2021/12/10, 11:21:10,    1639149670375,--Not Acquired--     ,--Not Acquired--     , -111.90,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     11.287,    80.119,    146.738,     66.620,  0.4540,  0.8315,    91.56,  0.0784,     0.000,    2.612,  0.000,     1359,  0.000,     3751,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.564,   641.94,   362.02,  0.000,       5.00,    0.000,    600.00,  287.25,   0.000,     0.0,     0.0,     0.0,     0.0,    1436,    1.5000,
C:\LIFT\DATA\MURIS_202112101117_MaBe3728_45_caloxy_TC_data.csv , 2021/12/10, 11:21:12,    1639149672466,--Not Acquired--     ,--Not Acquired--     , -111.87,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     45.894,    80.328,    142.908,     62.580,  0.4379,  0.7791,   111.92,  0.0000,     0.000,    2.913,  0.000,     1267,  0.000,     3027,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.674,   643.39,   433.64,  0.000,       5.00,    0.012,    600.00,  261.70,   0.000,     0.0,     0.0,     0.0,     0.0,    1039,    1.5000,
C:\LIFT\DATA\MURIS_202112101117_MaBe3728_45_caloxy_TC_data.csv , 2021/12/10, 11:24:13,    1639149853636,--Not Acquired--     ,--Not Acquired--     , -108.98,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.890,    85.127,    167.915,     82.788,  0.4930,  0.9725,   121.37,  0.4465,     0.000,    2.701,  0.000,      510,  0.000,     1088,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.808,  1557.65,  1258.26,  0.321,      21.52,    0.007,    600.00,  406.40,   0.000,     0.0,     0.0,     0.0,     0.0,     403,    1.5000,
C:\LIFT\DATA\MURIS_202112101117_MaBe3728_45_caloxy_TC_data.csv , 2021/12/10, 11:24:15,    1639149855760,--Not Acquired--     ,--Not Acquired--     , -111.42,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     15.902,    76.747,    184.969,    108.222,  0.5851,  1.4101,    96.63,  0.2636,     0.000,    4.912,  0.000,      835,  0.000,     3855,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.622,  1052.92,   654.79,  0.000,       5.00,    0.024,    600.00,  456.19,   0.000,     0.0,     0.0,     0.0,     0.0,     785,    1.5000,
C:\LIFT\DATA\MURIS_202112101117_MaBe3728_45_caloxy_TC_data.csv , 2021/12/10, 11:27:17,    1639150036901,--Not Acquired--     ,--Not Acquired--     , -107.02,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.801,    83.858,    159.761,     75.903,  0.4751,  0.9051,   113.05,  0.4188,     0.000,    2.698,  0.000,      502,  0.000,     1068,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.743,  1721.63,  1278.34,  0.324,      21.46,    0.013,    600.00,  356.36,   0.000,     0.0,     0.0,     0.0,     0.0,     396,    1.5000,
C:\LIFT\DATA\MURIS_202112101117_MaBe3728_45_caloxy_TC_data.csv , 2021/12/10, 11:27:19,    1639150039059,--Not Acquired--     ,--Not Acquired--     , -111.70,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     15.641,    73.911,    169.107,     95.196,  0.5629,  1.2880,    92.87,  0.1839,     0.000,    4.788,  0.000,      848,  0.000,     4059,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.585,  1049.12,   613.66,  0.000,       5.00,    0.013,    600.00,  402.99,   0.000,     0.0,     0.0,     0.0,     0.0,     848,    1.5000,
C:\LIFT\DATA\MURIS_202112101117_MaBe3728_45_caloxy_TC_data.csv , 2021/12/10, 11:30:20,    1639150220171,--Not Acquired--     ,--Not Acquired--     , -101.87,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.348,    83.397,    151.210,     67.813,  0.4485,  0.8131,   103.49,  0.3546,     0.000,    2.605,  0.000,      495,  0.000,      979,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.665,  1953.17,  1299.02,  0.328,      18.68,    0.016,    600.00,  276.72,   0.000,     0.0,     0.0,     0.0,     0.0,     376,    1.5000,
C:\LIFT\DATA\MURIS_202112101117_MaBe3728_45_caloxy_TC_data.csv , 2021/12/10, 11:30:22,    1639150222310,--Not Acquired--     ,--Not Acquired--     , -111.01,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     27.310,    71.661,    153.161,     81.501,  0.5321,  1.1373,    91.46,  0.1014,     0.000,    4.648,  0.000,      865,  0.000,     4292,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.564,  1012.03,   571.14,  0.000,       5.00,    0.002,    600.00,  460.65,   0.000,     0.0,     0.0,     0.0,     0.0,     923,    1.5000,
C:\LIFT\DATA\MURIS_202112101117_MaBe3728_45_caloxy_TC_data.csv , 2021/12/10, 11:33:23,    1639150403429,--Not Acquired--     ,--Not Acquired--     , -111.04,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     15.920,    75.854,    143.774,     67.920,  0.4724,  0.8954,    88.29,  0.0000,     0.000,    2.343,  0.000,     1391,  0.000,     3071,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.532,   696.27,   370.20,  0.000,       5.00,    0.000,    600.00,  311.79,   0.000,     0.0,     0.0,     0.0,     0.0,    1311,    1.5000,
