----,
DateTime:        , 2021/12/10, 13:09:59, 1639156198974,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -296.20,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,             10,       5, 
Sio:,    140.10,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    636.189,
    1,        0.8,     89.842,     645.623,    644.174,
    2,        3.3,     91.070,     650.766,    648.248,
    3,        5.8,     90.420,     655.875,    653.640,
    4,        8.3,     90.058,     658.061,    659.774,
    5,       10.8,     89.625,     663.698,    666.302,
    6,       13.3,     89.264,     670.192,    673.013,
    7,       15.8,     88.758,     678.403,    679.779,
    8,       18.3,     88.253,     685.576,    686.517,
    9,       20.8,     87.819,     691.123,    693.180,
   10,       23.3,     86.880,     701.585,    699.732,
   11,       25.8,     86.519,     706.594,    706.153,
   12,       28.3,     86.519,     710.986,    712.442,
   13,       30.8,     86.303,     717.058,    718.602,
   14,       33.3,     86.158,     722.787,    724.634,
   15,       35.8,     86.014,     728.651,    730.537,
   16,       38.3,     85.653,     735.109,    736.310,
   17,       40.8,     85.364,     741.932,    741.949,
   18,       43.3,     85.075,     746.920,    747.454,
   19,       45.8,     84.425,     756.224,    752.823,
   20,       48.3,     84.352,     759.361,    758.050,
   21,       50.8,     84.569,     761.199,    763.144,
   22,       53.3,     84.136,     768.092,    768.117,
   23,       55.8,     83.558,     776.635,    772.962,
   24,       58.3,     83.413,     780.377,    777.672,
   25,       60.8,     83.702,     780.909,    782.251,
   26,       63.3,     83.125,     789.225,    786.718,
   27,       65.8,     83.197,     791.184,    791.058,
   28,       68.3,     82.908,     795.992,    795.282,
   29,       70.8,     82.836,     798.134,    799.388,
