----,
DateTime:        , 2021/12/13, 08:13:28, 1639397608635,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1510.79,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,              2,       2, 
Sio:,     74.05,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1540.991,
    1,        0.8,     91.327,    1584.073,   1574.707,
    2,        3.3,     91.327,    1598.384,   1593.253,
    3,        5.8,     91.130,    1612.725,   1616.934,
    4,        8.3,     90.345,    1640.032,   1643.289,
    5,       10.8,     89.756,    1666.953,   1670.823,
    6,       13.3,     89.363,    1689.946,   1698.669,
    7,       15.8,     88.381,    1727.959,   1726.304,
    8,       18.3,     88.184,    1744.848,   1753.413,
    9,       20.8,     87.791,    1768.033,   1779.873,
   10,       23.3,     86.809,    1801.280,   1805.594,
   11,       25.8,     86.809,    1820.288,   1830.498,
   12,       28.3,     86.613,    1840.579,   1854.635,
   13,       30.8,     86.024,    1872.367,   1878.028,
   14,       33.3,     84.649,    1918.134,   1900.673,
   15,       35.8,     85.435,    1919.809,   1922.461,
   16,       38.3,     85.238,    1942.417,   1943.591,
   17,       40.8,     85.435,    1953.168,   1964.065,
   18,       43.3,     85.042,    1979.828,   1983.961,
   19,       45.8,     84.256,    2013.124,   2003.278,
   20,       48.3,     84.649,    2018.549,   2021.919,
   21,       50.8,     84.256,    2043.982,   2040.027,
   22,       53.3,     83.667,    2070.328,   2057.601,
   23,       55.8,     84.060,    2079.093,   2074.560,
   24,       58.3,     83.471,    2103.952,   2091.065,
   25,       60.8,     84.060,    2104.670,   2106.990,
   26,       63.3,     83.078,    2139.780,   2122.563,
   27,       65.8,     83.471,    2139.294,   2137.576,
