----,
DateTime:        , 2021/12/13, 10:55:13, 1639407313488,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -622.72,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,              5,       2, 
Sio:,     62.66,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1767.745,
    1,        0.8,     90.510,    1794.602,   1784.195,
    2,        3.3,     90.316,    1824.024,   1811.460,
    3,        5.8,     89.541,    1853.763,   1840.446,
    4,        8.3,     89.154,    1875.498,   1870.273,
    5,       10.8,     88.767,    1902.606,   1900.358,
    6,       13.3,     89.348,    1910.607,   1930.579,
    7,       15.8,     87.799,    1965.270,   1960.239,
    8,       18.3,     88.186,    1975.691,   1989.605,
    9,       20.8,     87.605,    2005.228,   2018.405,
   10,       23.3,     87.412,    2028.202,   2046.660,
   11,       25.8,     86.831,    2058.814,   2074.258,
   12,       28.3,     86.444,    2087.934,   2101.213,
   13,       30.8,     86.056,    2119.640,   2127.514,
   14,       33.3,     85.863,    2146.082,   2153.194,
   15,       35.8,     85.669,    2172.644,   2178.256,
   16,       38.3,     84.895,    2212.489,   2202.593,
   17,       40.8,     84.508,    2243.690,   2226.263,
   18,       43.3,     84.895,    2249.947,   2249.411,
   19,       45.8,     84.701,    2272.327,   2271.966,
   20,       48.3,     84.701,    2287.675,   2293.957,
   21,       50.8,     83.346,    2341.193,   2315.170,
   22,       53.3,     83.733,    2347.324,   2335.851,
   23,       55.8,     83.346,    2374.308,   2355.918,
   24,       58.3,     83.539,    2382.691,   2375.459,
   25,       60.8,     83.539,    2397.534,   2394.467,
   26,       63.3,     82.378,    2443.969,   2412.791,
   27,       65.8,     83.152,    2432.030,   2430.661,
