----,
DateTime:        , 2021/12/13, 11:33:57, 1639409637203,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -623.17,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,              5,       2, 
Sio:,     73.93,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1929.343,
    1,        0.8,     90.129,    1947.758,   1959.345,
    2,        3.3,     89.949,    1972.105,   1971.357,
    3,        5.8,     89.232,    1996.696,   1987.222,
    4,        8.3,     88.873,    2014.208,   2005.918,
    5,       10.8,     88.514,    2034.798,   2026.667,
    6,       13.3,     88.514,    2051.970,   2048.898,
    7,       15.8,     88.335,    2069.722,   2072.163,
    8,       18.3,     87.079,    2114.264,   2096.053,
    9,       20.8,     87.259,    2118.627,   2120.334,
   10,       23.3,     86.900,    2137.500,   2144.806,
   11,       25.8,     86.541,    2159.764,   2169.312,
   12,       28.3,     85.824,    2192.268,   2193.712,
   13,       30.8,     86.541,    2190.732,   2217.964,
   14,       33.3,     85.644,    2232.355,   2241.982,
   15,       35.8,     85.824,    2245.167,   2265.719,
   16,       38.3,     85.286,    2276.920,   2289.129,
   17,       40.8,     84.030,    2327.840,   2312.138,
   18,       43.3,     84.389,    2331.928,   2334.724,
   19,       45.8,     84.030,    2357.592,   2356.894,
   20,       48.3,     84.568,    2357.253,   2378.652,
   21,       50.8,     84.210,    2382.258,   2400.012,
   22,       53.3,     83.133,    2429.938,   2420.938,
   23,       55.8,     83.313,    2441.030,   2441.398,
   24,       58.3,     83.133,    2462.656,   2461.413,
   25,       60.8,     83.133,    2476.610,   2480.985,
   26,       63.3,     83.492,    2480.102,   2500.125,
   27,       65.8,     82.954,    2511.620,   2518.859,
