Source DataFile                                                 ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
----------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202112131347_MaBe3725_445_caloxy_TC_data.csv , 2021/12/13, 13:50:22,    1639417821891,--Not Acquired--     ,--Not Acquired--     , -119.03,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      8.916,   156.628,    340.785,    184.157,  0.5404,  1.1758,    87.91,  0.5293,     0.000,    3.285,  0.000,      850,  0.000,     4653,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.629,   782.50,   492.34,  0.000,       5.00,    0.046,    600.00,  366.93,   0.000,     0.0,     0.0,     0.0,     0.0,    1416,    1.5000,
C:\LIFT\DATA\MURIS_202112131347_MaBe3725_445_caloxy_TC_data.csv , 2021/12/13, 13:50:24,    1639417824022,--Not Acquired--     ,--Not Acquired--     , -118.32,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      9.249,   168.409,    307.783,    139.374,  0.4528,  0.8276,    92.96,  0.3826,     0.000,    4.275,  0.000,      922,  0.000,     5175,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.628,   805.72,   505.73,  0.000,       5.00,    0.005,    600.00,  286.69,   0.000,     0.0,     0.0,     0.0,     0.0,    1211,    1.5000,
C:\LIFT\DATA\MURIS_202112131347_MaBe3725_445_caloxy_TC_data.csv , 2021/12/13, 13:53:25,    1639418005115,--Not Acquired--     ,--Not Acquired--     , -113.15,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.240,   178.617,    339.614,    160.997,  0.4741,  0.9014,    86.47,  0.4930,     0.000,    3.567,  0.000,      650,  0.000,     2118,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.582,  1622.42,   943.88,  0.384,      12.58,    0.043,    600.00,  244.77,   0.000,     0.0,     0.0,     0.0,     0.0,     594,    1.5000,
C:\LIFT\DATA\MURIS_202112131347_MaBe3725_445_caloxy_TC_data.csv , 2021/12/13, 13:53:27,    1639418007244,--Not Acquired--     ,--Not Acquired--     , -117.58,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.194,   161.300,    312.919,    151.618,  0.4845,  0.9400,    92.49,  0.4210,     0.000,    4.211,  0.000,      845,  0.000,     4111,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.627,   961.82,   603.52,  0.000,       5.00,    0.018,    600.00,  347.20,   0.000,     0.0,     0.0,     0.0,     0.0,     976,    1.5000,
C:\LIFT\DATA\MURIS_202112131347_MaBe3725_445_caloxy_TC_data.csv , 2021/12/13, 13:56:28,    1639418188339,--Not Acquired--     ,--Not Acquired--     , -108.26,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.965,   174.012,    319.220,    145.208,  0.4549,  0.8345,    80.96,  0.4318,     0.000,    2.929,  0.000,      582,  0.000,     1603,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.530,  1950.11,  1033.07,  0.323,      15.72,    0.032,    600.00,  256.85,   0.000,     0.0,     0.0,     0.0,     0.0,     547,    1.5000,
C:\LIFT\DATA\MURIS_202112131347_MaBe3725_445_caloxy_TC_data.csv , 2021/12/13, 13:56:30,    1639418190467,--Not Acquired--     ,--Not Acquired--     , -117.00,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     16.995,   154.996,    287.771,    132.775,  0.4614,  0.8566,    91.22,  0.3806,     0.000,    3.913,  0.000,      835,  0.000,     4001,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.611,   958.86,   585.47,  0.000,       5.00,    0.009,    600.00,  360.85,   0.000,     0.0,     0.0,     0.0,     0.0,    1023,    1.5000,
C:\LIFT\DATA\MURIS_202112131347_MaBe3725_445_caloxy_TC_data.csv , 2021/12/13, 13:59:31,    1639418371557,--Not Acquired--     ,--Not Acquired--     ,  -98.83,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.935,   172.148,    297.400,    125.251,  0.4212,  0.7276,    76.41,  0.3700,     0.000,    2.688,  0.000,      550,  0.000,     1451,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.491,  2144.88,  1052.23,  0.398,      12.68,    0.029,    600.00,  276.28,   0.000,     0.0,     0.0,     0.0,     0.0,     540,    1.5000,
C:\LIFT\DATA\MURIS_202112131347_MaBe3725_445_caloxy_TC_data.csv , 2021/12/13, 13:59:33,    1639418373683,--Not Acquired--     ,--Not Acquired--     , -117.33,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.272,   149.873,    257.529,    107.656,  0.4180,  0.7183,    97.44,  0.3798,     0.000,    4.118,  0.000,      933,  0.000,     5003,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.659,   759.14,   500.30,  0.000,       5.00,    0.004,    600.00,  272.67,   0.000,     0.0,     0.0,     0.0,     0.0,    1215,    1.5000,
C:\LIFT\DATA\MURIS_202112131347_MaBe3725_445_caloxy_TC_data.csv , 2021/12/13, 14:02:34,    1639418554776,--Not Acquired--     ,--Not Acquired--     , -117.90,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     13.931,   145.116,    299.131,    154.015,  0.5149,  1.0613,    88.25,  0.5248,     0.000,    3.283,  0.000,      860,  0.000,     4860,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.635,   746.65,   473.88,  0.000,       5.00,    0.049,    600.00,  411.25,   0.000,     0.0,     0.0,     0.0,     0.0,    1480,    1.5000,
