----,
DateTime:        , 2021/12/13, 14:49:59, 1639421399806,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -302.30,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,             10,       2, 
Sio:,     68.83,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    808.402,
    1,        0.8,     91.038,     821.180,    822.478,
    2,        3.3,     91.758,     828.265,    829.010,
    3,        5.8,     91.038,     835.350,    836.799,
    4,        8.3,     89.777,     851.646,    845.240,
    5,       10.8,     89.957,     854.832,    854.029,
    6,       13.3,     89.417,     866.259,    862.945,
    7,       15.8,     90.137,     864.995,    871.905,
    8,       18.3,     88.697,     883.216,    880.774,
    9,       20.8,     88.877,     885.589,    889.527,
   10,       23.3,     87.436,     903.840,    898.096,
   11,       25.8,     87.436,     907.271,    906.485,
   12,       28.3,     86.896,     917.054,    914.682,
   13,       30.8,     87.076,     920.096,    922.699,
   14,       33.3,     86.176,     935.511,    930.516,
   15,       35.8,     86.176,     940.385,    938.139,
   16,       38.3,     86.176,     945.027,    945.579,
   17,       40.8,     85.815,     951.906,    952.831,
   18,       43.3,     85.095,     964.312,    959.886,
   19,       45.8,     85.095,     966.897,    966.746,
   20,       48.3,     85.815,     962.277,    973.435,
   21,       50.8,     84.555,     979.343,    979.944,
   22,       53.3,     84.015,     989.687,    986.253,
   23,       55.8,     84.195,     990.302,    992.371,
   24,       58.3,     84.015,     995.995,    998.312,
   25,       60.8,     83.294,    1007.730,   1004.073,
   26,       63.3,     83.294,    1010.491,   1009.650,
   27,       65.8,     82.754,    1020.834,   1015.053,
   28,       68.3,     82.754,    1021.196,   1020.280,
   29,       70.8,     82.034,    1033.332,   1025.340,
