Source DataFile                                                   ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202112131447_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 14:49:59,    1639421399806,--Not Acquired--     ,--Not Acquired--     , -302.30,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.640,   818.170,   1220.054,    401.885,  0.3294,  0.4912,   377.92,  0.2600,     0.000,    4.642,  0.000,      994,  0.000,     8572,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.542,   141.04,   358.49,  0.209,       5.00,    0.008,    600.00,   68.83,   0.000,     0.0,     0.0,     0.0,     0.0,    1846,    1.5000,
C:\LIFT\DATA\MURIS_202112131447_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 14:50:02,    1639421401934,--Not Acquired--     ,--Not Acquired--     , -302.33,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.180,   846.838,   1157.788,    310.951,  0.2686,  0.3672,   375.35,  0.2165,     0.000,    5.200,  0.000,     1115,  0.000,    11503,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.478,   122.96,   304.70,  0.029,       5.00,    0.006,    600.00,   46.63,   0.000,     0.0,     0.0,     0.0,     0.0,    2212,    1.5000,
C:\LIFT\DATA\MURIS_202112131447_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 14:53:03,    1639421583042,--Not Acquired--     ,--Not Acquired--     , -260.04,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   40.00,    0.00,      1.052,  1133.832,   1578.176,    444.343,  0.2816,  0.3919,   524.31,  0.0752,     0.000,    9.479,  0.000,      764,  0.000,     5193,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.247,   236.27,   767.10,  0.533,       5.00,    0.000,    600.00,   50.98,   0.000,     0.0,     0.0,     0.0,     0.0,     548,    1.5000,
C:\LIFT\DATA\MURIS_202112131447_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 14:53:05,    1639421585171,--Not Acquired--     ,--Not Acquired--     , -304.72,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.010,   945.507,   1500.859,    555.352,  0.3700,  0.5874,   419.33,  0.3051,     0.000,    6.127,  0.000,     1195,  0.000,     8800,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.883,   134.65,   388.23,  0.000,       5.00,    0.000,    600.00,   66.64,   0.000,     0.0,     0.0,     0.0,     0.0,    1436,    1.5000,
C:\LIFT\DATA\MURIS_202112131447_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 14:56:06,    1639421766247,--Not Acquired--     ,--Not Acquired--     , -210.46,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   80.00,    0.00,      0.765,  1207.569,   1816.075,    608.506,  0.3351,  0.5039,   363.99,  0.0985,     0.000,   11.519,  0.000,      680,  0.000,     5447,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.266,   387.11,   877.16,  0.512,       5.00,    0.026,    600.00,   48.34,   0.000,     0.0,     0.0,     0.0,     0.0,     473,    1.5000,
C:\LIFT\DATA\MURIS_202112131447_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 14:56:08,    1639421768391,--Not Acquired--     ,--Not Acquired--     , -303.80,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.193,   950.149,   1595.817,    645.667,  0.4046,  0.6795,   423.95,  0.2281,     0.000,    6.890,  0.000,      999,  0.000,     8381,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.805,   163.65,   459.00,  0.000,       5.00,    0.000,    600.00,   70.51,   0.000,     0.0,     0.0,     0.0,     0.0,    1216,    1.5000,
C:\LIFT\DATA\MURIS_202112131447_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 14:59:09,    1639421949531,--Not Acquired--     ,--Not Acquired--     , -109.50,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,  160.00,    0.00,      1.232,  1245.531,   1855.725,    610.194,  0.3288,  0.4899,   254.93,  0.1392,     0.000,    7.854,  0.000,      536,  0.000,     2615,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.596,   738.64,  1178.93,  0.238,       5.00,    0.037,    600.00,   41.67,   0.000,     0.0,     0.0,     0.0,     0.0,     333,    1.5000,
C:\LIFT\DATA\MURIS_202112131447_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 14:59:11,    1639421951684,--Not Acquired--     ,--Not Acquired--     , -302.85,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.067,   934.129,   1593.127,    658.998,  0.4137,  0.7055,   419.07,  0.2422,     0.000,    6.770,  0.000,      981,  0.000,     9496,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.793,   152.85,   426.83,  0.000,       5.00,    0.000,    600.00,   66.69,   0.000,     0.0,     0.0,     0.0,     0.0,    1403,    1.5000,
C:\LIFT\DATA\MURIS_202112131447_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 15:02:12,    1639422132830,--Not Acquired--     ,--Not Acquired--     , -301.52,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.376,   821.204,   1194.634,    373.430,  0.3126,  0.4547,   423.22,  0.2761,     0.000,    4.933,  0.000,     1034,  0.000,     7885,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.870,   134.90,   387.14,  0.098,       5.00,    0.000,    600.00,   54.88,   0.000,     0.0,     0.0,     0.0,     0.0,    1598,    1.5000,
