----,
DateTime:        , 2021/12/13, 15:44:33, 1639424672971,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -116.70,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,             25,       2, 
Sio:,    293.07,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    118.668,
    1,        0.8,    172.465,     117.475,    120.928,
    2,        3.3,    181.737,     120.872,    121.834,
    3,        5.8,    181.833,     124.094,    122.738,
    4,        8.3,    181.546,     124.687,    123.638,
    5,       10.8,    181.928,     125.304,    124.539,
    6,       13.3,    181.355,     126.671,    125.434,
    7,       15.8,    182.215,     126.951,    126.331,
    8,       18.3,    181.641,     127.946,    127.222,
    9,       20.8,    182.406,     128.375,    128.114,
   10,       23.3,    182.215,     129.585,    129.002,
   11,       25.8,    182.310,     130.307,    129.887,
   12,       28.3,    182.406,     131.313,    130.768,
   13,       30.8,    182.310,     132.062,    131.645,
   14,       33.3,    182.310,     133.050,    132.518,
   15,       35.8,    182.215,     133.932,    133.386,
   16,       38.3,    182.310,     134.717,    134.250,
   17,       40.8,    182.597,     135.141,    135.110,
   18,       43.3,    182.502,     136.395,    135.965,
   19,       45.8,    182.406,     137.212,    136.814,
   20,       48.3,    182.693,     137.960,    137.659,
   21,       50.8,    182.884,     138.516,    138.499,
   22,       53.3,    182.310,     139.588,    139.331,
   23,       55.8,    182.502,     140.187,    140.158,
   24,       58.3,    182.502,     141.349,    140.978,
   25,       60.8,    182.502,     142.269,    141.792,
   26,       63.3,    182.884,     142.650,    142.601,
   27,       65.8,    182.980,     143.493,    143.403,
   28,       68.3,    182.693,     144.463,    144.197,
   29,       70.8,    182.597,     145.305,    144.984,
