----,
DateTime:,      2021/05/12, 14:27:12, 1620840432309,
PIF:,          -1527.36,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #00001,
Gain:,           2,    2, 
S/N Ratio:,    72.93,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,     90.202,    2524.378,      0.000,
    2,        3.3,     89.894,    2561.582,      0.000,
    3,        5.8,     88.519,    2599.494,      0.000,
    4,        8.3,     88.050,    2621.272,      0.000,
    5,       10.8,     88.162,    2634.397,      0.000,
    6,       13.3,     88.238,    2644.040,      0.000,
    7,       15.8,     88.242,    2663.189,      0.000,
    8,       18.3,     87.991,    2683.269,      0.000,
    9,       20.8,     86.656,    2739.629,      0.000,
   10,       23.3,     86.863,    2745.173,      0.000,
   11,       25.8,     87.163,    2747.191,      0.000,
   12,       28.3,     86.401,    2788.198,      0.000,
   13,       30.8,     86.258,    2806.745,      0.000,
   14,       33.3,     85.605,    2848.585,      0.000,
   15,       35.8,     85.871,    2859.581,      0.000,
   16,       38.3,     85.950,    2876.712,      0.000,
   17,       40.8,     85.511,    2912.527,      0.000,
   18,       43.3,     86.056,    2912.088,      0.000,
   19,       45.8,     85.215,    2959.016,      0.000,
   20,       48.3,     84.965,    2987.168,      0.000,
   21,       50.8,     84.102,    3033.863,      0.000,
   22,       53.3,     84.588,    3037.708,      0.000,
   23,       55.8,     83.878,    3083.103,      0.000,
   24,       58.3,     83.918,    3099.515,      0.000,
   25,       60.8,     83.279,    3141.278,      0.000,
   26,       63.3,     82.947,    3174.352,      0.000,
   27,       65.8,     83.217,    3181.471,      0.000,
   28,       68.3,     83.072,    3205.681,      0.000,
   29,       70.8,     83.135,    3221.912,      0.000,
   30,       73.3,     82.634,    3256.587,      0.000,
   31,       75.8,     82.473,    3280.500,      0.000,
