----,
DateTime:,      2021/05/12, 15:25:13, 1620843913212,
PIF:,          -1502.28,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #10000,
Gain:,           2,    2, 
S/N Ratio:,   209.06,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    175.973,     359.501,      0.000,
    2,        3.3,    182.022,     361.736,      0.000,
    3,        5.8,    184.166,     363.871,      0.000,
    4,        8.3,    184.248,     363.437,      0.000,
    5,       10.8,    184.149,     364.719,      0.000,
    6,       13.3,    183.943,     366.758,      0.000,
    7,       15.8,    183.729,     368.274,      0.000,
    8,       18.3,    184.407,     368.275,      0.000,
    9,       20.8,    184.033,     371.469,      0.000,
   10,       23.3,    184.125,     372.642,      0.000,
   11,       25.8,    184.194,     374.672,      0.000,
   12,       28.3,    184.210,     375.455,      0.000,
   13,       30.8,    183.971,     378.118,      0.000,
   14,       33.3,    183.895,     377.729,      0.000,
   15,       35.8,    183.719,     382.174,      0.000,
   16,       38.3,    184.263,     382.131,      0.000,
   17,       40.8,    184.328,     383.624,      0.000,
   18,       43.3,    184.363,     384.635,      0.000,
   19,       45.8,    184.276,     386.445,      0.000,
   20,       48.3,    184.114,     388.415,      0.000,
   21,       50.8,    184.299,     389.924,      0.000,
   22,       53.3,    184.261,     391.905,      0.000,
   23,       55.8,    184.074,     393.116,      0.000,
   24,       58.3,    184.217,     395.526,      0.000,
   25,       60.8,    184.368,     395.474,      0.000,
   26,       63.3,    184.002,     397.617,      0.000,
   27,       65.8,    184.090,     398.516,      0.000,
   28,       68.3,    184.057,     401.574,      0.000,
   29,       70.8,    184.490,     402.799,      0.000,
   30,       73.3,    184.000,     404.416,      0.000,
   31,       75.8,    184.014,     405.744,      0.000,
   32,       78.3,    184.007,     407.933,      0.000,
