----,
DateTime:,      2021/05/13, 13:51:05, 1620924665719,
PIF:,          -1503.58,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #10000,
Gain:,           2,    2, 
S/N Ratio:,   129.01,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,
    1,        0.8,    177.945,     335.592,
    2,        3.3,    183.169,     338.724,
    3,        5.8,    184.840,     341.738,
    4,        8.3,    184.536,     340.406,
    5,       10.8,    184.630,     339.690,
    6,       13.3,    184.520,     341.518,
    7,       15.8,    184.596,     341.650,
    8,       18.3,    184.794,     343.989,
    9,       20.8,    184.515,     344.238,
   10,       23.3,    184.511,     347.227,
   11,       25.8,    184.388,     348.814,
   12,       28.3,    184.500,     349.144,
   13,       30.8,    184.163,     350.597,
   14,       33.3,    184.570,     351.179,
   15,       35.8,    184.586,     352.232,
   16,       38.3,    184.458,     352.748,
   17,       40.8,    184.137,     355.263,
   18,       43.3,    184.270,     356.364,
   19,       45.8,    184.567,     356.060,
   20,       48.3,    184.597,     357.898,
   21,       50.8,    184.205,     359.746,
   22,       53.3,    184.648,     360.236,
   23,       55.8,    184.076,     359.999,
   24,       58.3,    184.219,     362.704,
   25,       60.8,    184.275,     362.866,
   26,       63.3,    184.004,     364.759,
   27,       65.8,    183.899,     366.326,
   28,       68.3,    184.733,     366.025,
   29,       70.8,    184.110,     369.166,
   30,       73.3,    184.098,     369.732,
   31,       75.8,    184.209,     371.411,
   32,       78.3,    184.490,     371.386,
   33,       80.8,    183.887,     373.147,
   34,       83.3,    184.575,     372.841,
   35,       85.8,    183.941,     375.485,
   36,       88.3,    183.936,     375.224,
   37,       90.8,    183.720,     377.569,
   38,       93.3,    184.479,     377.641,
   39,       95.8,    184.085,     378.450,
   40,       98.3,    184.153,     379.397,
   41,      100.8,    184.048,     380.971,
   42,      103.3,    184.036,     382.354,
   43,      105.8,    184.111,     382.471,
   44,      108.3,    183.986,     383.818,
   45,      110.8,    183.973,     384.661,
   46,      113.3,    183.787,     385.322,
   47,      115.8,    184.184,     387.749,
   48,      118.3,    183.837,     389.025,
   49,      120.8,    183.196,     391.205,
   50,      123.3,    184.034,     388.880,
   51,      125.8,    183.836,     391.202,
   52,      128.3,    183.416,     393.189,
   53,      130.8,    184.034,     392.955,
   54,      133.3,    183.507,     395.717,
   55,      135.8,    183.433,     397.514,
   56,      138.3,    183.911,     396.751,
   57,      140.8,    183.962,     397.457,
   58,      143.3,    183.397,     399.227,
   59,      145.8,    183.672,     400.262,
   60,      148.3,    183.740,     400.386,
   61,      150.8,    183.377,     403.089,
   62,      153.3,    183.353,     402.867,
   63,      155.8,    183.254,     405.269,
   64,      158.3,    183.531,     404.929,
   65,      160.8,    183.493,     405.558,
   66,      163.3,    183.482,     406.399,
   67,      165.8,    183.948,     407.272,
   68,      168.3,    183.672,     408.429,
   69,      170.8,    183.782,     410.360,
   70,      173.3,    183.571,     411.377,
   71,      175.8,    183.280,     412.032,
   72,      178.3,    183.460,     413.534,
   73,      180.8,    183.745,     414.255,
   74,      183.3,    183.142,     415.892,
   75,      185.8,    183.605,     414.570,
   76,      188.3,    183.534,     417.453,
   77,      190.8,    183.394,     418.591,
   78,      193.3,    183.436,     419.312,
   79,      195.8,    183.491,     419.732,
   80,      198.3,    183.502,     420.796,
   81,      200.8,    183.602,     422.201,
   82,      203.3,    183.617,     422.983,
   83,      205.8,    183.916,     422.295,
   84,      208.3,    183.182,     425.626,
   85,      210.8,    183.814,     426.340,
   86,      213.3,    183.052,     427.841,
   87,      215.8,    183.530,     428.088,
   88,      218.3,    182.932,     429.762,
   89,      220.8,    183.120,     430.411,
   90,      223.3,    183.142,     430.633,
   91,      225.8,    182.945,     431.917,
   92,      228.3,    183.304,     432.707,
   93,      230.8,    182.863,     434.025,
   94,      233.3,    183.203,     436.494,
   95,      235.8,    183.366,     434.743,
   96,      238.3,    183.597,     434.740,
   97,      240.8,    183.479,     436.111,
   98,      243.3,    183.378,     437.987,
   99,      245.8,    183.570,     437.800,
  100,      250.8,    182.197,     438.355,
  101,      273.3,    181.784,     441.276,
  102,      295.8,    181.881,     440.194,
  103,      318.3,    181.878,     440.463,
  104,      343.3,    182.207,     439.143,
  105,      368.3,    182.381,     436.275,
  106,      395.8,    181.929,     435.463,
  107,      423.3,    182.415,     433.492,
  108,      453.3,    182.489,     431.940,
  109,      483.3,    181.765,     431.738,
  110,      515.8,    181.278,     431.527,
  111,      550.8,    181.645,     427.616,
  112,      585.8,    181.642,     425.676,
  113,      623.3,    181.475,     423.580,
  114,      663.3,    181.501,     424.099,
  115,      705.8,    181.871,     421.583,
  116,      748.3,    181.409,     420.433,
  117,      793.3,    180.914,     419.916,
  118,      840.8,    181.188,     417.892,
  119,      890.8,    181.150,     417.413,
  120,      943.3,    181.656,     414.859,
  121,      998.3,    181.498,     414.113,
  122,     1055.8,    181.680,     411.783,
  123,     1115.8,    180.978,     412.520,
  124,     1178.3,    181.198,     410.926,
  125,     1245.8,    181.512,     409.397,
  126,     1315.8,    181.019,     408.280,
  127,     1388.3,    181.095,     407.544,
  128,     1465.8,    181.588,     406.976,
  129,     1545.8,    181.236,     404.734,
  130,     1630.8,    181.107,     405.826,
  131,     1720.8,    180.802,     403.423,
  132,     1815.8,    180.529,     401.514,
  133,     1913.3,    180.867,     402.136,
  134,     2015.8,    180.923,     400.061,
  135,     2123.3,    180.241,     400.448,
  136,     2238.3,    180.586,     399.100,
  137,     2358.3,    180.514,     397.572,
  138,     2483.3,    180.636,     396.719,
  139,     2615.8,    180.519,     395.828,
  140,     2753.3,    180.616,     394.497,
  141,     2898.3,    180.889,     393.895,
  142,     3050.8,    180.321,     393.468,
  143,     3210.8,    180.620,     391.147,
  144,     3378.3,    180.391,     391.626,
  145,     3555.8,    180.314,     389.567,
  146,     3740.8,    180.026,     390.485,
  147,     3935.8,    180.533,     389.142,
  148,     4140.8,    180.687,     386.903,
  149,     4355.8,    180.557,     386.932,
  150,     4580.8,    179.988,     388.731,
  151,     4818.3,    180.462,     384.986,
  152,     5068.3,    180.696,     385.332,
  153,     5330.8,    180.233,     384.367,
  154,     5605.8,    180.098,     384.632,
  155,     5895.8,    179.893,     383.927,
  156,     6200.8,    179.884,     383.957,
  157,     6520.8,    179.993,     382.598,
  158,     6855.8,    179.449,     382.697,
  159,     7208.3,    179.806,     381.439,
  160,     7578.3,    179.843,     381.144,
  161,     7965.8,    179.309,     382.024,
  162,     8373.3,    179.863,     378.372,
  163,     8800.8,    179.606,     379.849,
  164,     9250.8,    179.544,     378.045,
  165,     9723.3,    179.748,     377.323,
  166,    10220.8,    179.824,     378.305,
  167,    10743.3,    179.477,     376.482,
  168,    11290.8,    179.695,     375.253,
  169,    11865.8,    179.535,     376.485,
  170,    12470.8,    179.194,     374.926,
  171,    13105.8,    178.803,     374.621,
  172,    13773.3,    179.402,     371.939,
  173,    14475.8,    179.283,     372.421,
  174,    15213.3,    179.354,     372.005,
  175,    15988.3,    178.926,     372.381,
  176,    16800.8,    179.511,     370.890,
  177,    17655.8,    179.089,     369.851,
  178,    18553.3,    178.985,     370.708,
  179,    19495.8,    179.035,     369.972,
  180,    20485.8,    179.084,     368.212,
  181,    21525.8,    178.713,     368.918,
  182,    22618.3,    178.583,     368.921,
  183,    23768.3,    178.894,     365.603,
  184,    24975.8,    178.776,     365.902,
  185,    26243.3,    178.615,     366.693,
  186,    27575.8,    178.676,     365.321,
  187,    28975.8,    178.244,     365.396,
  188,    30445.8,    178.734,     365.244,
  189,    31990.8,    178.906,     364.907,
  190,    33613.3,    178.201,     364.168,
  191,    35318.3,    178.338,     364.398,
  192,    37108.3,    178.258,     362.728,
  193,    38990.8,    178.335,     362.361,
  194,    40968.3,    177.894,     361.617,
  195,    43045.8,    178.084,     362.281,
  196,    45228.3,    177.986,     362.084,
  197,    47520.8,    178.393,     363.099,
  198,    49928.3,    177.833,     362.080,
  199,    52458.3,    178.141,     361.893,
  200,    55115.8,    178.489,     360.223,
  201,    57908.3,    177.785,     362.041,
  202,    60843.3,    177.960,     361.067,
  203,    63925.8,    177.808,     361.350,
  204,    67163.3,    178.083,     360.714,
  205,    70565.8,    177.755,     359.041,
  206,    74140.8,    178.439,     359.445,
  207,    77895.8,    177.436,     358.572,
  208,    81840.8,    178.122,     358.842,
  209,    85985.8,    177.556,     359.140,
  210,    90340.8,    177.728,     359.264,
  211,    94915.8,    177.653,     360.321,
  212,    99723.3,    177.599,     359.081,
  213,   104773.3,    177.914,     358.123,
  214,   110078.3,    177.759,     360.513,
  215,   115653.3,    177.715,     357.485,
  216,   121508.3,    177.952,     358.667,
  217,   127660.8,    177.382,     357.308,
  218,   134125.8,    177.932,     357.189,
  219,   140915.8,    177.155,     357.776,
  220,   148050.8,    177.776,     356.958,
  221,   155545.8,    177.851,     357.537,
  222,   163420.8,    177.543,     357.772,
  223,   171695.8,    177.470,     357.778,
  224,   180388.3,    178.113,     358.277,
  225,   189520.8,    177.480,     356.620,
  226,   199115.8,    177.862,     357.743,
  227,   209195.8,    178.276,     354.615,
----,
DateTime:,      2021/05/13, 13:51:08, 1620924668623,
PIF:,          -1504.88,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #10000,
Gain:,           2,    2, 
S/N Ratio:,   119.11,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    177.129,     354.120,      0.000,
    2,        3.3,    182.728,     355.982,      0.000,
    3,        5.8,    184.687,     357.769,      0.000,
    4,        8.3,    184.576,     356.629,      0.000,
    5,       10.8,    184.186,     358.741,      0.000,
    6,       13.3,    184.851,     357.181,      0.000,
    7,       15.8,    184.442,     359.327,      0.000,
    8,       18.3,    184.254,     361.594,      0.000,
    9,       20.8,    184.265,     361.030,      0.000,
   10,       23.3,    184.454,     362.558,      0.000,
   11,       25.8,    184.138,     363.994,      0.000,
   12,       28.3,    184.733,     364.175,      0.000,
   13,       30.8,    184.203,     366.851,      0.000,
   14,       33.3,    183.934,     368.474,      0.000,
   15,       35.8,    184.239,     368.949,      0.000,
   16,       38.3,    183.822,     371.147,      0.000,
   17,       40.8,    184.273,     372.681,      0.000,
   18,       43.3,    183.924,     373.661,      0.000,
   19,       45.8,    184.029,     375.621,      0.000,
   20,       48.3,    184.444,     374.233,      0.000,
   21,       50.8,    184.533,     374.594,      0.000,
   22,       53.3,    184.399,     377.308,      0.000,
   23,       55.8,    184.404,     377.296,      0.000,
   24,       58.3,    184.548,     378.358,      0.000,
   25,       60.8,    184.410,     380.267,      0.000,
   26,       63.3,    184.140,     381.097,      0.000,
   27,       65.8,    183.939,     383.145,      0.000,
   28,       68.3,    184.387,     382.212,      0.000,
   29,       70.8,    184.342,     384.477,      0.000,
   30,       73.3,    184.234,     385.515,      0.000,
   31,       75.8,    184.152,     386.231,      0.000,
   32,       78.3,    184.241,     388.215,      0.000,
   33,       80.8,    184.408,     388.406,      0.000,
   34,       83.3,    184.133,     389.800,      0.000,
   35,       85.8,    184.269,     390.056,      0.000,
   36,       88.3,    184.456,     391.286,      0.000,
   37,       90.8,    184.241,     392.015,      0.000,
   38,       93.3,    184.326,     393.732,      0.000,
