----,
DateTime:,      2021/05/13, 16:15:21, 1620933321738,
PIF:,           -316.36,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #00001,
Gain:,          10,    2, 
S/N Ratio:,    69.42,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,     89.826,    1545.967,      0.000,
    2,        3.3,     90.052,    1559.307,      0.000,
    3,        5.8,     89.566,    1572.685,      0.000,
    4,        8.3,     87.145,    1625.203,      0.000,
    5,       10.8,     88.322,    1617.480,      0.000,
    6,       13.3,     87.329,    1650.641,      0.000,
    7,       15.8,     87.509,    1660.948,      0.000,
    8,       18.3,     87.794,    1666.150,      0.000,
    9,       20.8,     87.711,    1679.468,      0.000,
   10,       23.3,     86.666,    1710.216,      0.000,
   11,       25.8,     85.533,    1743.873,      0.000,
   12,       28.3,     85.846,    1748.467,      0.000,
   13,       30.8,     85.702,    1763.880,      0.000,
   14,       33.3,     85.229,    1789.274,      0.000,
   15,       35.8,     85.674,    1792.709,      0.000,
   16,       38.3,     85.033,    1819.153,      0.000,
   17,       40.8,     84.233,    1849.374,      0.000,
   18,       43.3,     84.598,    1851.452,      0.000,
   19,       45.8,     84.658,    1861.944,      0.000,
   20,       48.3,     84.407,    1877.675,      0.000,
   21,       50.8,     83.363,    1911.009,      0.000,
   22,       53.3,     84.210,    1902.719,      0.000,
   23,       55.8,     83.681,    1926.338,      0.000,
   24,       58.3,     83.178,    1947.016,      0.000,
   25,       60.8,     83.264,    1955.200,      0.000,
   26,       63.3,     83.295,    1963.603,      0.000,
   27,       65.8,     82.658,    1987.814,      0.000,
   28,       68.3,     82.876,    1989.943,      0.000,
   29,       70.8,     82.575,    2005.675,      0.000,
   30,       73.3,     82.801,    2007.930,      0.000,
   31,       75.8,     82.823,    2014.287,      0.000,
