Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202105131611_MaBe3412_590_caloxy_data.csv                                                                   ,2021/05/13, 16:15:21,    1620933321738, -316.36,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.003,  1591.100,   2432.220,    841.120,  0.3458,  0.5286,   402.39,  0.3450,     0.000,   12.188,  0.000,      666,  0.000,     1101,  0.000,     7624, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.790,   224.59,   626.55,  0.882,       2.00,    0.000,    600.00,   69.42,   0.000,     0.0,     0.0,     0.0,     0.0,     626,    1.7590,
C:\LIFT\DATA\MURIS_202105131611_MaBe3412_590_caloxy_data.csv                                                                   ,2021/05/13, 16:15:25,    1620933324821, -316.04,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.670,  1683.630,   2330.130,    646.500,  0.2775,  0.3840,   488.02,  0.3690,     0.000,    6.015,  0.000,      673,  0.000,      673,  0.000,     2433, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.413,   249.98,   853.15,  1.058,       2.00,    0.000,    600.00,   46.10,   0.000,     0.0,     0.0,     0.0,     0.0,     404,    1.9860,
C:\LIFT\DATA\MURIS_202105131611_MaBe3412_590_caloxy_data.csv                                                                   ,2021/05/13, 16:18:26,    1620933506365, -178.47,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   80.00,    0.00,      1.024,  2189.220,   2614.990,    425.770,  0.1628,  0.1945,   626.76,  0.3710,     0.000,   21.288,  0.000,      856,  0.000,      856,  0.000,     4840, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    4.430,   166.39,   737.06,  0.742,       2.00,    0.000,    600.00,   26.51,   0.000,     0.0,     0.0,     0.0,     0.0,     227,    2.0000,
C:\LIFT\DATA\MURIS_202105131611_MaBe3412_590_caloxy_data.csv                                                                   ,2021/05/13, 16:18:29,    1620933508843, -316.45,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.040,  1771.110,   2380.880,    609.770,  0.2561,  0.3443,   525.05,  0.4200,     0.000,    6.501,  0.000,      727,  0.000,      727,  0.000,     1000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.769,   236.86,   892.68,  0.862,       2.00,    0.000,    600.00,   48.61,   0.000,     0.0,     0.0,     0.0,     0.0,     154,    2.0000,
C:\LIFT\DATA\MURIS_202105131611_MaBe3412_590_caloxy_data.csv                                                                   ,2021/05/13, 16:21:30,    1620933690251,   -7.68,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,  160.00,    0.00,      1.309,  2402.990,   2754.350,    351.360,  0.1276,  0.1462,   609.66,  0.0000,     0.000,   50.000,  0.000,      519,  0.000,      519,  0.000,     1000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.672,   345.59,  1268.89,  0.879,       2.00,    0.000,    600.00,   24.20,   0.000,     0.0,     0.0,     0.0,     0.0,      20,    2.0000,
C:\LIFT\DATA\MURIS_202105131611_MaBe3412_590_caloxy_data.csv                                                                   ,2021/05/13, 16:21:32,    1620933692712, -317.51,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.773,  1848.170,   2454.310,    606.140,  0.2470,  0.3280,   537.31,  0.3730,     0.000,   50.000,  0.000,      641,  0.000,      641,  0.000,     1000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.751,   285.52,  1070.97,  0.943,       2.00,    0.000,    600.00,   45.23,   0.087,     0.0,     0.0,     0.0,     0.0,      20,    2.0000,
C:\LIFT\DATA\MURIS_202105131611_MaBe3412_590_caloxy_data.csv                                                                   ,2021/05/13, 16:24:34,    1620933874082,  360.31,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,  320.00,    0.00,      3.681,  2541.980,   2749.410,    207.430,  0.0754,  0.0816,  1289.31,  0.2290,     0.000,   50.000,  0.000,      307,  0.000,      307,  0.000,     1000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    8.416,   390.10,  3283.31,  0.501,       2.00,    0.000,    600.00,    9.97,   0.010,     0.0,     0.0,     0.0,     0.0,       6,    1.5000,
C:\LIFT\DATA\MURIS_202105131611_MaBe3412_590_caloxy_data.csv                                                                   ,2021/05/13, 16:24:36,    1620933876329, -318.38,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.921,  1843.850,   2483.090,    639.240,  0.2574,  0.3467,   530.26,  0.3150,     0.000,    3.520,  0.000,      679,  0.000,      679,  0.000,     1363, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.623,   234.47,   849.50,  0.723,       2.00,    0.000,    600.00,   43.26,   0.000,     0.0,     0.0,     0.0,     0.0,     387,    2.0000,
C:\LIFT\DATA\MURIS_202105131611_MaBe3412_590_caloxy_data.csv                                                                   ,2021/05/13, 16:27:38,    1620934057867, -317.13,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.864,  1706.450,   2538.220,    831.770,  0.3277,  0.4874,   428.24,  0.4030,     0.000,    7.232,  0.000,      588,  0.000,      759,  0.000,     3680, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.051,   229.97,   701.57,  0.781,       2.00,    0.000,    600.00,   61.10,   0.000,     0.0,     0.0,     0.0,     0.0,     509,    1.4190,
