----,
DateTime:,      2021/05/13, 16:38:05, 1620934685307,
PIF:,           -291.54,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #10000,
Gain:,          10,    2, 
S/N Ratio:,   148.66,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    176.170,     141.479,      0.000,
    2,        3.3,    182.846,     143.053,      0.000,
    3,        5.8,    184.036,     144.560,      0.000,
    4,        8.3,    184.308,     144.184,      0.000,
    5,       10.8,    184.400,     145.305,      0.000,
    6,       13.3,    184.099,     145.651,      0.000,
    7,       15.8,    184.268,     146.278,      0.000,
    8,       18.3,    184.271,     146.438,      0.000,
    9,       20.8,    183.900,     147.441,      0.000,
   10,       23.3,    183.895,     148.097,      0.000,
   11,       25.8,    183.964,     148.585,      0.000,
   12,       28.3,    183.788,     149.163,      0.000,
   13,       30.8,    183.646,     149.932,      0.000,
   14,       33.3,    183.665,     150.297,      0.000,
   15,       35.8,    183.776,     150.913,      0.000,
   16,       38.3,    183.935,     151.490,      0.000,
   17,       40.8,    184.094,     151.359,      0.000,
   18,       43.3,    183.463,     152.806,      0.000,
   19,       45.8,    183.948,     152.349,      0.000,
   20,       48.3,    183.406,     153.999,      0.000,
   21,       50.8,    183.874,     153.987,      0.000,
   22,       53.3,    183.551,     154.640,      0.000,
   23,       55.8,    183.557,     155.017,      0.000,
   24,       58.3,    183.983,     155.255,      0.000,
   25,       60.8,    183.752,     155.886,      0.000,
   26,       63.3,    183.865,     156.225,      0.000,
   27,       65.8,    183.951,     156.804,      0.000,
   28,       68.3,    183.539,     157.647,      0.000,
   29,       70.8,    183.493,     158.394,      0.000,
   30,       73.3,    183.577,     158.322,      0.000,
   31,       75.8,    183.876,     158.609,      0.000,
   32,       78.3,    183.679,     159.214,      0.000,
