----,
DateTime:,      2021/05/12, 14:41:23, 1620841283521,
PIF:,          -1532.13,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #00001,
Gain:,           2,    2, 
S/N Ratio:,    61.76,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,     90.201,    2445.186,      0.000,
    2,        3.3,     90.071,    2468.907,      0.000,
    3,        5.8,     88.873,    2492.982,      0.000,
    4,        8.3,     88.759,    2501.252,      0.000,
    5,       10.8,     87.804,    2541.544,      0.000,
    6,       13.3,     87.166,    2575.627,      0.000,
    7,       15.8,     87.704,    2572.955,      0.000,
    8,       18.3,     87.632,    2591.054,      0.000,
    9,       20.8,     87.011,    2622.744,      0.000,
   10,       23.3,     86.323,    2655.807,      0.000,
   11,       25.8,     86.443,    2663.105,      0.000,
   12,       28.3,     85.860,    2695.768,      0.000,
   13,       30.8,     86.075,    2704.115,      0.000,
   14,       33.3,     85.063,    2756.881,      0.000,
   15,       35.8,     84.788,    2785.881,      0.000,
   16,       38.3,     85.046,    2792.689,      0.000,
   17,       40.8,     85.689,    2791.013,      0.000,
   18,       43.3,     84.610,    2843.722,      0.000,
   19,       45.8,     84.851,    2853.326,      0.000,
   20,       48.3,     84.238,    2890.705,      0.000,
   21,       50.8,     84.460,    2899.691,      0.000,
   22,       53.3,     84.041,    2934.372,      0.000,
   23,       55.8,     83.693,    2962.118,      0.000,
   24,       58.3,     83.551,    2984.490,      0.000,
   25,       60.8,     83.275,    3015.993,      0.000,
   26,       63.3,     82.580,    3057.129,      0.000,
   27,       65.8,     83.577,    3038.622,      0.000,
   28,       68.3,     82.341,    3101.218,      0.000,
   29,       70.8,     82.585,    3106.588,      0.000,
   30,       73.3,     82.811,    3118.028,      0.000,
   31,       75.8,     83.197,    3118.594,      0.000,
