----,
DateTime:,      2021/06/09, 13:28:22, 1623256102076,
PIF:,           -597.65,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #10000,
Gain:,           5,    2, 
S/N Ratio:,   335.13,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    176.776,     207.853,      0.000,
    2,        3.3,    182.190,     209.601,      0.000,
    3,        5.8,    184.515,     211.275,      0.000,
    4,        8.3,    184.215,     212.814,      0.000,
    5,       10.8,    184.305,     213.795,      0.000,
    6,       13.3,    184.101,     215.444,      0.000,
    7,       15.8,    184.078,     216.340,      0.000,
    8,       18.3,    184.269,     218.177,      0.000,
    9,       20.8,    184.184,     220.016,      0.000,
   10,       23.3,    184.178,     220.458,      0.000,
   11,       25.8,    183.963,     222.781,      0.000,
   12,       28.3,    183.788,     224.299,      0.000,
   13,       30.8,    183.929,     225.758,      0.000,
   14,       33.3,    183.571,     227.941,      0.000,
   15,       35.8,    183.870,     228.985,      0.000,
   16,       38.3,    183.838,     230.765,      0.000,
   17,       40.8,    183.901,     231.991,      0.000,
   18,       43.3,    183.935,     233.579,      0.000,
   19,       45.8,    183.944,     235.090,      0.000,
   20,       48.3,    184.160,     236.334,      0.000,
   21,       50.8,    183.777,     237.916,      0.000,
   22,       53.3,    183.550,     240.062,      0.000,
   23,       55.8,    183.650,     242.001,      0.000,
   24,       58.3,    184.072,     242.968,      0.000,
   25,       60.8,    183.842,     245.338,      0.000,
   26,       63.3,    184.331,     245.989,      0.000,
   27,       65.8,    184.134,     247.990,      0.000,
   28,       68.3,    184.008,     249.030,      0.000,
   29,       70.8,    184.150,     251.009,      0.000,
   30,       73.3,    183.951,     253.021,      0.000,
   31,       75.8,    184.153,     254.481,      0.000,
   32,       78.3,    183.487,     256.713,      0.000,
