----,
DateTime:,      2021/06/09, 16:10:25, 1623265824948,
PIF:,           -609.09,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #00001,
Gain:,           5,    2, 
S/N Ratio:,    47.74,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,     89.565,    1146.991,      0.000,
    2,        3.3,     89.611,    1156.515,      0.000,
    3,        5.8,     88.782,    1166.124,      0.000,
    4,        8.3,     88.842,    1168.932,      0.000,
    5,       10.8,     87.911,    1189.968,      0.000,
    6,       13.3,     88.686,    1188.808,      0.000,
    7,       15.8,     87.992,    1204.771,      0.000,
    8,       18.3,     88.099,    1209.212,      0.000,
    9,       20.8,     87.492,    1222.401,      0.000,
   10,       23.3,     86.993,    1235.389,      0.000,
   11,       25.8,     86.586,    1245.357,      0.000,
   12,       28.3,     86.016,    1258.732,      0.000,
   13,       30.8,     85.875,    1267.777,      0.000,
   14,       33.3,     85.941,    1274.480,      0.000,
   15,       35.8,     85.674,    1284.534,      0.000,
   16,       38.3,     85.222,    1298.848,      0.000,
   17,       40.8,     85.146,    1303.999,      0.000,
   18,       43.3,     84.619,    1317.562,      0.000,
   19,       45.8,     85.388,    1311.778,      0.000,
   20,       48.3,     84.434,    1330.392,      0.000,
   21,       50.8,     84.298,    1335.870,      0.000,
   22,       53.3,     84.956,    1331.175,      0.000,
   23,       55.8,     84.792,    1339.407,      0.000,
   24,       58.3,     84.298,    1349.861,      0.000,
   25,       60.8,     84.386,    1353.672,      0.000,
   26,       63.3,     83.882,    1366.328,      0.000,
   27,       65.8,     83.793,    1371.358,      0.000,
   28,       68.3,     83.652,    1376.307,      0.000,
   29,       70.8,     84.072,    1372.995,      0.000,
   30,       73.3,     84.296,    1373.622,      0.000,
   31,       75.8,     83.424,    1390.854,      0.000,
