Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202106101415_MaBe3434_445_caloxy_data.csv                                                                   ,2021/06/10, 14:18:22,    1623345502214, -600.48,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.936,   375.650,    520.010,    144.360,  0.2776,  0.3843,    55.23,  0.4620,     0.000,    3.473,  0.000,     1637,  0.000,     3641,  0.000,     6427, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.395,   457.27,   180.47,  0.727,       4.79,    0.000,    600.00,  141.74,   0.116,     0.0,     0.0,     0.0,     0.0,    1851,    1.2810,
C:\LIFT\DATA\MURIS_202106101415_MaBe3434_445_caloxy_data.csv                                                                   ,2021/06/10, 14:18:25,    1623345504932, -601.25,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.347,   383.240,    499.580,    116.340,  0.2329,  0.3036,    48.84,  0.3210,     0.000,    2.399,  0.000,      150,  0.000,      878,  0.000,     4551, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.318,  1168.18,   371.63,  0.813,       3.62,    0.000,    600.00,  115.92,   0.325,     0.0,     0.0,     0.0,     0.0,    1897,    1.0050,
C:\LIFT\DATA\MURIS_202106101415_MaBe3434_445_caloxy_data.csv                                                                   ,2021/06/10, 14:21:27,    1623345686818, -561.43,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.139,   390.010,    521.850,    131.840,  0.2526,  0.3380,    74.71,  0.5650,     0.000,    7.486,  0.000,      150,  0.000,      429,  0.000,     2892, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.491,  2936.45,  1441.97,  1.434,       4.65,    0.000,    600.00,  160.32,   0.274,     0.0,     0.0,     0.0,     0.0,     386,    1.0680,
C:\LIFT\DATA\MURIS_202106101415_MaBe3434_445_caloxy_data.csv                                                                   ,2021/06/10, 14:21:29,    1623345689562, -601.44,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.595,   392.650,    540.940,    148.290,  0.2741,  0.3777,    66.11,  0.3500,     0.000,    1.322,  0.000,      155,  0.000,     1145,  0.000,     2886, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.443,   710.06,   314.79,  0.850,       2.32,    0.000,    600.00,  192.41,   0.461,     0.0,     0.0,     0.0,     0.0,    2183,    1.0310,
C:\LIFT\DATA\MURIS_202106101415_MaBe3434_445_caloxy_data.csv                                                                   ,2021/06/10, 14:24:31,    1623345871322, -518.46,     0.0000,      0.0000,  NO DATA,    '10000,   320.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.588,   396.680,    536.120,    139.440,  0.2601,  0.3515,    71.07,  0.5410,     0.000,    9.885,  0.000,      150,  0.000,      488,  0.000,     4853, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.470,  2483.68,  1167.55,  1.639,       4.19,    0.000,    600.00,  147.43,   0.238,     0.0,     0.0,     0.0,     0.0,     491,    1.0480,
C:\LIFT\DATA\MURIS_202106101415_MaBe3434_445_caloxy_data.csv                                                                   ,2021/06/10, 14:24:34,    1623345874527, -600.61,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.361,   383.380,    520.700,    137.320,  0.2637,  0.3582,    63.40,  0.3200,     0.000,    1.448,  0.000,      160,  0.000,     1081,  0.000,     2887, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.419,   800.30,   335.25,  0.952,       2.00,    0.000,    600.00,  173.61,   0.468,     0.0,     0.0,     0.0,     0.0,    1994,    1.0210,
C:\LIFT\DATA\MURIS_202106101415_MaBe3434_445_caloxy_data.csv                                                                   ,2021/06/10, 14:27:36,    1623346056234, -418.28,     0.0000,      0.0000,  NO DATA,    '10000,   640.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.309,   421.630,    549.540,    127.910,  0.2328,  0.3034,    68.83,  0.3920,     0.000,    8.541,  0.000,      419,  0.000,      445,  0.000,     6239, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.449,  1685.05,   757.14,  1.405,       4.86,    0.000,    600.00,   99.54,   0.181,     0.0,     0.0,     0.0,     0.0,     730,    1.0900,
C:\LIFT\DATA\MURIS_202106101415_MaBe3434_445_caloxy_data.csv                                                                   ,2021/06/10, 14:27:39,    1623346059487, -600.10,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.022,   376.200,    507.390,    131.190,  0.2586,  0.3487,    63.82,  0.3150,     0.000,    1.699,  0.000,      171,  0.000,      940,  0.000,     3021, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.419,   884.11,   370.84,  0.831,       2.30,    0.000,    600.00,  193.71,   0.411,     0.0,     0.0,     0.0,     0.0,    1778,    1.0050,
C:\LIFT\DATA\MURIS_202106101415_MaBe3434_445_caloxy_data.csv                                                                   ,2021/06/10, 14:30:41,    1623346241166, -600.54,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.363,   366.990,    529.670,    162.680,  0.3071,  0.4433,    56.41,  0.5010,     0.000,    1.801,  0.000,     1619,  0.000,     3327,  0.000,     3327, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.410,   461.95,   189.53,  0.662,       4.41,    0.000,    600.00,  135.54,   0.140,     0.0,     0.0,     0.0,     0.0,    1847,    1.2730,
