----,
DateTime:,      2021/06/11, 11:38:04, 1623422283796,
PIF:,           -616.76,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #00001,
Gain:,           5,    2, 
S/N Ratio:,    34.52,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,
    1,        0.8,     89.135,    1720.193,
    2,        3.3,     90.093,    1730.284,
    3,        5.8,     88.154,    1740.487,
    4,        8.3,     88.221,    1738.927,
    5,       10.8,     87.243,    1760.479,
    6,       13.3,     88.044,    1748.116,
    7,       15.8,     87.317,    1764.262,
    8,       18.3,     87.423,    1763.723,
    9,       20.8,     86.426,    1785.690,
   10,       23.3,     86.819,    1775.771,
   11,       25.8,     86.210,    1788.543,
   12,       28.3,     86.344,    1787.380,
   13,       30.8,     84.918,    1819.750,
   14,       33.3,     85.898,    1803.644,
   15,       35.8,     85.069,    1826.647,
   16,       38.3,     84.964,    1831.245,
   17,       40.8,     85.249,    1828.889,
   18,       43.3,     84.519,    1847.286,
   19,       45.8,     85.314,    1832.889,
   20,       48.3,     84.137,    1859.702,
   21,       50.8,     84.362,    1860.673,
   22,       53.3,     83.381,    1885.443,
   23,       55.8,     83.763,    1881.372,
   24,       58.3,     83.988,    1879.686,
   25,       60.8,     83.890,    1885.915,
   26,       63.3,     83.552,    1896.662,
   27,       65.8,     83.272,    1906.172,
   28,       68.3,     82.754,    1922.935,
   29,       70.8,     83.001,    1921.541,
   30,       73.3,     82.861,    1927.942,
   31,       75.8,     82.512,    1938.270,
   32,       78.3,     82.332,    1945.415,
   33,       80.8,     82.463,    1947.656,
   34,       83.3,     81.143,    1982.548,
   35,       85.8,     81.811,    1971.018,
   36,       88.3,     81.975,    1968.764,
   37,       90.8,     81.074,    1995.084,
   38,       93.3,     80.540,    2010.557,
   39,       95.8,     81.334,    1994.360,
   40,       98.3,     81.628,    1990.136,
   41,      100.8,     80.268,    2026.836,
   42,      103.3,     80.963,    2011.428,
   43,      105.8,     80.080,    2037.330,
   44,      108.3,     79.890,    2045.687,
   45,      110.8,     81.040,    2016.913,
   46,      113.3,     80.515,    2033.288,
   47,      115.8,     80.497,    2034.975,
   48,      118.3,     80.605,    2033.501,
   49,      120.8,     79.872,    2054.919,
   50,      123.3,     80.190,    2049.521,
   51,      125.8,     80.298,    2048.240,
   52,      128.3,     79.533,    2070.224,
   53,      130.8,     80.611,    2043.276,
   54,      133.3,     79.870,    2065.730,
   55,      135.8,     79.902,    2065.152,
   56,      138.3,     79.985,    2066.008,
   57,      140.8,     79.782,    2071.516,
   58,      143.3,     78.645,    2100.187,
   59,      145.8,     79.079,    2091.199,
   60,      148.3,     79.000,    2095.330,
   61,      150.8,     78.634,    2106.351,
   62,      153.3,     79.317,    2088.452,
   63,      155.8,     78.085,    2121.924,
   64,      158.3,     78.528,    2109.962,
   65,      160.8,     77.954,    2127.529,
   66,      163.3,     78.526,    2113.326,
   67,      165.8,     78.432,    2115.347,
   68,      168.3,     77.935,    2129.331,
   69,      170.8,     78.553,    2112.087,
   70,      173.3,     78.096,    2125.464,
   71,      175.8,     76.997,    2156.331,
   72,      178.3,     76.993,    2156.185,
   73,      180.8,     78.190,    2123.668,
   74,      183.3,     78.245,    2122.187,
   75,      185.8,     76.983,    2156.200,
   76,      188.3,     79.077,    2101.133,
   77,      190.8,     76.486,    2170.201,
   78,      193.3,     77.242,    2148.950,
   79,      195.8,     77.671,    2136.574,
   80,      198.3,     77.158,    2150.015,
   81,      200.8,     76.754,    2161.859,
   82,      203.3,     76.802,    2159.701,
   83,      205.8,     76.898,    2156.500,
   84,      208.3,     76.819,    2156.887,
   85,      210.8,     77.213,    2147.688,
   86,      213.3,     76.672,    2162.334,
   87,      215.8,     76.777,    2158.341,
   88,      218.3,     76.794,    2157.075,
   89,      220.8,     77.398,    2140.506,
   90,      223.3,     76.832,    2154.700,
   91,      225.8,     77.025,    2148.265,
   92,      228.3,     76.652,    2158.192,
   93,      230.8,     75.915,    2177.576,
   94,      233.3,     75.545,    2186.370,
   95,      235.8,     75.800,    2180.343,
   96,      238.3,     75.816,    2176.464,
   97,      240.8,     75.061,    2199.144,
   98,      243.3,     75.698,    2179.599,
   99,      245.8,     75.913,    2172.620,
  100,      250.8,     76.621,    2173.179,
  101,      273.3,     78.969,    2174.920,
