----,,,,,,
DateTime:,      2021/06/11, 15:18:27,1.62344E+12,,,
PIF:,-603.9,,,,,
PARs:,0,0,0,0,0,0
Light:,0,0,0,0,0,0
Lamps:,    #10000,,,,,
Gain:,5,2, ,,,
S/N Ratio:,269.93,,,,,
Position:,0,0,   NoData,,,
Cycles:,1,,,,,
1,99,100,227,,,
DataPt,  Time(us),         EX,         EM,       Fit,,
==========,==========,==========,==========,=========,,
0,0,0,0,0,,
1,0.8,176.998,361.907,0,,
2,3.3,182.856,365.508,0,,
3,5.8,184.236,368.967,0,,
4,8.3,184.318,367.175,0,,
5,10.8,184.315,368.049,0,,
6,13.3,184.398,370.162,0,,
7,15.8,184.28,371.81,0,,
8,18.3,183.804,374.513,0,,
9,20.8,184.102,375.535,0,,
10,23.3,184.098,377.609,0,,
11,25.8,184.071,379.51,0,,
12,28.3,184.087,380.999,0,,
13,30.8,184.04,383.053,0,,
14,33.3,183.868,384.716,0,,
15,35.8,183.98,387.091,0,,
16,38.3,183.757,389.194,0,,
17,40.8,183.917,390.051,0,,
18,43.3,184.144,391.525,0,,
19,45.8,183.961,393.871,0,,
20,48.3,184.469,394.955,0,,
21,50.8,184.08,397.203,0,,
22,53.3,184.137,398.817,0,,
23,55.8,184.238,401.42,0,,
24,58.3,183.902,403.677,0,,
25,60.8,183.957,405.84,0,,
26,63.3,183.879,407.207,0,,
27,65.8,183.871,409.511,0,,
28,68.3,184.125,411.008,0,,
29,70.8,183.41,414.137,0,,
30,73.3,183.686,415.367,0,,
31,75.8,183.413,417.512,0,,
32,78.3,183.884,419.379,0,,
33,80.8,183.094,422.281,0,,
34,83.3,183.585,422.893,0,,
35,85.8,183.529,424.985,0,,
36,88.3,183.81,427.163,0,,
37,90.8,183.596,430.057,0,,
38,93.3,183.681,431.056,0,,
39,95.8,183.959,432.906,0,,
40,98.3,183.834,434.831,0,,
41,100.8,183.921,436.692,0,,
42,103.3,183.719,439.133,0,,
43,105.8,183.697,441.362,0,,
44,108.3,183.573,443.731,0,,
45,110.8,183.56,446.051,0,,
46,113.3,183.757,446.443,0,,
47,115.8,183.961,447.906,0,,
48,118.3,183.615,451.362,0,,
49,120.8,183.934,452.538,0,,
50,123.3,183.716,455.905,0,,
51,125.8,183.615,457.789,0,,
52,128.3,183.579,459.95,0,,
53,130.8,183.812,460.89,0,,
54,133.3,183.574,463.338,0,,
55,135.8,184.359,463.643,0,,
56,138.3,183.785,467.051,0,,
57,140.8,183.835,469.317,0,,
58,143.3,183.751,470.947,0,,
59,145.8,183.929,472.123,0,,
60,148.3,183.71,474.863,0,,
61,150.8,184.208,476.294,0,,
62,153.3,183.516,479.832,0,,
63,155.8,184.276,479.699,0,,
64,158.3,183.884,482.354,0,,
65,160.8,184.036,484.236,0,,
66,163.3,183.93,486.799,0,,
67,165.8,184.011,488.432,0,,
68,168.3,183.928,490.501,0,,
69,170.8,184.515,491.219,0,,
70,173.3,184.305,493.189,0,,
71,175.8,184.396,495.004,0,,
72,178.3,183.813,498.426,0,,
73,180.8,184.381,498.408,0,,
74,183.3,183.973,501.58,0,,
75,185.8,184.051,503.322,0,,
76,188.3,184.077,505.316,0,,
77,190.8,184.032,506.742,0,,
78,193.3,184.647,507.331,0,,
79,195.8,184.129,509.953,0,,
80,198.3,184.045,512.685,0,,
81,200.8,183.953,513.809,0,,
82,203.3,184.159,515.842,0,,
83,205.8,184.074,517.493,0,,
84,208.3,184.394,517.789,0,,
85,210.8,183.972,521.15,0,,
86,213.3,184.073,522.602,0,,
87,215.8,184.167,524.4,0,,
88,218.3,184.239,525.387,0,,
89,220.8,183.76,528.826,0,,
90,223.3,183.877,529.033,0,,
91,225.8,183.776,531.608,0,,
92,228.3,183.942,532.759,0,,
93,230.8,184.362,533.933,0,,
94,233.3,183.842,536.641,0,,
95,235.8,183.527,539.306,0,,
96,238.3,183.661,540.326,0,,
97,240.8,183.734,541.636,0,,
98,243.3,183.443,543.476,0,,
99,245.8,183.825,544.088,0,,
100,250.8,182.552,545.034,0,,
101,273.3,182.24,544.429,0,,
102,295.8,181.871,540.388,0,,
103,318.3,181.575,536.085,0,,
104,343.3,182.358,527.732,0,,
105,368.3,182.216,523.519,0,,
