----,
DateTime:,      2021/07/09, 12:05:24, 1625843124248,
PIF:,           -299.37,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #00001,
Gain:,          10,    2, 
S/N Ratio:,    53.26,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,     89.567,     676.682,      0.000,
    2,        3.3,     89.264,     682.671,      0.000,
    3,        5.8,     88.787,     688.713,      0.000,
    4,        8.3,     87.806,     693.669,      0.000,
    5,       10.8,     88.095,     695.594,      0.000,
    6,       13.3,     87.997,     700.122,      0.000,
    7,       15.8,     87.830,     704.640,      0.000,
    8,       18.3,     87.413,     711.091,      0.000,
    9,       20.8,     86.809,     718.224,      0.000,
   10,       23.3,     86.488,     722.742,      0.000,
   11,       25.8,     85.733,     731.440,      0.000,
   12,       28.3,     85.691,     734.363,      0.000,
   13,       30.8,     85.026,     742.936,      0.000,
   14,       33.3,     85.618,     741.067,      0.000,
   15,       35.8,     85.527,     744.656,      0.000,
   16,       38.3,     84.727,     755.702,      0.000,
   17,       40.8,     85.356,     752.711,      0.000,
   18,       43.3,     84.304,     764.007,      0.000,
   19,       45.8,     84.540,     764.591,      0.000,
   20,       48.3,     83.767,     773.434,      0.000,
   21,       50.8,     83.632,     776.963,      0.000,
   22,       53.3,     83.932,     776.806,      0.000,
   23,       55.8,     83.415,     783.894,      0.000,
   24,       58.3,     83.278,     788.189,      0.000,
   25,       60.8,     83.541,     787.616,      0.000,
   26,       63.3,     83.572,     788.881,      0.000,
   27,       65.8,     83.129,     795.490,      0.000,
   28,       68.3,     82.634,     802.319,      0.000,
   29,       70.8,     82.874,     801.445,      0.000,
   30,       73.3,     82.562,     806.039,      0.000,
   31,       75.8,     82.584,     808.371,      0.000,
   32,       78.3,     82.590,     809.285,      0.000,
