----,
DateTime:,      2021/07/09, 12:26:02, 1625844362269,
PIF:,           -291.30,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #10000,
Gain:,          10,    2, 
S/N Ratio:,   135.72,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    176.524,     122.479,      0.000,
    2,        3.3,    182.687,     123.770,      0.000,
    3,        5.8,    184.637,     125.004,      0.000,
    4,        8.3,    184.432,     125.740,      0.000,
    5,       10.8,    184.048,     126.002,      0.000,
    6,       13.3,    184.318,     126.523,      0.000,
    7,       15.8,    184.011,     127.223,      0.000,
    8,       18.3,    184.108,     127.319,      0.000,
    9,       20.8,    184.400,     127.822,      0.000,
   10,       23.3,    184.205,     128.663,      0.000,
   11,       25.8,    184.462,     128.647,      0.000,
   12,       28.3,    184.287,     128.986,      0.000,
   13,       30.8,    183.862,     129.991,      0.000,
   14,       33.3,    183.976,     130.400,      0.000,
   15,       35.8,    183.803,     130.849,      0.000,
   16,       38.3,    183.960,     131.444,      0.000,
   17,       40.8,    183.646,     132.214,      0.000,
   18,       43.3,    184.151,     132.394,      0.000,
   19,       45.8,    183.689,     132.945,      0.000,
   20,       48.3,    183.717,     133.414,      0.000,
   21,       50.8,    184.275,     133.444,      0.000,
   22,       53.3,    183.954,     133.894,      0.000,
   23,       55.8,    184.054,     134.583,      0.000,
   24,       58.3,    184.193,     135.295,      0.000,
   25,       60.8,    183.964,     135.736,      0.000,
   26,       63.3,    184.641,     136.104,      0.000,
   27,       65.8,    184.162,     136.404,      0.000,
   28,       68.3,    184.506,     136.854,      0.000,
   29,       70.8,    184.084,     137.766,      0.000,
   30,       73.3,    184.261,     137.851,      0.000,
   31,       75.8,    183.804,     138.737,      0.000,
   32,       78.3,    183.703,     139.195,      0.000,
