----,
DateTime:,      2021/07/09, 14:14:22, 1625850862238,
PIF:,          -1498.86,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #10000,
Gain:,           2,    2, 
S/N Ratio:,   102.74,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    176.001,     346.890,      0.000,
    2,        3.3,    183.029,     349.662,      0.000,
    3,        5.8,    184.222,     352.310,      0.000,
    4,        8.3,    184.492,     349.898,      0.000,
    5,       10.8,    184.772,     348.283,      0.000,
    6,       13.3,    183.998,     351.924,      0.000,
    7,       15.8,    184.165,     351.604,      0.000,
    8,       18.3,    184.168,     352.413,      0.000,
    9,       20.8,    183.988,     352.758,      0.000,
   10,       23.3,    183.982,     354.400,      0.000,
   11,       25.8,    184.430,     354.082,      0.000,
   12,       28.3,    183.591,     356.244,      0.000,
   13,       30.8,    184.302,     356.769,      0.000,
   14,       33.3,    183.847,     356.835,      0.000,
   15,       35.8,    183.958,     357.164,      0.000,
   16,       38.3,    183.642,     359.956,      0.000,
   17,       40.8,    183.705,     361.737,      0.000,
   18,       43.3,    183.551,     362.042,      0.000,
   19,       45.8,    184.033,     362.181,      0.000,
   20,       48.3,    183.966,     364.214,      0.000,
   21,       50.8,    184.149,     364.125,      0.000,
   22,       53.3,    183.827,     366.667,      0.000,
   23,       55.8,    184.021,     366.279,      0.000,
   24,       58.3,    184.161,     366.815,      0.000,
   25,       60.8,    183.837,     370.454,      0.000,
   26,       63.3,    183.855,     369.602,      0.000,
   27,       65.8,    183.373,     372.754,      0.000,
   28,       68.3,    184.192,     371.368,      0.000,
   29,       70.8,    184.241,     371.270,      0.000,
   30,       73.3,    183.568,     374.810,      0.000,
   31,       75.8,    183.676,     375.406,      0.000,
   32,       78.3,    183.669,     376.509,      0.000,
