----,
DateTime:        , 2021/12/10, 08:47:48, 1639140468715,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -609.52,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,              5,       5, 
Sio:,    155.19,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1305.119,
    1,        0.8,     90.592,    1334.069,   1339.116,
    2,        3.3,     91.049,    1347.041,   1347.630,
    3,        5.8,     90.287,    1360.057,   1361.610,
    4,        8.3,     89.525,    1382.127,   1378.550,
    5,       10.8,     89.754,    1391.533,   1396.894,
    6,       13.3,     89.221,    1414.194,   1415.865,
    7,       15.8,     88.992,    1431.084,   1434.884,
    8,       18.3,     88.231,    1455.451,   1453.688,
    9,       20.8,     88.307,    1464.387,   1471.994,
   10,       23.3,     87.622,    1485.886,   1489.819,
   11,       25.8,     86.936,    1509.794,   1507.074,
   12,       28.3,     86.708,    1522.999,   1523.675,
   13,       30.8,     86.403,    1540.636,   1539.660,
   14,       33.3,     86.098,    1557.470,   1555.047,
   15,       35.8,     86.022,    1570.939,   1569.834,
   16,       38.3,     85.718,    1587.955,   1584.090,
   17,       40.8,     85.184,    1606.345,   1597.851,
   18,       43.3,     84.880,    1621.300,   1611.082,
   19,       45.8,     84.727,    1632.948,   1623.791,
   20,       48.3,     84.880,    1638.029,   1635.977,
   21,       50.8,     84.499,    1650.381,   1647.770,
   22,       53.3,     84.042,    1668.874,   1659.169,
   23,       55.8,     83.890,    1676.434,   1670.122,
   24,       58.3,     83.966,    1682.535,   1680.628,
   25,       60.8,     83.357,    1700.592,   1690.838,
   26,       63.3,     83.052,    1712.127,   1700.668,
   27,       65.8,     82.976,    1718.038,   1710.100,
