----,
DateTime:        , 2021/12/10, 09:35:44, 1639143344787,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -614.02,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,              5,       5, 
Sio:,    197.87,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1284.835,
    1,        0.8,     90.026,    1302.153,   1297.512,
    2,        3.3,     91.385,    1313.218,   1306.653,
    3,        5.8,     90.169,    1324.264,   1318.909,
    4,        8.3,     89.811,    1335.105,   1333.261,
    5,       10.8,     89.453,    1349.609,   1349.002,
    6,       13.3,     89.382,    1362.101,   1365.649,
    7,       15.8,     88.953,    1378.790,   1382.849,
    8,       18.3,     88.309,    1399.259,   1400.336,
    9,       20.8,     87.951,    1413.135,   1417.933,
   10,       23.3,     87.379,    1432.231,   1435.508,
   11,       25.8,     86.950,    1448.500,   1452.971,
   12,       28.3,     87.022,    1458.571,   1470.277,
   13,       30.8,     86.521,    1479.263,   1487.387,
   14,       33.3,     86.449,    1492.055,   1504.271,
   15,       35.8,     86.163,    1510.240,   1520.913,
   16,       38.3,     86.092,    1524.039,   1537.300,
   17,       40.8,     85.591,    1544.170,   1553.417,
   18,       43.3,     85.019,    1567.266,   1569.241,
   19,       45.8,     84.804,    1582.552,   1584.760,
   20,       48.3,     84.518,    1595.954,   1599.975,
   21,       50.8,     84.017,    1618.558,   1614.881,
   22,       53.3,     83.803,    1633.919,   1629.473,
   23,       55.8,     83.946,    1643.523,   1643.759,
   24,       58.3,     83.731,    1656.812,   1657.757,
   25,       60.8,     83.159,    1679.756,   1671.461,
   26,       63.3,     82.945,    1693.264,   1684.856,
   27,       65.8,     82.945,    1703.150,   1697.947,
