Source DataFile                                                   ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202112100932_MaBe3729_590_caloxy_noTC_data.csv , 2021/12/10, 09:35:44,    1639143344787,--Not Acquired--     ,--Not Acquired--     , -614.02,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.082,  1292.990,   2572.120,   1279.130,  0.4973,  0.9893,   271.46,  0.3510,     0.000,    0.000,  0.605,      499,  0.363,     3138,  0.032,   270968,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.038,    49.78,   101.44,  0.498,       7.08,    0.057,    600.00,  197.87,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100932_MaBe3729_590_caloxy_noTC_data.csv , 2021/12/10, 09:35:47,    1639143346830,--Not Acquired--     ,--Not Acquired--     , -610.97,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.461,  1351.720,   2321.190,    969.470,  0.4177,  0.7172,   291.22,  0.1900,     0.000,    0.000,  0.279,      150,  0.447,      750,  0.275,     3270,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.870,   429.18,   802.73,  0.502,       8.83,    0.021,    600.00,  177.64,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100932_MaBe3729_590_caloxy_noTC_data.csv , 2021/12/10, 09:38:47,    1639143527809,--Not Acquired--     ,--Not Acquired--     , -554.39,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   40.00,    0.00,      1.019,  1457.620,   2494.210,   1036.590,  0.4156,  0.7112,   272.09,  0.0000,     0.000,    0.000,  0.496,      307,  0.448,     1603,  0.055,     7331,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.639,   477.92,   783.11,  0.560,       7.34,    0.020,    600.00,  149.02,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100932_MaBe3729_590_caloxy_noTC_data.csv , 2021/12/10, 09:38:50,    1639143529822,--Not Acquired--     ,--Not Acquired--     , -613.06,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.904,  1377.170,   2536.750,   1159.580,  0.4571,  0.8420,   295.47,  0.0980,     0.000,    0.000,  0.336,      394,  0.274,      930,  0.390,     3208,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.841,   335.12,   617.01,  0.389,       9.76,    0.025,    600.00,  147.27,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100932_MaBe3729_590_caloxy_noTC_data.csv , 2021/12/10, 09:41:51,    1639143710837,--Not Acquired--     ,--Not Acquired--     , -491.16,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   80.00,    0.00,      0.920,  1575.870,   2693.720,   1117.850,  0.4150,  0.7094,   261.64,  0.0000,     0.000,    0.000,  0.555,      352,  0.401,     1671,  0.044,     7750,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.576,   527.07,   830.47,  0.645,       6.60,    0.032,    600.00,  164.59,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100932_MaBe3729_590_caloxy_noTC_data.csv , 2021/12/10, 09:41:52,    1639143712807,--Not Acquired--     ,--Not Acquired--     , -617.28,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.458,  1429.400,   2761.690,   1332.290,  0.4824,  0.9321,   306.66,  0.1250,     0.000,    0.000,  0.228,      150,  0.354,      688,  0.418,     3037,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.929,   339.67,   655.38,  0.746,       6.62,    0.015,    600.00,  182.75,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100932_MaBe3729_590_caloxy_noTC_data.csv , 2021/12/10, 09:44:54,    1639143893823,--Not Acquired--     ,--Not Acquired--     , -351.46,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,  160.00,    0.00,      1.236,  1715.510,   2636.990,    921.480,  0.3494,  0.5371,   263.32,  0.0000,     0.000,    0.000,  0.404,      299,  0.511,     1040,  0.085,     4543,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.586,   607.36,   963.13,  0.516,       5.41,    0.024,    600.00,  130.65,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100932_MaBe3729_590_caloxy_noTC_data.csv , 2021/12/10, 09:44:55,    1639143895808,--Not Acquired--     ,--Not Acquired--     , -615.83,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.477,  1395.780,   2785.470,   1389.690,  0.4989,  0.9956,   312.16,  0.1670,     0.000,    0.000,  0.519,      512,  0.472,     2701,  0.009,  9999999,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    4.128,    17.83,    73.62,  0.444,      10.23,    0.026,    600.00,  215.97,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\MURIS_202112100932_MaBe3729_590_caloxy_noTC_data.csv , 2021/12/10, 09:47:57,    1639144076977,--Not Acquired--     ,--Not Acquired--     , -614.67,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.489,  1268.890,   2565.110,   1296.220,  0.5053,  1.0215,   305.21,  0.3340,     0.000,    0.000,  0.583,      525,  0.391,     3166,  0.026,   323474,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.350,    42.90,   100.79,  0.744,       6.68,    0.040,    600.00,  173.08,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
