----,
DateTime:        , 2021/12/10, 09:55:38, 1639144538071,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -293.54,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,             10,       5, 
Sio:,    364.30,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    143.372,
    1,        0.8,    172.265,     141.732,    145.290,
    2,        3.3,    181.507,     145.531,    146.322,
    3,        5.8,    181.618,     149.134,    147.352,
    4,        8.3,    181.618,     150.511,    148.380,
    5,       10.8,    182.101,     150.386,    149.408,
    6,       13.3,    181.841,     151.866,    150.432,
    7,       15.8,    181.841,     152.526,    151.454,
    8,       18.3,    182.323,     153.219,    152.476,
    9,       20.8,    181.989,     154.435,    153.494,
   10,       23.3,    182.286,     155.225,    154.511,
   11,       25.8,    182.472,     156.164,    155.526,
   12,       28.3,    182.398,     156.666,    156.538,
   13,       30.8,    182.583,     157.328,    157.549,
   14,       33.3,    182.583,     158.807,    158.556,
   15,       35.8,    182.435,     159.758,    159.560,
   16,       38.3,    182.546,     160.318,    160.561,
   17,       40.8,    182.509,     161.666,    161.560,
   18,       43.3,    182.509,     162.597,    162.555,
   19,       45.8,    182.546,     163.222,    163.547,
   20,       48.3,    182.769,     164.226,    164.537,
   21,       50.8,    182.546,     165.468,    165.523,
   22,       53.3,    182.620,     166.441,    166.506,
   23,       55.8,    182.657,     167.502,    167.486,
   24,       58.3,    182.620,     168.467,    168.462,
   25,       60.8,    182.620,     169.288,    169.435,
   26,       63.3,    182.732,     169.896,    170.405,
   27,       65.8,    182.435,     170.721,    171.370,
   28,       68.3,    182.583,     171.897,    172.332,
   29,       70.8,    182.732,     172.906,    173.291,
