----,
DateTime:        , 2021/12/10, 11:03:36, 1639148616187,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -297.05,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,             10,       5, 
Sio:,    165.07,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    606.080,
    1,        0.8,     89.939,     619.212,    625.707,
    2,        3.3,     91.167,     629.479,    629.936,
    3,        5.8,     90.246,     639.711,    637.485,
    4,        8.3,     89.862,     646.672,    646.775,
    5,       10.8,     89.478,     655.592,    656.905,
    6,       13.3,     89.631,     662.948,    667.310,
    7,       15.8,     88.864,     677.115,    677.755,
    8,       18.3,     88.327,     688.480,    688.009,
    9,       20.8,     88.403,     695.121,    697.925,
   10,       23.3,     87.329,     709.744,    707.560,
   11,       25.8,     87.098,     716.902,    716.781,
   12,       28.3,     86.945,     724.379,    725.598,
   13,       30.8,     86.561,     734.869,    734.050,
   14,       33.3,     86.331,     742.389,    742.129,
   15,       35.8,     86.101,     751.111,    749.854,
   16,       38.3,     85.717,     759.957,    757.257,
   17,       40.8,     85.563,     765.528,    764.322,
   18,       43.3,     85.103,     774.724,    771.104,
   19,       45.8,     84.872,     780.360,    777.579,
   20,       48.3,     84.182,     790.209,    783.815,
   21,       50.8,     84.105,     794.616,    789.736,
   22,       53.3,     84.182,     797.337,    795.362,
   23,       55.8,     83.798,     804.569,    800.778,
   24,       58.3,     83.184,     812.792,    806.006,
   25,       60.8,     83.260,     814.925,    810.956,
   26,       63.3,     82.723,     823.120,    815.737,
   27,       65.8,     83.107,     821.364,    820.229,
   28,       68.3,     82.570,     828.647,    824.599,
   29,       70.8,     82.723,     828.801,    828.739,
