----,
DateTime:        , 2021/12/13, 12:14:33, 1639412073266,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -313.99,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,             10,       2, 
Sio:,     70.31,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1303.431,
    1,        0.8,     91.267,    1328.384,   1319.624,
    2,        3.3,     91.626,    1347.143,   1338.473,
    3,        5.8,     90.730,    1366.013,   1359.807,
    4,        8.3,     90.013,    1387.666,   1382.481,
    5,       10.8,     89.475,    1411.649,   1405.811,
    6,       13.3,     89.834,    1423.272,   1429.504,
    7,       15.8,     90.192,    1433.028,   1453.338,
    8,       18.3,     88.759,    1471.043,   1476.906,
    9,       20.8,     88.400,    1490.355,   1500.192,
   10,       23.3,     88.042,    1509.483,   1523.136,
   11,       25.8,     88.221,    1521.607,   1545.772,
   12,       28.3,     86.071,    1576.000,   1567.783,
   13,       30.8,     86.250,    1589.190,   1589.369,
   14,       33.3,     86.609,    1600.742,   1610.591,
   15,       35.8,     86.429,    1620.374,   1631.406,
   16,       38.3,     86.967,    1626.802,   1651.889,
   17,       40.8,     85.175,    1676.522,   1671.784,
   18,       43.3,     84.996,    1693.351,   1691.190,
   19,       45.8,     85.175,    1704.464,   1710.164,
   20,       48.3,     84.817,    1724.753,   1728.671,
   21,       50.8,     84.458,    1746.753,   1746.702,
   22,       53.3,     84.279,    1762.925,   1764.270,
   23,       55.8,     83.563,    1791.688,   1781.328,
   24,       58.3,     82.846,    1820.345,   1797.857,
   25,       60.8,     84.100,    1804.017,   1814.024,
   26,       63.3,     82.846,    1842.072,   1829.692,
   27,       65.8,     83.025,    1847.733,   1844.918,
