----,
DateTime:        , 2021/12/13, 13:33:06, 1639416785976,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -317.52,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,             10,       2, 
Sio:,     96.63,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1363.630,
    1,        0.8,     90.340,    1431.414,   1408.807,
    2,        3.3,     91.877,    1463.176,   1452.277,
    3,        5.8,     90.532,    1494.871,   1499.304,
    4,        8.3,     89.763,    1539.090,   1547.702,
    5,       10.8,     90.340,    1566.017,   1596.517,
    6,       13.3,     88.994,    1628.458,   1644.446,
    7,       15.8,     88.226,    1681.185,   1691.101,
    8,       18.3,     87.841,    1725.655,   1736.321,
    9,       20.8,     86.688,    1784.025,   1779.805,
   10,       23.3,     87.265,    1805.813,   1821.859,
   11,       25.8,     86.304,    1860.566,   1862.231,
   12,       28.3,     86.304,    1895.675,   1901.074,
   13,       30.8,     86.496,    1925.915,   1938.486,
   14,       33.3,     86.111,    1969.002,   1974.431,
   15,       35.8,     86.304,    1994.859,   2009.014,
   16,       38.3,     85.727,    2039.772,   2042.189,
   17,       40.8,     86.111,    2057.260,   2074.083,
   18,       43.3,     84.958,    2109.902,   2104.599,
   19,       45.8,     83.997,    2156.661,   2133.718,
   20,       48.3,     83.421,    2195.782,   2161.493,
   21,       50.8,     83.997,    2202.615,   2188.081,
   22,       53.3,     83.805,    2227.474,   2213.564,
   23,       55.8,     83.421,    2255.480,   2237.966,
   24,       58.3,     83.997,    2258.569,   2261.358,
   25,       60.8,     82.844,    2306.183,   2283.768,
   26,       63.3,     83.036,    2315.899,   2305.178,
   27,       65.8,     81.883,    2364.024,   2325.646,
