Source DataFile                                                   ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202112131425_MaBe3725_445_caloxy_noTC_data.csv , 2021/12/13, 14:28:24,    1639420104819,--Not Acquired--     ,--Not Acquired--     , -119.29,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     10.817,   188.336,    405.434,    217.098,  0.5355,  1.1527,    81.05,  0.5589,     0.000,    3.242,  0.000,      864,  0.000,     4696,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.585,   835.95,   488.89,  0.000,       5.00,    0.041,    600.00,  413.83,   0.000,     0.0,     0.0,     0.0,     0.0,    1448,    1.5000,
C:\LIFT\DATA\MURIS_202112131425_MaBe3725_445_caloxy_noTC_data.csv , 2021/12/13, 14:28:27,    1639420106897,--Not Acquired--     ,--Not Acquired--     , -118.50,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     18.707,   202.613,    362.806,    160.193,  0.4415,  0.7906,    86.18,  0.3862,     0.000,    4.189,  0.000,      952,  0.000,     5750,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.583,   795.91,   464.01,  0.000,       5.00,    0.000,    600.00,  381.56,   0.000,     0.0,     0.0,     0.0,     0.0,    1373,    1.5000,
C:\LIFT\DATA\MURIS_202112131425_MaBe3725_445_caloxy_noTC_data.csv , 2021/12/13, 14:31:28,    1639420287974,--Not Acquired--     ,--Not Acquired--     , -112.67,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.364,   213.846,    398.651,    184.805,  0.4636,  0.8642,    74.70,  0.4401,     0.000,    3.636,  0.000,      648,  0.000,     2198,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.491,  1899.87,   931.91,  0.416,      10.22,    0.013,    600.00,  314.78,   0.000,     0.0,     0.0,     0.0,     0.0,     604,    1.5000,
C:\LIFT\DATA\MURIS_202112131425_MaBe3725_445_caloxy_noTC_data.csv , 2021/12/13, 14:31:30,    1639420290082,--Not Acquired--     ,--Not Acquired--     , -118.46,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     17.179,   194.354,    375.439,    181.085,  0.4823,  0.9317,    81.54,  0.4031,     0.000,    4.207,  0.000,      835,  0.000,     4388,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.547,  1072.17,   586.27,  0.000,       5.00,    0.003,    600.00,  385.80,   0.000,     0.0,     0.0,     0.0,     0.0,    1043,    1.5000,
C:\LIFT\DATA\MURIS_202112131425_MaBe3725_445_caloxy_noTC_data.csv , 2021/12/13, 14:34:31,    1639420471159,--Not Acquired--     ,--Not Acquired--     , -107.58,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.769,   211.651,    379.591,    167.939,  0.4424,  0.7935,    70.69,  0.3552,     0.000,    3.256,  0.000,      573,  0.000,     1779,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.451,  2266.03,  1022.75,  0.527,      12.32,    0.000,    600.00,  297.55,   0.000,     0.0,     0.0,     0.0,     0.0,     547,    1.5000,
C:\LIFT\DATA\MURIS_202112131425_MaBe3725_445_caloxy_noTC_data.csv , 2021/12/13, 14:34:33,    1639420473282,--Not Acquired--     ,--Not Acquired--     , -117.57,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      9.209,   188.668,    345.469,    156.802,  0.4539,  0.8311,    86.24,  0.4112,     0.000,    4.340,  0.000,      884,  0.000,     4954,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.584,   923.97,   539.92,  0.000,       5.00,    0.004,    600.00,  270.06,   0.000,     0.0,     0.0,     0.0,     0.0,    1142,    1.5000,
C:\LIFT\DATA\MURIS_202112131425_MaBe3725_445_caloxy_noTC_data.csv , 2021/12/13, 14:37:34,    1639420654362,--Not Acquired--     ,--Not Acquired--     ,  -96.31,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.583,   208.008,    354.580,    146.572,  0.4134,  0.7046,    69.48,  0.3125,     0.000,    2.937,  0.000,      540,  0.000,     1452,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.438,  2497.45,  1094.58,  0.378,      17.16,    0.002,    600.00,  204.98,   0.000,     0.0,     0.0,     0.0,     0.0,     495,    1.5000,
C:\LIFT\DATA\MURIS_202112131425_MaBe3725_445_caloxy_noTC_data.csv , 2021/12/13, 14:37:36,    1639420656479,--Not Acquired--     ,--Not Acquired--     , -119.05,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     11.432,   182.573,    315.671,    133.098,  0.4216,  0.7290,    87.61,  0.3855,     0.000,    4.222,  0.000,      890,  0.000,     5221,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.590,   862.49,   509.16,  0.000,       5.00,    0.000,    600.00,  272.40,   0.000,     0.0,     0.0,     0.0,     0.0,    1237,    1.5000,
C:\LIFT\DATA\MURIS_202112131425_MaBe3725_445_caloxy_noTC_data.csv , 2021/12/13, 14:40:37,    1639420837572,--Not Acquired--     ,--Not Acquired--     , -118.81,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      6.385,   179.904,    364.261,    184.357,  0.5061,  1.0248,    80.20,  0.4952,     0.000,    3.372,  0.000,      847,  0.000,     4886,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.563,   861.69,   484.82,  0.000,       5.00,    0.026,    600.00,  279.39,   0.000,     0.0,     0.0,     0.0,     0.0,    1449,    1.5000,
