Source DataFile                                                   ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202112131524_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 15:26:50,    1639423610651,--Not Acquired--     ,--Not Acquired--     , -300.96,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.087,   738.822,   1199.013,    460.191,  0.3838,  0.6229,   341.57,  0.0000,     0.000,    6.385,  0.000,      728,  0.000,     7346,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.057,   258.92,   532.59,  0.342,       5.00,    0.027,    600.00,   51.16,   0.000,     0.0,     0.0,     0.0,     0.0,    1150,    1.5000,
C:\LIFT\DATA\MURIS_202112131524_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 15:26:52,    1639423612794,--Not Acquired--     ,--Not Acquired--     , -300.65,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.765,   767.744,   1148.352,    380.608,  0.3314,  0.4957,   303.59,  0.0059,     0.000,    6.604,  0.000,      765,  0.000,     8580,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.832,   264.68,   484.89,  0.000,       5.00,    0.032,    600.00,   47.14,   0.000,     0.0,     0.0,     0.0,     0.0,    1299,    1.5000,
C:\LIFT\DATA\MURIS_202112131524_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 15:29:54,    1639423793968,--Not Acquired--     ,--Not Acquired--     , -259.97,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   40.00,    0.00,      0.917,  1065.372,   1521.577,    456.205,  0.2998,  0.4282,   510.35,  0.0000,     0.000,    7.628,  0.000,      754,  0.000,     4498,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.073,   242.31,   744.72,  0.385,       5.00,    0.000,    600.00,   45.05,   0.000,     0.0,     0.0,     0.0,     0.0,     590,    1.5000,
C:\LIFT\DATA\MURIS_202112131524_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 15:29:56,    1639423796116,--Not Acquired--     ,--Not Acquired--     , -303.29,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.531,   849.952,   1537.853,    687.901,  0.4473,  0.8093,   436.44,  0.0000,     0.000,    7.494,  0.000,      910,  0.000,     7698,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.628,   196.41,   516.21,  0.211,       5.00,    0.015,    600.00,   67.08,   0.000,     0.0,     0.0,     0.0,     0.0,    1027,    1.5000,
C:\LIFT\DATA\MURIS_202112131524_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 15:32:57,    1639423977246,--Not Acquired--     ,--Not Acquired--     , -209.90,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   80.00,    0.00,      0.938,  1163.949,   1642.404,    478.454,  0.2913,  0.4111,   431.79,  0.0000,     0.000,    7.009,  0.000,      635,  0.000,     3061,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.600,   359.07,   933.70,  0.388,       5.00,    0.004,    600.00,   43.58,   0.000,     0.0,     0.0,     0.0,     0.0,     437,    1.5000,
C:\LIFT\DATA\MURIS_202112131524_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 15:32:59,    1639423979405,--Not Acquired--     ,--Not Acquired--     , -302.56,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.461,   863.212,   1497.498,    634.285,  0.4236,  0.7348,   540.65,  0.0188,     0.000,    8.368,  0.000,     1021,  0.000,     8472,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.280,   150.15,   492.43,  0.125,       5.00,    0.000,    600.00,   63.91,   0.000,     0.0,     0.0,     0.0,     0.0,    1012,    1.5000,
C:\LIFT\DATA\MURIS_202112131524_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 15:36:00,    1639424160523,--Not Acquired--     ,--Not Acquired--     , -106.24,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,  160.00,    0.00,      1.102,  1269.503,   1756.085,    486.581,  0.2771,  0.3833,   294.43,  0.0000,     0.000,    9.946,  0.000,      636,  0.000,     4013,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.773,   542.92,   962.66,  0.246,       5.00,    0.023,    600.00,   30.80,   0.000,     0.0,     0.0,     0.0,     0.0,     404,    1.5000,
C:\LIFT\DATA\MURIS_202112131524_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 15:36:02,    1639424162664,--Not Acquired--     ,--Not Acquired--     , -301.71,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.150,   859.137,   1517.021,    657.884,  0.4337,  0.7657,   514.52,  0.1114,     0.000,    5.921,  0.000,      731,  0.000,     3407,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.230,   239.18,   772.66,  0.503,       5.00,    0.006,    600.00,   60.42,   0.000,     0.0,     0.0,     0.0,     0.0,     576,    1.5000,
C:\LIFT\DATA\MURIS_202112131524_MaBe3724_590_caloxy_noTC_data.csv , 2021/12/13, 15:39:03,    1639424343790,--Not Acquired--     ,--Not Acquired--     , -300.92,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.341,   728.746,   1153.105,    424.359,  0.3680,  0.5823,   453.25,  0.0101,     0.000,    8.393,  0.000,      825,  0.000,     8404,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.740,   200.07,   548.14,  0.292,       5.00,    0.015,    600.00,   65.19,   0.000,     0.0,     0.0,     0.0,     0.0,    1001,    1.5000,
