Source DataFile                                                 ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
----------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202112131540_MaBe3724_445_caloxy_TC_data.csv , 2021/12/13, 15:44:33,    1639424672971,--Not Acquired--     ,--Not Acquired--     , -116.70,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     10.326,   120.068,    196.600,     76.532,  0.3893,  0.6374,   100.77,  0.3535,     0.000,    2.574,  0.000,     1229,  0.000,    13581,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.702,   226.19,   158.77,  0.000,       5.00,    0.008,    600.00,  293.07,   0.000,     0.0,     0.0,     0.0,     0.0,    5276,    1.5000,
C:\LIFT\DATA\MURIS_202112131540_MaBe3724_445_caloxy_TC_data.csv , 2021/12/13, 15:44:35,    1639424675099,--Not Acquired--     ,--Not Acquired--     , -116.50,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      5.909,   128.766,    186.143,     57.378,  0.3082,  0.4456,   107.92,  0.1603,     0.000,    2.554,  0.000,     1342,  0.000,    17543,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.693,   177.92,   123.25,  0.000,       5.00,    0.000,    600.00,  173.35,   0.000,     0.0,     0.0,     0.0,     0.0,    6868,    1.5000,
C:\LIFT\DATA\MURIS_202112131540_MaBe3724_445_caloxy_TC_data.csv , 2021/12/13, 15:47:36,    1639424856260,--Not Acquired--     ,--Not Acquired--     , -112.39,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      6.555,   147.749,    253.089,    105.340,  0.4162,  0.7130,   101.28,  0.4073,     0.000,    7.683,  0.000,      744,  0.000,     8118,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.687,   881.13,   605.24,  0.267,       5.00,    0.031,    600.00,  235.21,   0.000,     0.0,     0.0,     0.0,     0.0,    1057,    1.5000,
C:\LIFT\DATA\MURIS_202112131540_MaBe3724_445_caloxy_TC_data.csv , 2021/12/13, 15:47:38,    1639424858392,--Not Acquired--     ,--Not Acquired--     , -116.25,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      8.687,   130.073,    251.247,    121.174,  0.4823,  0.9316,   107.05,  0.3488,     0.000,    3.715,  0.000,      940,  0.000,    14469,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.740,   290.09,   214.52,  0.000,       5.00,    0.022,    600.00,  287.60,   0.000,     0.0,     0.0,     0.0,     0.0,    3894,    1.5000,
C:\LIFT\DATA\MURIS_202112131540_MaBe3724_445_caloxy_TC_data.csv , 2021/12/13, 15:50:39,    1639425039540,--Not Acquired--     ,--Not Acquired--     , -108.05,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      6.446,   147.955,    264.236,    116.281,  0.4401,  0.7859,    90.55,  0.3989,     0.000,    8.364,  0.000,      694,  0.000,     5181,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.598,  1429.39,   854.10,  0.000,     100.00,    0.046,    600.00,  242.44,   0.000,     0.0,     0.0,     0.0,     0.0,     619,    1.5000,
C:\LIFT\DATA\MURIS_202112131540_MaBe3724_445_caloxy_TC_data.csv , 2021/12/13, 15:50:41,    1639425041685,--Not Acquired--     ,--Not Acquired--     , -115.91,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     10.326,   128.940,    253.301,    124.361,  0.4910,  0.9645,   104.71,  0.3521,     0.000,    3.663,  0.000,      909,  0.000,    13168,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.722,   319.54,   230.85,  0.000,       5.00,    0.020,    600.00,  291.27,   0.000,     0.0,     0.0,     0.0,     0.0,    3595,    1.5000,
C:\LIFT\DATA\MURIS_202112131540_MaBe3724_445_caloxy_TC_data.csv , 2021/12/13, 15:53:43,    1639425222824,--Not Acquired--     ,--Not Acquired--     ,  -99.38,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.547,   154.621,    269.712,    115.091,  0.4267,  0.7443,    88.52,  0.3499,     0.000,    5.161,  0.000,      570,  0.000,     1929,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.566,  2125.56,  1203.42,  0.265,      10.08,    0.035,    600.00,  234.55,   0.000,     0.0,     0.0,     0.0,     0.0,     374,    1.5000,
C:\LIFT\DATA\MURIS_202112131540_MaBe3724_445_caloxy_TC_data.csv , 2021/12/13, 15:53:45,    1639425224950,--Not Acquired--     ,--Not Acquired--     , -116.46,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     10.785,   128.957,    250.825,    121.868,  0.4859,  0.9450,   105.22,  0.3398,     0.000,    3.705,  0.000,      883,  0.000,    12402,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.721,   340.90,   245.70,  0.000,       5.00,    0.018,    600.00,  313.70,   0.000,     0.0,     0.0,     0.0,     0.0,    3348,    1.5000,
C:\LIFT\DATA\MURIS_202112131540_MaBe3724_445_caloxy_TC_data.csv , 2021/12/13, 15:56:46,    1639425406085,--Not Acquired--     ,--Not Acquired--     , -116.31,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     11.399,   114.327,    196.623,     82.296,  0.4185,  0.7198,    99.03,  0.3908,     0.000,    2.657,  0.000,     1077,  0.000,    10353,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.697,   301.15,   209.77,  0.000,       5.00,    0.018,    600.00,  321.04,   0.000,     0.0,     0.0,     0.0,     0.0,    3897,    1.5000,
